Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
398,173.0,203.0,8.94,44.57,5.93,52.66,-8.09,161.15,1440.97,0.904,55.61,0.554,z_10
400,232.0,126.0,9.0,34.94,5.39,43.02,-8.08,174.74,850.69,0.862,45.3,0.537,z_12
404,222.0,304.0,2.0,46.39,5.94,53.46,-7.07,158.07,1538.63,0.896,57.62,0.564,z_10
405,81.0,150.0,5.39,36.76,5.96,45.71,-8.95,164.26,976.56,0.893,47.96,0.53,z_12
409,184.0,56.0,5.39,33.92,6.11,41.13,-7.21,171.44,779.08,0.86,45.69,0.554,z_13
410,86.0,130.0,6.32,32.52,5.78,40.32,-7.8,171.84,729.17,0.893,42.92,0.565,z_13
411,82.0,236.0,1.41,40.65,5.51,48.17,-7.52,160.97,1167.53,0.895,49.97,0.523,z_11
412,313.0,169.0,7.07,33.69,5.5,40.54,-6.85,170.5,794.27,0.897,43.44,0.555,z_12
413,312.0,253.0,1.0,31.56,5.9,37.7,-6.14,168.49,700.95,0.91,43.01,0.524,z_12
414,72.0,36.0,0.0,38.43,6.12,45.94,-7.51,160.1,1030.82,0.886,48.58,0.567,z_12
416,15.0,166.0,1.41,35.71,6.21,45.59,-9.88,160.1,898.44,0.91,46.84,0.559,z_13
417,121.0,262.0,0.0,40.45,5.8,48.08,-7.63,159.81,1180.56,0.881,50.29,0.552,z_12
419,305.0,278.0,1.0,34.1,6.15,40.49,-6.39,168.22,820.31,0.927,45.24,0.553,z_14
420,101.0,144.0,8.25,34.18,6.23,42.67,-8.49,168.95,828.99,0.907,45.24,0.569,z_13
422,204.0,251.0,3.16,30.33,5.63,38.02,-7.69,174.06,633.68,0.921,40.45,0.541,z_13
423,14.0,146.0,2.24,32.21,6.2,39.92,-7.71,162.78,711.81,0.902,43.66,0.583,z_13
424,59.0,314.0,1.0,37.79,6.07,44.95,-7.16,161.17,983.07,0.906,47.99,0.53,z_13
425,63.0,207.0,1.41,37.45,6.24,44.15,-6.7,157.71,983.07,0.88,47.96,0.594,z_11
426,31.0,154.0,0.0,31.97,5.39,39.0,-7.03,164.3,705.3,0.916,42.18,0.498,z_14
427,170.0,274.0,4.12,28.49,6.11,35.95,-7.46,171.4,562.07,0.906,39.68,0.537,z_14
429,157.0,183.0,8.54,44.57,5.78,54.17,-9.6,160.11,1427.95,0.896,55.72,0.554,z_14
430,295.0,300.0,0.0,41.93,5.83,49.2,-7.27,161.05,1273.87,0.909,52.89,0.566,z_10
431,56.0,114.0,4.0,35.78,5.9,43.83,-8.05,163.52,891.93,0.884,47.42,0.566,z_14
434,234.0,270.0,1.41,35.48,6.06,40.78,-5.3,165.68,846.35,0.913,46.33,0.512,z_13
435,192.0,95.0,5.0,35.45,6.05,43.03,-7.58,169.11,874.57,0.867,46.41,0.584,z_14
437,225.0,366.0,1.41,46.26,5.91,54.54,-8.28,162.24,1532.12,0.898,57.92,0.989,z_8
439,114.0,92.0,4.0,34.79,6.1,42.95,-8.16,167.68,848.52,0.907,46.26,0.574,z_14
440,291.0,203.0,9.22,39.59,5.84,46.79,-7.2,163.39,1104.6,0.897,49.55,0.528,z_11
441,276.0,311.0,1.0,31.36,6.14,38.57,-7.21,171.88,687.93,0.894,42.98,0.582,z_14
442,140.0,313.0,1.0,32.8,6.25,39.38,-6.58,170.68,748.7,0.866,44.41,0.592,z_15
445,160.0,100.0,7.62,34.79,5.56,43.75,-8.96,166.67,865.89,0.897,44.72,0.539,z_11
448,439.0,492.0,1.0,30.81,4.51,34.17,-3.36,161.46,564.24,0.838,39.83,0.482,z_5
449,208.0,215.0,2.0,23.75,4.07,30.85,-7.1,164.23,399.31,0.846,31.9,0.602,z_15
450,467.0,499.0,1.0,26.44,4.75,26.44,0.0,186.38,375.43,0.806,35.6,0.344,z_3
451,429.0,478.0,1.0,35.42,5.4,42.59,-7.17,165.09,718.32,0.847,45.3,0.472,z_13
452,129.0,354.0,1.41,46.64,5.69,54.1,-7.46,157.3,1573.35,0.916,57.21,0.566,z_15
453,249.0,351.0,1.0,54.69,5.73,61.11,-6.42,153.47,2159.29,0.907,65.81,0.554,z_9
455,205.0,350.0,1.41,41.15,6.26,48.01,-6.86,163.08,1197.92,0.894,52.61,0.571,z_12
456,71.0,254.0,0.0,26.54,4.59,27.92,-1.38,135.83,481.77,0.881,31.92,0.303,z_15
457,13.0,277.0,3.61,24.3,5.58,30.33,-6.03,161.26,390.62,0.907,33.59,0.549,z_14
458,210.0,387.0,1.41,43.55,6.16,51.58,-8.03,161.46,1367.19,0.901,55.07,0.564,z_11
460,341.0,382.0,1.41,25.44,6.48,31.35,-5.91,174.69,405.82,0.871,36.26,0.633,z_14
461,385.0,488.0,0.0,31.73,4.65,32.61,-0.88,165.54,585.94,0.871,41.04,0.346,z_5
462,28.0,136.0,0.0,27.59,6.1,34.73,-7.14,167.52,505.64,0.898,38.91,0.512,z_15
463,495.0,489.0,1.0,33.01,5.4,31.07,1.94,147.66,564.24,0.838,42.95,0.237,z_5
464,453.0,497.0,1.0,25.77,5.94,32.21,-6.44,176.02,438.37,0.888,36.12,0.564,z_15
466,60.0,23.0,1.0,25.17,6.25,33.11,-7.94,173.98,410.16,0.88,36.89,0.604,z_15
467,57.0,226.0,1.0,25.93,5.81,32.94,-7.01,170.2,451.39,0.898,36.44,0.495,z_15
468,313.0,210.0,2.0,24.57,4.5,31.58,-7.01,170.03,416.67,0.883,33.08,0.384,z_14
469,204.0,424.0,0.0,41.66,6.22,48.55,-6.89,162.63,1243.49,0.887,53.12,0.575,z_9
471,118.0,201.0,1.0,23.75,6.23,31.81,-8.06,172.34,377.6,0.8,35.48,0.638,z_15
473,190.0,443.0,1.0,40.33,6.04,48.81,-8.48,165.97,1156.68,0.904,51.76,0.582,z_13
474,112.0,176.0,1.0,23.29,5.54,30.26,-6.97,178.97,368.92,0.916,34.38,0.528,z_15
