x,y,diameter,occupancy
111.0,273.0,17.92,0
114.0,23.0,15.02,0
198.0,16.0,28.34,0
147.0,200.0,15.32,0
90.0,86.0,25.43,0
306.0,68.0,14.73,0
287.0,265.0,16.27,0
296.0,197.0,15.02,0
103.0,132.0,13.51,0
52.0,185.0,15.02,0
87.0,186.0,17.68,0
74.0,156.0,18.78,0
238.0,134.0,13.99,0
226.0,123.0,15.02,0
305.0,207.0,20.52,0
296.0,55.0,21.45,0
236.0,124.0,21.45,0
245.0,90.0,21.58,0
50.0,74.0,23.29,0
311.0,13.0,21.77,0
141.0,67.0,20.84,0
59.0,179.0,19.98,0
197.0,113.0,22.22,0
163.0,211.0,21.54,0
105.0,158.0,22.85,0
236.0,81.0,21.45,0
198.0,229.0,19.98,0
202.0,216.0,21.12,0
293.0,237.0,21.82,0
244.0,259.0,22.32,0
14.0,109.0,20.39,0
124.0,110.0,20.55,0
233.0,314.0,22.85,0
199.0,249.0,19.98,0
24.0,42.0,22.07,0
114.0,57.0,23.57,0
72.0,52.0,22.81,0
108.0,140.0,21.78,0
19.0,177.0,22.18,0
189.0,122.0,23.03,0
227.0,8.0,21.45,0
50.0,114.0,22.87,0
22.0,98.0,22.63,0
6.0,95.0,21.77,0
116.0,166.0,20.45,0
14.0,154.0,15.02,0
37.0,207.0,15.02,0
68.0,94.0,18.05,0
114.0,78.0,18.1,0
212.0,198.0,22.2,0
199.0,130.0,18.78,0
291.0,87.0,25.24,0
239.0,232.0,18.63,0
265.0,121.0,17.31,0
33.0,302.0,16.8,0
141.0,173.0,15.02,0
199.0,148.0,20.52,0
162.0,403.0,21.45,0
305.0,190.0,18.78,0
230.0,256.0,21.25,0
211.0,62.0,18.41,0
135.0,292.0,16.3,0
17.0,140.0,19.71,0
28.0,205.0,21.12,0
95.0,134.0,20.35,0
290.0,164.0,18.63,0
77.0,124.0,19.21,0
57.0,101.0,19.71,0
65.0,162.0,19.98,0
146.0,274.0,20.17,0
133.0,150.0,22.44,0
49.0,32.0,19.84,0
287.0,54.0,22.77,0
363.0,253.0,19.71,0
368.0,264.0,21.12,0
456.0,192.0,23.05,0
459.0,221.0,21.09,0
501.0,70.0,22.44,0
348.0,39.0,20.35,0
346.0,281.0,22.76,0
335.0,170.0,22.44,0
356.0,313.0,23.08,0
274.0,312.0,14.78,0
245.0,375.0,16.8,0
235.0,267.0,20.91,0
227.0,495.0,13.34,0
110.0,432.0,14.27,0
191.0,467.0,20.91,0
275.0,290.0,14.78,0
208.0,480.0,21.75,0
161.0,378.0,15.02,0
230.0,237.0,24.0,0
122.0,424.0,15.02,0
404.0,190.0,19.76,0
499.0,205.0,16.03,0
448.0,303.0,15.02,0
472.0,76.0,18.63,0
341.0,81.0,21.09,0
419.0,109.0,14.37,0
440.0,91.0,14.37,0
483.0,30.0,35.02,0
195.0,94.0,14.78,0
432.0,10.0,19.26,0
193.0,101.0,14.17,0
419.0,17.0,13.48,0
404.0,152.0,26.35,0
338.0,111.0,22.22,0
268.0,157.0,15.87,0
376.0,56.0,15.57,0
316.0,467.0,16.8,0
347.0,14.0,18.28,0
461.0,131.0,16.47,0
484.0,195.0,14.37,0
336.0,316.0,16.34,0
336.0,287.0,19.4,0
365.0,130.0,18.63,0
348.0,301.0,22.98,0
490.0,268.0,22.95,0
368.0,307.0,20.64,0
343.0,91.0,19.26,0
323.0,156.0,19.67,0
352.0,25.0,20.83,0
322.0,168.0,18.85,0
186.0,338.0,17.71,0
133.0,366.0,16.34,0
16.0,468.0,21.94,0
156.0,485.0,16.36,0
305.0,410.0,15.77,0
261.0,496.0,16.36,0
280.0,370.0,19.65,0
215.0,363.0,15.87,0
285.0,489.0,21.12,0
133.0,377.0,21.45,0
188.0,456.0,19.65,0
144.0,475.0,20.93,0
173.0,427.0,15.87,0
197.0,411.0,20.64,0
27.0,473.0,21.45,0
272.0,445.0,13.6,0
45.0,445.0,19.91,0
172.0,474.0,22.44,0
263.0,464.0,15.23,0
245.0,327.0,22.54,0
227.0,246.0,16.59,0
269.0,368.0,19.21,0
237.0,441.0,19.71,0
36.0,455.0,21.45,0
159.0,473.0,19.91,0
295.0,481.0,22.44,0
292.0,369.0,21.45,0
221.0,431.0,22.87,0
239.0,456.0,23.05,0
135.0,392.0,22.66,0
294.0,457.0,22.13,0
112.0,391.0,15.23,0
47.0,394.0,17.92,0
308.0,353.0,15.87,0
26.0,213.0,15.17,0
266.0,397.0,15.17,0
207.0,399.0,15.47,0
120.0,390.0,17.71,0
180.0,461.0,15.87,0
87.0,421.0,15.56,0
31.0,337.0,19.79,0
136.0,451.0,16.8,0
134.0,473.0,15.27,0
274.0,385.0,15.87,0
441.0,110.0,16.27,0
169.0,257.0,15.02,0
271.0,452.0,15.02,0
287.0,256.0,19.65,0
247.0,238.0,16.6,0
100.0,451.0,15.57,0
46.0,416.0,17.31,0
217.0,400.0,15.02,0
133.0,481.0,15.87,0
129.0,401.0,15.99,0
59.0,431.0,17.15,0
9.0,337.0,15.02,0
91.0,429.0,15.38,0
210.0,432.0,16.34,0
149.0,301.0,18.89,0
164.0,367.0,16.8,0
