cluster_id,rep_x,rep_y,num_observations,z_levels,diameter_min,diameter_max,diameter_mean,diameter_std,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
393,16.875,78.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",46.82,55.63,51.296875,3.1605611027751066,46.82,46.82,47.19,48.08,48.23,49.45,49.81,51.47,51.47,52.91,53.46,54.33,55.3,55.3,55.63,54.48
101,102.0,351.54545454545456,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10",47.85,55.55,51.695454545454545,2.720302000735692,47.85,48.17,48.87,49.9,50.67,51.54,52.45,53.41,54.92,55.32,55.55,,,,,
223,417.74999999999994,75.68749999999999,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",46.9,55.42,51.585625,3.0271045752294388,46.9,47.13,47.69,48.45,49.34,49.76,50.12,51.07,52.36,53.51,54.06,54.67,55.26,54.88,54.75,55.42
53,438.49999999999994,334.375,8,"z_0,z_1,z_4,z_5,z_6,z_7,z_8,z_15",45.5,54.65,48.98125,2.7601469050577716,45.5,45.77,,,47.51,48.59,49.37,49.6,50.86,,,,,,,54.65
219,341.25,152.06250000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",46.26,54.52,50.6025,2.5523065548636583,46.26,46.63,47.56,48.52,48.69,49.2,49.52,50.7,50.76,51.48,52.85,52.94,53.48,54.52,53.46,53.07
887,317.2,70.6,5,"z_9,z_10,z_11,z_14,z_15",42.24,54.17,48.612,4.996824591678199,,,,,,,,,,51.45,54.17,52.25,,,42.95,42.24
272,476.0,156.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",45.92,53.99,50.525000000000006,2.7435857012311455,45.92,46.83,46.85,47.24,48.82,49.07,49.4,50.55,50.92,51.98,52.98,53.26,53.44,53.99,53.8,53.35
229,467.58333333333337,261.41666666666663,12,"z_0,z_1,z_2,z_3,z_4,z_8,z_9,z_10,z_11,z_12,z_14,z_15",46.47,53.69,50.126666666666665,2.575759866309142,46.47,46.55,47.23,47.68,48.13,,,,51.16,51.54,51.98,51.98,51.98,,53.13,53.69
99,266.0,479.9375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",45.93,53.6,50.569374999999994,2.7960406576756003,45.93,46.44,46.49,47.67,48.39,49.01,49.71,50.79,51.98,52.17,53.28,53.6,53.6,53.28,53.28,53.49
268,483.8461538461538,239.69230769230768,13,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_12,z_15",45.43,53.24,49.47153846153846,2.5092684994569363,45.43,45.82,46.8,47.51,48.22,48.77,49.6,50.4,50.86,51.68,52.17,,52.63,,,53.24
267,332.0625,232.81249999999997,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",45.3,53.12,49.33625,2.7347871832191992,45.3,45.41,45.7,46.82,46.88,47.55,48.42,48.94,49.58,50.9,51.45,51.45,52.68,52.78,53.12,52.4
389,305.0,172.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",45.44,53.07,49.925625,2.8471454317219207,45.44,45.82,46.12,46.74,47.24,48.1,49.27,49.94,51.08,51.83,52.75,53.07,52.81,52.93,52.93,52.74
452,172.0,125.33333333333333,15,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14",50.09,52.71,51.80333333333335,0.8272014399299742,51.45,52.71,52.71,50.73,52.71,52.08,52.08,52.08,50.73,52.08,52.08,52.71,52.08,50.73,50.09,
388,228.0,63.43750000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",43.95,52.66,48.551874999999995,3.072243111209625,43.95,44.31,44.73,44.91,45.98,46.66,47.42,48.14,49.38,49.73,51.21,51.63,51.66,51.98,52.66,52.48
255,382.0625,251.93749999999997,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",41.71,52.61,46.041250000000005,2.821304828886805,41.71,41.93,43.16,43.8,44.01,44.47,45.02,45.35,46.2,46.9,47.67,47.96,48.59,48.59,48.69,52.61
217,473.0,182.22222222222226,9,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_9",45.81,52.36,48.66888888888889,1.9571943890536805,45.81,46.26,47.51,48.02,48.4,49.38,49.82,50.46,,52.36,,,,,,
231,386.75,298.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",43.97,52.26,48.761875,2.9324652997733835,43.97,44.26,44.89,45.77,46.54,47.28,47.7,48.31,49.89,50.55,51.45,51.45,52.26,52.26,51.94,51.67
84,45.400000000000006,470.0,10,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9",46.4,51.9,48.56699999999999,1.7554717314727688,46.4,46.63,46.63,47.29,48.19,49.24,49.24,49.7,50.45,51.9,,,,,,
55,370.0,429.18750000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",43.75,51.72,48.615624999999994,2.7298373778258296,43.75,44.74,45.07,45.8,46.59,47.51,47.51,48.6,48.77,50.7,51.18,51.18,51.59,51.72,51.69,51.45
221,375.0,95.25,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",42.78,51.62,47.540000000000006,3.028749742055292,42.78,43.36,43.95,44.31,45.03,45.71,46.61,47.45,48.65,49.89,47.11,50.84,50.87,51.19,51.27,51.62
88,194.0,313.77777777777777,9,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_15",44.15,51.45,47.044444444444444,2.176394118266426,44.15,45.07,45.07,46.09,46.6,47.51,48.59,48.87,,,,,,,,51.45
95,37.0,84.0,1,z_0,51.24,51.24,51.24,0.0,51.24,,,,,,,,,,,,,,,
386,147.0,17.636363636363637,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10",44.16,50.93,47.059090909090905,2.244194346410937,44.16,44.39,44.76,45.48,45.88,46.95,47.28,48.53,49.4,49.89,50.93,,,,,
474,260.0,133.83333333333334,12,"z_0,z_1,z_5,z_6,z_7,z_9,z_10,z_11,z_12,z_13,z_14,z_15",33.19,50.69,39.59833333333333,6.772146180413481,49.52,50.69,,,,48.65,46.26,40.16,,35.61,34.48,33.19,33.61,34.17,34.67,34.17
950,216.0,312.0,1,z_15,50.2,50.2,50.2,0.0,,,,,,,,,,,,,,,,50.2
102,310.0,368.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",42.64,50.11,46.754374999999996,2.595647724437004,42.64,42.95,43.2,44.07,44.42,45.7,46.16,46.63,46.94,47.96,49.15,49.27,49.35,50.11,49.7,49.82
432,237.0,295.74999999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",42.64,50.02,47.00125,2.6631533822707243,42.64,42.95,43.62,43.84,44.96,45.45,46.23,47.24,48.16,48.26,49.57,49.6,49.77,50.01,50.02,49.7
266,362.5,290.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",42.18,49.82,46.78937499999999,2.674503385560579,42.18,42.18,43.33,43.82,44.99,45.97,46.44,46.9,47.67,48.15,49.11,49.25,49.4,49.71,49.71,49.82
402,157.14285714285714,108.0,7,"z_0,z_1,z_2,z_3,z_4,z_5,z_9",43.27,49.57,45.392857142857146,2.0219489486681916,43.27,43.65,44.13,44.91,45.49,46.73,,,,49.57,,,,,,
271,420.0,196.18750000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",42.32,49.39,46.225625,2.6508158384495517,42.32,42.64,42.78,43.52,43.6,44.04,44.93,46.57,47.02,47.96,48.65,48.72,48.88,49.2,49.39,49.39
246,352.0,176.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",41.23,49.22,45.774375,2.974174189481006,41.23,41.43,41.96,42.16,43.08,43.68,45.5,45.64,47.17,47.23,48.46,48.64,48.69,49.15,49.22,49.15
222,467.0,60.53333333333334,15,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14",41.26,49.19,44.93866666666667,2.7492977689261333,41.26,41.52,42.13,41.63,43.36,43.38,43.75,44.02,44.99,46.6,46.97,47.79,48.55,48.94,49.19,
226,425.0,122.0,13,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12",40.85,48.69,44.698461538461544,2.6079223860379024,40.85,41.52,41.82,42.18,43.38,43.76,44.6,45.11,46.12,46.86,47.66,48.53,48.69,,,
368,132.0,257.37500000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",40.55,48.64,44.885,3.016204154230943,40.55,40.78,41.09,41.52,42.24,42.95,43.59,44.26,45.3,46.54,47.28,48.46,48.64,48.64,48.55,47.77
446,424.3333333333333,288.0,3,"z_0,z_1,z_5",46.26,48.64,47.846666666666664,1.1219427594826565,48.64,48.64,,,,46.26,,,,,,,,,,
390,292.0,70.25,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",40.05,48.35,44.363749999999996,2.819829061751793,40.05,40.52,40.71,41.2,41.64,42.52,43.5,44.68,44.98,45.86,46.73,46.82,47.1,47.08,48.08,48.35
383,40.0,97.375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.51,48.11,43.00125,3.159105638863633,38.85,38.51,39.29,39.51,40.21,40.76,41.93,42.24,43.43,44.15,45.29,45.3,46.64,46.85,46.95,48.11
122,15.0,323.12500000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.47,48.1,44.436875,3.0364776443068044,39.47,39.53,40.27,41.37,42.31,42.9,43.99,44.24,45.2,45.89,46.94,47.53,48.1,47.82,47.72,47.71
461,315.8888888888889,496.7777777777777,9,"z_0,z_1,z_2,z_4,z_5,z_7,z_8,z_9,z_10",34.56,47.96,39.27777777777778,5.441126880380117,46.28,46.26,47.96,,37.56,36.51,,34.79,34.56,34.79,34.79,,,,,
227,498.0,143.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",40.46,47.95,44.6175,2.6947042973209507,40.46,40.86,41.2,41.37,42.13,43.03,44.16,44.28,45.45,45.97,46.49,47.7,47.55,47.55,47.95,47.73
394,139.87499999999997,84.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.39,47.79,43.766875,2.927763051268835,39.39,39.69,40.11,41.07,41.52,41.93,42.56,43.18,43.38,45.13,45.55,46.55,47.17,47.5,47.75,47.79
82,248.0,401.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.67,47.74,44.705,2.862961753150048,39.67,40.27,40.52,41.2,42.51,43.61,44.71,45.71,46.27,46.54,46.82,47.74,47.74,47.43,47.3,47.24
371,111.44444444444444,122.0,9,"z_0,z_1,z_2,z_3,z_5,z_6,z_7,z_8,z_9",40.85,47.65,44.086666666666666,2.2245798604580482,40.85,41.52,42.13,42.87,,44.31,45.97,45.29,46.19,47.65,,,,,,
373,214.0,239.56250000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.56,47.55,43.680625,2.8050166415504547,39.56,39.95,40.35,40.85,41.13,41.54,42.59,43.36,43.65,44.89,46.05,46.2,46.49,47.55,47.55,47.18
264,377.0,71.4375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.05,47.45,42.39375,3.036558238779557,38.05,38.65,38.9,39.17,39.53,40.17,41.06,41.5,42.95,43.6,44.36,45.07,45.82,46.2,45.82,47.45
397,95.0,101.18749999999999,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.71,47.44,43.090625,3.1002106153251914,38.71,39.05,39.11,39.53,40.71,41.06,41.96,42.48,43.08,44.02,45.35,46.38,46.73,47.02,46.82,47.44
391,164.36363636363637,37.0,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10",41.47,47.4,44.06181818181818,1.9075725563792425,41.47,41.78,41.93,42.18,43.76,44.34,44.75,45.45,45.5,46.12,47.4,,,,,
874,400.0,310.8181818181818,11,"z_1,z_5,z_6,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",44.14,47.36,45.68181818181818,1.0433060928154234,,46.92,,,,47.36,46.03,,45.96,44.14,44.14,44.14,45.96,45.96,45.96,45.93
81,139.0,411.0,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_15",39.77,47.3,42.67909090909091,2.2691306086270715,39.77,39.83,40.95,41.12,41.39,42.7,43.02,43.56,44.31,45.52,,,,,,47.3
395,264.0,45.43750000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.58,47.03,42.77625,2.9047479989665206,38.58,38.58,38.78,39.32,40.29,41.25,42.12,42.9,43.14,44.33,44.81,45.07,45.88,45.85,46.49,47.03
46,378.125,321.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.75,46.95,43.35875,2.822509687760168,38.75,39.39,40.07,40.58,40.81,41.93,42.18,42.95,43.4,44.79,45.6,46.38,46.31,46.95,46.87,46.78
76,182.0,440.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.25,46.95,43.138125,3.0844999974671747,38.25,38.71,39.24,39.84,40.16,41.42,41.99,42.86,44.59,44.75,45.74,46.43,46.52,46.95,46.12,46.64
230,449.0,123.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",40.09,46.89,43.435625,2.4923607502476437,40.09,40.09,40.09,40.43,41.32,41.86,42.18,43.38,43.77,44.97,45.59,45.59,45.44,46.6,46.89,46.68
278,383.1875,221.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",39.59,46.82,43.54125,2.65094529130648,39.59,39.75,39.75,41.08,41.24,41.66,42.97,43.36,43.54,45.23,45.99,46.44,46.82,46.44,46.2,46.6
220,391.0,144.73333333333332,15,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_15",36.55,46.73,40.615999999999985,2.972253466087081,36.55,37.05,37.56,37.64,37.89,39.16,39.43,40.49,40.78,41.93,42.51,43.53,44.15,43.84,,46.73
235,336.0,448.1875,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",38.25,46.63,42.2625,2.84333760746064,38.25,38.61,38.93,39.43,39.53,40.13,41.06,41.32,42.86,43.55,43.96,44.98,45.22,46.26,46.63,45.48
