cluster_id,rep_x,rep_y,num_observations,z_levels,diameter_min,diameter_max,diameter_mean,diameter_std,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
115,298.75,496.24999999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.73,39.26,34.783750000000005,2.3715260777609,31.73,31.73,31.73,31.73,32.9,34.17,34.17,34.41,34.73,35.42,35.71,36.07,36.81,37.4,38.57,39.26
292,41.0,232.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.15,39.13,35.0975,2.790487188646456,31.3,31.15,31.37,32.05,33.04,33.59,34.0,34.36,35.29,35.84,37.19,38.0,38.0,38.32,38.93,39.13
256,457.0,143.75,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.53,39.06,34.978125,2.4884563959159505,31.53,31.99,32.06,32.94,32.94,32.94,33.71,34.32,34.46,35.75,36.41,37.1,37.55,37.94,38.95,39.06
127,146.0,442.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.02,39.0,34.708124999999995,2.778882911238796,31.29,31.02,31.7,31.87,32.19,32.94,32.94,33.71,34.97,35.55,36.07,36.92,37.59,38.58,38.99,39.0
77,279.37500000000006,356.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.63,38.98,34.978125000000006,2.4705141639697192,31.63,31.7,32.27,32.5,32.61,33.73,33.85,34.32,34.98,35.61,36.1,36.77,37.34,38.3,38.96,38.98
428,169.0,88.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.98,38.97,34.958749999999995,2.37047957964206,32.41,31.98,32.34,32.4,32.57,33.37,33.61,34.18,34.79,35.42,36.45,36.67,37.76,38.26,38.16,38.97
311,271.0,260.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.02,38.92,34.669375,2.7775449338174534,31.02,31.16,31.38,31.58,32.1,32.94,33.28,34.17,34.76,35.42,36.18,37.1,37.56,38.41,38.73,38.92
85,234.49999999999997,340.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.37,38.91,35.093125,2.6864351814951726,31.37,31.37,31.37,32.6,32.71,33.33,33.85,34.83,35.23,36.49,37.27,37.29,37.88,38.14,38.85,38.91
294,295.0,126.68749999999999,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.62,38.89,34.4875,2.850270820466012,30.62,30.64,31.14,31.77,32.02,32.34,33.19,34.1,34.53,35.1,36.19,36.65,37.79,38.35,38.48,38.89
425,224.43749999999994,111.81250000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.09,38.8,34.715,2.3946372376625233,31.09,31.41,31.87,32.15,32.94,32.94,34.02,34.74,35.02,35.62,35.84,36.52,36.93,37.29,38.26,38.8
259,326.0,118.375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.98,38.79,34.91375,2.423963373795075,31.98,31.98,32.33,32.33,32.61,33.19,33.39,34.13,34.79,35.71,35.95,37.27,37.71,37.99,38.47,38.79
430,121.0,32.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.75,38.75,34.700625,2.4267866324370178,31.75,31.75,31.75,32.11,32.63,32.94,33.49,33.85,34.82,35.48,35.95,36.38,37.39,37.71,38.46,38.75
295,248.0,274.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.6,38.69,34.299375000000005,2.558162105765582,30.6,30.76,31.37,31.95,31.95,32.72,32.94,34.09,34.85,34.94,35.91,36.08,36.72,36.92,38.3,38.69
135,282.87499999999994,439.8125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.03,38.68,34.578125,2.4908588346943703,31.03,31.15,31.92,32.05,32.34,33.1,33.59,34.1,34.83,34.93,36.57,35.65,37.4,37.66,38.25,38.68
293,152.43749999999994,229.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.64,38.65,34.0625,2.4138545420136652,30.64,31.16,31.25,31.58,31.9,32.61,33.33,33.8,34.13,33.85,35.84,35.68,35.99,37.03,37.56,38.65
418,28.0,114.68749999999999,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.76,38.65,34.00125,2.752914081023961,30.76,31.02,31.02,31.02,31.48,31.92,32.26,33.01,33.86,34.62,35.05,36.39,37.12,37.67,38.17,38.65
166,446.8125,256.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.56,38.53,34.548125,2.202116081040007,31.56,31.98,32.01,32.34,32.34,32.88,33.49,34.12,34.69,35.31,35.78,36.44,36.72,36.8,38.53,37.78
87,286.5625,383.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.35,38.52,33.416875000000005,2.3999732257621127,30.35,30.5,30.79,30.79,31.21,31.8,32.98,32.98,33.33,34.01,34.1,34.79,35.37,36.4,36.75,38.52
362,185.0,41.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.06,38.51,34.322500000000005,2.526028255978148,31.29,31.06,31.68,31.83,32.11,32.49,32.86,33.52,34.1,34.63,35.84,36.45,36.67,37.88,38.24,38.51
257,395.0,36.9375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.85,38.49,34.252500000000005,2.715873478275452,30.85,31.26,31.16,31.16,31.75,32.04,32.71,33.45,34.1,35.56,35.96,36.67,36.67,37.79,38.42,38.49
116,90.0,474.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.41,38.48,34.236875,2.8117870624168892,30.41,30.41,31.75,31.75,31.75,32.15,32.97,33.23,33.73,34.89,35.42,36.25,37.67,38.45,38.48,38.48
133,101.0,422.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.77,38.47,34.3675,2.607231529803212,30.77,31.44,31.81,31.81,31.86,32.4,33.11,33.85,33.85,34.43,36.04,36.2,37.51,37.86,38.47,38.47
33,448.0,482.9375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",32.19,38.45,34.998125,2.2753192598787098,32.19,32.4,32.84,32.52,32.71,33.01,33.49,34.63,34.71,35.68,36.39,37.14,37.16,38.36,38.29,38.45
409,84.0,71.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.87,38.44,33.123125,2.747866715176521,29.87,30.33,30.04,30.33,30.35,31.02,31.67,32.34,32.61,33.91,34.38,35.42,35.71,36.1,37.45,38.44
360,113.0625,248.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.26,38.42,33.815625,2.6705967702697087,30.26,30.51,30.26,30.51,32.02,32.15,32.4,33.48,34.68,34.9,34.9,35.42,36.53,36.94,37.67,38.42
422,200.0,26.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.06,38.42,34.5325,2.383879453747611,31.06,31.06,32.94,32.94,31.99,32.6,32.94,33.73,34.69,35.26,35.84,36.49,37.27,37.27,38.02,38.42
125,213.0,493.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.51,38.31,34.317499999999995,2.588697790395782,30.51,30.58,31.16,31.16,32.57,32.94,32.94,34.2,35.07,35.79,35.94,36.08,36.45,37.34,38.04,38.31
284,120.25,13.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.26,38.31,34.170625,2.4054923320133446,31.26,31.26,31.29,31.81,31.87,32.56,32.94,33.47,34.2,34.69,34.93,36.48,36.67,37.17,37.82,38.31
367,211.0666666666667,9.733333333333334,15,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14",31.09,38.25,33.89533333333334,2.282962597639792,31.09,31.29,31.58,31.53,32.19,32.45,32.76,33.47,33.61,34.72,35.61,35.84,36.77,37.27,38.25,
68,487.24999999999994,359.87499999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.29,38.21,34.88875,2.456234096640628,31.29,31.36,31.89,32.24,32.81,33.38,33.83,34.56,35.49,35.78,36.52,37.27,37.49,37.95,38.21,38.15
172,338.0,27.4375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.02,38.06,34.223749999999995,2.44669387899263,31.02,31.29,31.29,31.55,32.01,32.44,32.61,33.74,34.3,35.42,36.06,36.34,36.55,37.47,38.06,37.43
439,179.0,110.31250000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.11,38.01,33.574375,2.6240235535099528,30.15,30.11,30.28,31.02,31.45,31.86,32.19,33.18,33.77,34.5,34.49,35.45,36.12,36.92,37.69,38.01
279,499.8125,85.75000000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.92,37.99,34.744375000000005,2.2296887920458763,31.92,32.1,32.19,32.34,32.34,33.15,33.39,34.39,34.83,35.29,36.42,37.02,37.29,37.42,37.83,37.99
442,307.5625,56.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.6,37.94,33.840624999999996,2.490939754264442,30.77,30.6,30.92,31.3,31.48,32.26,32.61,32.61,34.17,34.79,35.53,35.69,36.61,36.61,37.94,37.56
198,318.5,213.375,8,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_11",8.84,37.92,33.48875,9.330425281706082,36.02,37.09,37.09,37.92,37.09,37.29,36.57,,,,,8.84,,,,
406,100.0,80.125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.97,37.86,33.341875,2.571682860380533,29.97,30.57,30.22,30.82,30.85,31.36,32.18,32.65,33.59,33.93,34.68,34.98,35.71,36.67,37.43,37.86
91,260.0625,330.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.33,37.83,33.723749999999995,2.2725890384097167,30.33,31.5,31.57,31.57,31.87,31.02,32.94,32.94,33.75,34.09,35.52,35.78,36.91,37.83,36.24,35.72
180,447.6875,211.06250000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.15,37.83,33.506249999999994,2.7469320955385856,30.15,30.33,30.33,30.33,31.01,31.56,31.95,32.65,33.59,34.13,35.02,36.1,36.49,37.32,37.83,37.31
408,89.18749999999999,40.8125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.14,37.83,34.183749999999996,2.413979792272504,31.14,31.14,31.14,31.64,31.88,32.17,32.94,33.71,34.67,35.43,35.45,36.45,36.93,36.93,37.49,37.83
119,156.93749999999997,422.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.83,37.79,33.775625000000005,3.1061631652852695,29.83,29.83,29.83,30.28,30.56,31.38,32.01,32.75,35.05,36.39,36.39,36.88,37.04,37.05,37.35,37.79
167,430.9375,58.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.85,37.78,34.03875000000001,2.3629136542624662,30.99,30.85,31.16,31.36,31.95,32.62,32.94,33.71,34.49,34.49,35.48,35.88,36.44,36.7,37.78,37.78
318,206.0,99.31250000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.77,37.78,33.900625000000005,2.5333610795492625,30.77,30.77,31.15,31.29,31.55,32.19,32.34,33.16,33.84,34.49,35.05,35.95,36.85,37.45,37.78,37.78
411,239.0,19.0,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10",32.94,37.78,34.74545454545454,1.7129048354204084,33.05,32.94,32.94,32.94,33.71,34.49,34.97,36.02,36.44,36.92,37.78,,,,,
890,392.8,401.0,5,"z_10,z_12,z_13,z_14,z_15",37.07,37.69,37.318,0.22292599668948368,,,,,,,,,,,37.39,,37.11,37.07,37.69,37.33
109,220.74999999999997,380.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.15,37.67,33.76625,2.556865451583248,30.15,30.28,30.5,31.03,31.32,31.95,32.72,33.38,34.46,35.74,35.84,35.84,35.84,36.52,37.02,37.67
379,129.0,49.1875,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.29,37.59,34.130624999999995,2.34754783963501,31.29,31.29,31.37,31.57,31.63,32.61,32.82,33.35,34.54,34.71,35.48,36.57,36.61,37.1,37.59,37.56
72,403.12500000000006,356.0625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.37,37.55,33.593125,2.573047120511981,30.37,30.37,30.79,31.11,31.25,31.58,32.13,32.61,33.48,34.2,35.43,36.02,36.12,36.93,37.55,37.55
320,149.0,149.81249999999997,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.74,37.5,32.939375,2.5770100619467904,29.74,30.05,30.06,30.09,30.64,31.03,31.33,32.04,33.08,33.61,34.59,34.9,35.51,36.19,36.67,37.5
309,71.0,35.8125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.37,37.43,32.71625,2.7666222072230973,29.61,29.37,29.37,29.87,30.2,30.6,31.15,32.04,32.45,33.6,34.53,34.72,35.29,35.84,37.39,37.43
169,320.0,250.18750000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.83,37.4,32.860625,2.5328355373720965,30.05,30.09,30.46,29.83,30.91,31.25,31.25,31.9,31.9,33.33,34.1,34.5,35.43,36.25,37.12,37.4
146,412.0,177.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.51,37.39,31.83,2.8335776855417247,28.51,28.51,28.63,28.63,29.35,29.61,30.76,30.76,31.68,32.75,33.69,33.73,34.02,35.48,35.78,37.39
130,132.0,430.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.26,37.36,32.63875,2.6104067570974454,29.26,29.74,29.81,30.05,30.06,30.98,31.38,31.8,32.19,33.33,33.92,34.02,35.78,36.1,36.44,37.36
156,356.5625,215.37499999999997,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.33,37.29,33.496874999999996,2.3068585748534742,30.85,30.85,30.85,30.33,31.37,32.12,32.54,33.04,33.59,33.59,34.6,35.68,35.84,36.49,37.29,36.92
37,443.8333333333333,424.0,12,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_14,z_15",31.8,37.29,33.86083333333333,1.8034201688889802,31.8,31.83,31.92,32.39,32.94,32.94,33.71,34.49,35.07,35.5,,,,,36.45,37.29
433,293.3125,20.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.51,37.27,33.751875000000005,2.3564571361208766,30.51,30.97,30.99,31.26,31.37,32.05,32.54,33.34,33.85,34.46,35.42,35.88,36.47,36.63,37.02,37.27
136,146.0,460.56249999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",31.02,37.23,33.95375,2.336011223753002,31.02,31.25,31.25,31.8,31.8,32.05,32.34,33.01,33.93,34.67,35.46,36.39,36.93,36.97,37.16,37.23
93,304.0,423.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.6,37.2,32.61625,2.408427586102601,29.6,29.98,29.83,30.14,30.5,31.02,31.27,31.89,32.72,32.97,33.66,34.24,34.67,35.67,36.5,37.2
140,202.81249999999997,383.24999999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.15,37.12,33.69125,2.7200709434682038,30.15,30.24,30.22,30.33,30.33,32.2,32.54,33.59,34.5,35.2,35.84,36.39,36.57,37.12,36.92,36.92
254,409.0,96.31250000000001,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.26,37.12,32.40625,2.6468468859191683,29.26,29.54,29.38,30.07,29.98,30.24,30.83,31.33,31.98,32.94,33.76,34.59,35.16,35.95,36.37,37.12
124,242.0,475.4375,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.55,37.11,33.373125,2.7123115573943566,30.04,29.55,30.07,30.39,30.64,31.34,31.91,33.01,33.86,34.96,35.42,35.99,36.38,36.55,37.11,36.75
352,135.06250000000003,200.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.45,37.11,32.474999999999994,2.455880697428114,29.45,29.76,29.76,30.13,30.13,30.85,31.29,31.45,32.26,32.61,33.77,34.47,35.42,36.43,37.11,34.71
14,335.0,378.31250000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.69,37.1,31.873125,2.6723017203106014,28.69,28.94,29.01,29.26,29.13,29.46,30.5,31.17,31.58,32.94,33.53,33.84,34.02,35.15,35.65,37.1
60,333.68750000000006,496.18750000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.33,37.09,33.476875,2.4377877234031278,30.33,30.33,30.33,30.33,31.73,31.75,32.54,33.59,33.59,34.02,34.76,35.46,36.1,37.07,37.09,36.61
444,61.31249999999999,256.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.6,37.05,32.99187499999999,2.6855335101940163,30.05,29.64,30.08,29.6,30.6,30.81,31.38,32.34,32.98,33.74,34.74,35.8,36.04,36.51,36.51,37.05
291,24.5,9.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.83,36.97,32.83375,2.5086497239551004,29.83,29.95,29.85,30.06,30.23,31.25,31.36,32.65,32.99,33.04,33.96,34.84,35.69,36.09,36.97,36.58
113,227.0,360.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",30.37,36.92,33.675,2.290472112905983,30.37,30.78,31.02,31.02,31.92,32.09,32.57,32.94,33.73,34.93,35.0,36.1,36.42,36.48,36.51,36.92
303,131.0,164.31250000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.26,36.92,32.510625000000005,2.5304037937402404,29.26,29.26,29.97,30.1,30.24,30.77,31.05,31.75,32.54,32.99,33.21,34.69,35.18,35.95,36.29,36.92
353,151.0,183.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.08,36.92,32.35125,2.5682967970038044,29.08,29.54,29.54,29.54,30.03,30.61,31.13,31.29,32.04,32.94,33.71,34.49,34.97,35.46,36.33,36.92
441,133.0,182.31250000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.55,36.92,32.80875,2.564012663287761,29.55,29.6,30.33,30.39,30.39,31.12,31.38,31.8,32.34,33.36,33.85,35.03,35.68,36.4,36.8,36.92
469,40.0,118.87499999999999,8,"z_0,z_1,z_2,z_9,z_10,z_11,z_12,z_13",34.92,36.92,36.4825,0.6784126693982063,35.96,36.92,36.92,,,,,,,34.92,36.92,36.92,36.92,36.38,,
889,422.25,331.25,4,"z_10,z_11,z_12,z_14",34.92,36.92,35.59,0.8165169930871004,,,,,,,,,,,34.92,35.6,36.92,,34.92,
466,122.0,140.0,6,"z_0,z_1,z_2,z_3,z_4,z_5",35.42,36.9,36.214999999999996,0.5119163343099459,36.44,35.65,35.42,36.9,36.44,36.44,,,,,,,,,,
208,485.0,74.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.87,36.86,33.034375,2.3834532949850304,29.87,30.11,30.76,30.76,30.76,30.76,31.97,32.45,32.94,33.37,34.73,34.77,35.87,35.87,36.86,36.7
286,80.0625,137.50000000000003,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.45,36.73,32.416250000000005,2.4854775069390587,29.55,29.55,29.45,29.57,30.24,30.33,31.56,31.67,32.61,32.9,33.59,34.04,34.82,35.57,36.48,36.73
437,260.0,95.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.63,36.71,31.824375000000003,2.5194492670770336,29.13,28.63,29.38,29.38,29.44,29.55,30.28,31.34,31.63,32.34,32.82,33.58,34.67,34.89,35.42,36.71
38,401.8125,423.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.55,36.67,32.894375,2.545542596260177,29.55,29.83,29.83,29.83,30.79,31.38,31.92,32.15,32.34,33.73,34.67,34.93,35.91,36.34,36.44,36.67
17,363.9375,449.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.74,36.66,32.535,2.4356056741599206,29.74,30.05,30.05,30.22,30.22,30.24,31.0,31.15,32.54,33.14,33.84,34.56,34.93,36.18,36.04,36.66
891,176.0,262.0,6,"z_10,z_11,z_12,z_13,z_14,z_15",34.28,36.63,35.083333333333336,0.793739391880121,,,,,,,,,,,34.62,35.56,36.63,34.62,34.28,34.79
179,408.1875,221.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.63,36.59,31.98375,2.7029286778418697,28.92,28.63,29.03,29.14,29.44,30.11,30.41,31.25,31.92,32.4,33.19,34.01,34.76,35.91,36.03,36.59
15,434.5625,395.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.4,36.5,31.914375000000003,2.694239152223685,28.4,28.51,29.07,29.18,29.55,29.83,30.37,31.28,32.13,32.61,32.99,34.02,34.93,35.46,35.8,36.5
476,184.0,295.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",25.73,36.49,29.956875,3.65481996606878,26.07,25.73,26.24,26.4,26.61,27.28,27.78,28.98,29.18,29.45,36.44,36.49,34.69,32.41,32.4,33.16
197,481.0,125.0,1,z_0,36.44,36.44,36.44,0.0,36.44,,,,,,,,,,,,,,,
491,17.25,293.31250000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",27.95,36.42,32.19875,2.7367016529939834,28.69,27.95,28.69,29.46,30.05,30.33,30.33,32.05,32.75,33.98,34.39,34.92,34.92,35.12,35.13,36.42
176,376.5625,158.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",28.61,36.38,31.771874999999998,2.5641061277519315,28.61,28.95,28.96,28.94,29.36,29.83,30.5,31.34,31.45,32.34,33.14,33.59,33.86,35.26,35.84,36.38
29,332.0,425.0625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.46,36.34,32.57125,2.429562396296914,29.46,29.47,29.78,30.13,30.24,31.0,31.05,31.95,32.6,33.34,34.03,34.79,35.15,35.72,36.09,36.34
315,39.0,42.625,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.3,36.33,31.821875,2.3088585349421034,29.56,29.3,29.36,29.35,29.87,30.03,30.35,30.85,31.48,32.1,32.61,33.36,34.68,34.69,35.23,36.33
108,83.0,341.12500000000006,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",29.01,36.2,32.32125,2.5898356004773744,29.09,29.01,29.17,29.81,30.05,30.13,31.01,31.75,32.43,32.99,33.78,34.59,35.2,35.81,36.12,36.2
