Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,346.00,366.00,25.93,164.93,447.05,0.890
2,370.00,483.00,24.78,164.01,407.99,0.904
3,346.00,396.00,25.37,164.37,442.71,0.897
4,448.00,467.00,24.97,163.50,416.67,0.883
5,352.00,438.00,28.04,157.94,509.98,0.855
6,182.00,350.00,24.16,148.78,381.94,0.887
7,388.00,362.00,23.75,155.88,394.97,0.837
8,419.00,394.00,23.65,162.64,377.60,0.938
9,468.00,333.00,27.38,157.07,516.49,0.891
10,479.00,462.00,29.45,155.25,585.94,0.884
11,502.00,472.00,29.46,150.75,603.30,0.877
12,471.00,381.00,57.10,130.20,2356.77,0.889
13,363.00,467.00,28.03,155.77,520.83,0.863
14,362.00,331.00,27.66,158.29,525.17,0.906
15,453.00,409.00,26.78,163.63,483.94,0.895
16,329.00,394.00,28.26,157.55,549.05,0.885
17,432.00,411.00,25.70,163.81,440.54,0.829
18,481.00,343.00,28.63,153.89,566.41,0.913
19,31.00,354.00,27.17,135.62,486.11,0.853
20,370.00,497.00,25.97,153.82,440.54,0.866
21,213.00,493.00,32.94,142.02,748.70,0.895
22,77.00,324.00,26.96,151.89,488.28,0.904
23,221.00,431.00,23.65,148.28,377.60,0.938
24,71.00,428.00,26.17,145.65,455.73,0.907
25,496.00,341.00,23.44,159.14,368.92,0.916
26,210.00,421.00,25.17,152.15,423.18,0.925
27,239.00,456.00,24.30,145.16,386.28,0.897
28,455.00,363.00,26.21,158.98,460.07,0.916
29,263.00,442.00,23.40,158.62,368.92,0.916
30,449.00,377.00,24.57,160.21,421.01,0.892
31,502.00,329.00,25.13,158.05,423.18,0.869
32,19.00,375.00,27.33,134.78,520.83,0.898
33,225.00,455.00,27.44,140.51,499.13,0.861
34,453.00,348.00,24.33,164.69,397.14,0.909
35,123.00,480.00,28.34,138.64,375.43,0.605
36,364.00,450.00,30.24,155.79,646.70,0.893
37,434.00,395.00,29.83,158.50,620.66,0.902
38,335.00,379.00,29.46,155.31,607.64,0.883
39,332.00,425.00,31.00,152.23,664.06,0.884
40,378.00,321.00,41.93,140.67,1243.49,0.887
41,414.00,321.00,27.80,156.10,546.88,0.871
42,260.00,330.00,31.02,147.64,627.17,0.815
43,403.00,356.00,31.58,150.61,707.47,0.866
44,373.00,346.00,39.30,141.67,1104.60,0.897
45,318.00,410.00,37.12,147.72,948.35,0.901
46,425.00,464.00,37.50,143.84,1002.60,0.916
47,438.00,334.00,48.59,136.52,1694.88,0.883
48,348.00,348.00,35.70,148.55,898.44,0.883
49,380.00,458.00,34.02,148.93,811.63,0.917
50,402.00,423.00,31.38,154.48,670.57,0.871
51,432.00,377.00,35.84,146.57,937.50,0.910
52,416.00,414.00,27.95,158.42,542.53,0.936
53,410.00,439.00,30.23,156.43,635.85,0.901
54,337.00,409.00,28.42,159.16,555.56,0.885
55,356.00,381.00,34.46,152.08,850.69,0.889
56,430.00,316.00,27.09,161.09,503.47,0.920
58,420.00,353.00,27.95,160.73,533.85,0.921
59,400.00,379.00,40.78,138.17,1193.58,0.891
60,408.00,456.00,28.39,155.21,555.56,0.885
61,386.00,418.00,25.69,159.57,440.54,0.904
62,333.00,496.00,31.75,151.64,705.30,0.916
63,372.00,368.00,38.34,144.38,1015.62,0.891
64,451.00,392.00,29.00,159.97,564.24,0.852
65,464.00,474.00,36.42,147.39,922.31,0.914
66,474.00,433.00,39.46,143.60,1089.41,0.918
67,493.00,415.00,50.77,133.40,1842.45,0.891
68,344.00,469.00,40.06,142.49,1130.64,0.884
69,458.00,451.00,35.35,144.41,881.08,0.893
70,309.00,457.00,26.87,154.26,468.75,0.878
71,487.00,360.00,33.38,147.12,776.91,0.878
72,499.00,446.00,34.10,143.36,811.63,0.917
73,102.00,352.00,51.54,129.25,1916.23,0.889
74,117.00,410.00,38.67,140.45,1041.67,0.888
75,248.00,401.00,43.61,133.36,1356.34,0.887
76,254.00,365.00,37.36,140.30,991.75,0.888
77,292.00,409.00,28.63,155.07,570.75,0.885
78,171.00,328.00,53.28,127.73,2048.61,0.891
79,163.00,445.00,28.71,150.16,553.39,0.892
80,226.00,414.00,34.46,144.00,818.14,0.875
81,126.00,462.00,34.42,144.98,828.99,0.895
82,81.00,389.00,34.46,141.97,846.35,0.885
83,101.00,422.00,32.40,145.21,733.51,0.868
84,95.00,323.00,37.81,139.50,1013.45,0.907
