Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
284,340.0,68.0,1.0,42.42,1.55,44.15,-1.73,119.39,1247.83,0.89,44.76,0.603,z14
285,348.0,19.0,0.0,42.28,1.72,42.9,-0.62,119.28,1234.81,0.904,44.16,0.564,z15
286,325.0,192.0,0.0,43.6,1.75,46.87,-3.27,119.11,1308.59,0.878,46.32,0.691,z15
287,355.0,243.0,1.0,45.29,1.99,47.02,-1.73,117.38,1360.68,0.86,47.82,0.659,z12
288,316.0,31.0,0.0,32.44,1.44,35.1,-2.66,128.55,746.53,0.884,35.05,0.524,z15
289,373.0,62.0,0.0,32.77,1.81,34.89,-2.12,124.89,742.19,0.909,35.53,0.677,z15
290,411.0,171.0,0.0,39.82,1.65,41.79,-1.97,122.74,1032.99,0.87,42.68,0.521,z15
291,336.0,211.0,0.0,42.35,1.69,43.03,-0.68,119.85,1278.21,0.912,44.97,0.6,z14
292,385.0,100.0,0.0,31.29,1.7,34.23,-2.94,125.95,670.57,0.902,34.2,0.684,z15
293,360.0,38.0,1.0,34.46,1.41,36.38,-1.92,125.86,824.65,0.862,37.29,0.561,z15
294,352.0,266.0,0.0,34.36,1.54,36.85,-2.49,124.61,779.08,0.872,36.92,0.606,z15
295,435.0,233.0,1.0,51.77,1.97,56.32,-4.55,115.35,1892.36,0.865,54.3,0.6,z13
296,369.0,199.0,0.0,37.82,1.83,40.07,-2.25,123.85,1004.77,0.899,40.57,0.597,z15
297,424.0,211.0,0.0,46.3,2.11,47.66,-1.36,116.69,1477.86,0.86,49.19,0.667,z14
298,440.0,255.0,0.0,35.6,1.78,39.53,-3.93,124.76,859.38,0.898,38.47,0.554,z15
299,325.0,167.0,0.0,54.05,1.88,54.37,-0.32,113.93,2022.57,0.855,56.07,0.696,z12
300,375.0,217.0,0.0,38.28,1.57,40.25,-1.97,122.1,1009.11,0.903,40.5,0.648,z14
301,390.0,287.0,0.0,41.51,1.23,43.23,-1.72,118.44,1197.92,0.894,43.97,0.917,z15
302,359.0,181.0,1.0,37.75,2.09,40.55,-2.8,122.34,948.35,0.874,40.62,0.614,z14
303,401.0,187.0,0.0,33.86,1.89,37.23,-3.37,125.64,779.08,0.901,36.55,0.625,z15
