Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
464,134.00,23.00,46.76,119.13,1408.42,0.793,1.67,49.57,0.455
465,230.00,124.00,60.18,112.02,2575.95,0.868,1.74,62.24,0.647
466,269.00,172.00,46.03,118.98,1356.34,0.857,1.83,48.63,0.524
467,250.00,160.00,36.08,124.96,876.74,0.851,1.74,38.83,0.500
468,87.00,268.00,70.28,109.48,3480.90,0.819,1.39,72.43,0.454
469,101.00,303.00,50.35,110.81,1751.30,0.847,1.50,50.98,0.615
470,261.00,26.00,33.69,124.87,774.74,0.867,1.32,36.12,0.621
471,443.00,424.00,38.53,120.79,1026.48,0.882,1.80,41.16,0.815
472,409.00,497.00,32.94,121.73,618.49,0.765,2.26,35.84,0.417
473,316.00,15.00,25.86,131.34,447.05,0.890,1.48,28.56,0.521
474,309.00,177.00,23.75,127.44,388.45,0.850,1.88,26.37,0.792
475,431.00,320.00,25.86,127.09,440.54,0.904,2.06,28.71,0.542
476,493.00,241.00,25.47,107.38,410.16,0.880,2.29,28.34,0.717
477,262.00,63.00,23.53,134.89,368.92,0.916,1.37,26.15,0.568
478,73.00,127.00,26.02,131.64,436.20,0.895,1.84,28.85,0.500
479,277.00,22.00,26.44,124.28,477.43,0.910,1.41,29.18,0.640
480,455.00,406.00,40.81,118.85,1158.85,0.888,1.89,43.70,0.693
481,415.00,152.00,23.53,116.43,368.92,0.916,1.49,26.34,0.568
482,428.00,382.00,41.95,121.96,1204.43,0.882,1.73,44.33,0.526
483,117.00,53.00,27.16,135.31,473.09,0.886,1.58,30.05,0.500
484,99.00,235.00,29.47,125.10,575.09,0.845,1.92,31.95,0.661
485,8.00,289.00,26.68,121.56,496.96,0.882,1.93,29.61,0.731
486,467.00,66.00,38.95,107.48,1061.20,0.887,1.25,41.22,0.514
487,445.00,214.00,33.91,117.89,748.70,0.854,2.19,36.86,0.607
488,337.00,278.00,29.08,126.74,562.07,0.906,1.89,31.88,0.556
489,214.00,246.00,28.54,126.42,546.88,0.858,1.96,31.45,0.630
490,118.00,242.00,29.13,125.13,568.58,0.858,1.70,31.90,0.607
491,82.00,245.00,26.25,122.98,460.07,0.877,1.76,28.94,0.711
492,349.00,321.00,46.46,119.29,1425.78,0.830,-1.01,85.04,0.828
493,414.00,416.00,34.85,125.57,826.82,0.913,1.60,37.70,0.547
494,367.00,354.00,40.47,121.34,1098.09,0.899,1.78,43.17,0.548
495,490.00,361.00,32.40,123.45,694.44,0.850,1.77,35.13,0.532
496,481.00,114.00,25.36,108.57,421.01,0.892,1.39,27.95,0.583
497,486.00,186.00,27.16,118.43,490.45,0.881,1.67,30.05,0.600
498,489.00,75.00,41.03,111.76,976.56,0.809,1.48,43.58,0.526
499,336.00,372.00,48.94,116.11,1694.88,0.883,2.01,51.79,0.607
500,444.00,446.00,47.87,116.07,1631.94,0.913,1.28,50.44,0.778
501,405.00,90.00,49.50,116.96,1360.68,0.803,1.85,52.30,0.512
502,447.00,115.00,25.91,112.93,405.82,0.848,1.10,27.33,0.604
503,421.00,351.00,46.56,118.03,1512.59,0.860,1.57,49.07,0.619
504,433.00,405.00,50.12,116.14,1773.00,0.904,1.80,52.68,0.604
505,495.00,489.00,31.73,153.46,553.39,0.831,-0.68,30.37,0.231
506,497.00,196.00,28.05,111.71,512.15,0.920,1.37,30.18,0.600
507,158.00,31.00,26.15,130.36,440.54,0.904,1.99,28.69,0.646
508,349.00,321.00,45.07,119.01,1345.49,0.835,1.45,47.96,0.931
509,213.00,415.00,25.17,133.45,407.99,0.904,1.81,28.03,0.511
510,313.00,211.00,49.23,116.14,1679.69,0.910,0.40,97.65,0.878
511,385.00,489.00,31.73,154.53,568.58,0.845,-1.96,27.81,0.167
512,447.00,101.00,27.06,114.50,477.43,0.858,1.50,29.81,0.640
513,310.00,313.00,36.94,124.07,872.40,0.873,1.91,39.86,0.545
514,139.00,213.00,40.30,120.62,1095.92,0.916,1.69,42.98,0.500
515,213.00,73.00,25.99,132.40,460.07,0.877,1.50,28.74,0.580
516,301.00,40.00,26.87,134.79,464.41,0.870,1.63,29.78,0.542
517,70.00,225.00,44.74,115.22,1399.74,0.863,1.85,46.82,0.616
518,274.00,68.00,26.10,134.54,464.41,0.885,1.58,28.94,0.500
519,255.00,234.00,39.39,120.11,1017.80,0.795,1.29,41.76,0.446
520,64.00,52.00,26.12,130.01,453.56,0.931,1.87,28.96,0.625
521,13.00,75.00,23.53,131.07,364.58,0.863,1.62,26.19,0.587
522,32.00,40.00,47.51,113.52,1545.14,0.818,1.27,49.83,0.543
523,272.00,54.00,26.15,131.78,449.22,0.922,1.77,28.98,0.562
524,251.00,200.00,24.82,133.89,416.67,0.883,1.55,27.56,0.562
525,503.00,117.00,35.17,120.12,755.21,0.842,1.51,37.86,0.565
526,396.00,412.00,37.56,120.52,907.12,0.796,1.83,40.24,0.528
527,122.00,260.00,25.77,132.70,423.18,0.869,1.76,28.62,0.458
528,289.00,13.00,28.07,128.46,509.98,0.855,1.90,31.01,0.558
529,18.00,62.00,26.35,126.21,468.75,0.910,1.35,28.51,0.635
530,290.00,252.00,26.10,133.24,434.03,0.903,1.69,28.94,0.565
531,273.00,296.00,32.21,126.23,687.93,0.894,1.85,35.07,0.517
532,136.00,103.00,33.98,123.58,800.78,0.884,1.79,36.83,0.641
533,174.00,37.00,33.59,125.53,744.36,0.890,1.86,36.44,0.516
534,31.00,271.00,34.88,118.69,824.65,0.902,1.73,37.50,0.652
535,239.00,228.00,26.87,133.85,462.24,0.892,1.77,29.78,0.542
536,47.00,97.00,32.71,121.66,718.32,0.859,1.89,35.48,0.629
537,223.00,293.00,28.03,131.74,509.98,0.855,1.67,30.46,0.538
538,315.00,297.00,27.28,128.08,503.47,0.868,1.90,30.15,0.673
539,273.00,269.00,25.54,135.34,444.88,0.913,1.42,28.38,0.542
540,179.00,8.00,24.57,136.78,403.65,0.855,1.57,27.41,0.562
541,175.00,298.00,31.02,125.99,655.38,0.905,1.63,33.59,0.569
542,167.00,219.00,28.34,129.70,559.90,0.878,1.68,31.25,0.630
543,249.00,143.00,27.95,132.18,533.85,0.921,1.69,30.76,0.577
544,17.00,309.00,30.98,120.02,655.38,0.905,1.44,33.21,0.552
545,427.00,425.00,25.82,129.19,449.22,0.922,1.58,28.33,0.604
546,100.00,59.00,43.95,120.07,1128.47,0.833,1.72,46.82,0.539
547,145.00,57.00,25.77,130.23,464.41,0.885,1.69,28.58,0.640
548,168.00,275.00,27.95,128.19,516.49,0.891,1.71,30.51,0.596
549,304.00,22.00,24.33,137.63,390.62,0.866,1.42,27.16,0.500
550,88.00,333.00,40.59,112.74,883.25,0.791,1.19,42.18,0.390
551,301.00,262.00,26.10,133.16,451.39,0.898,1.63,28.94,0.521
552,108.00,257.00,28.56,129.93,507.81,0.876,0.11,28.78,0.365
553,132.00,250.00,24.70,134.25,403.65,0.855,1.34,27.16,0.583
554,230.00,240.00,31.95,124.52,657.55,0.854,1.69,34.53,0.517
555,165.00,246.00,23.41,135.50,368.92,0.916,1.37,26.15,0.548
556,298.00,275.00,24.49,134.21,390.62,0.827,1.74,27.33,0.625
557,307.00,86.00,30.97,126.88,633.68,0.875,1.54,33.74,0.517
558,287.00,267.00,27.23,130.93,505.64,0.898,1.65,29.98,0.608
559,66.00,250.00,37.27,120.28,868.06,0.842,1.92,40.07,0.500
560,351.00,90.00,25.45,133.22,427.52,0.878,1.06,27.57,0.500
561,174.00,52.00,25.79,134.85,449.22,0.846,1.34,28.38,0.481
562,93.00,120.00,24.87,132.05,416.67,0.883,1.47,27.50,0.604
563,348.00,388.00,30.26,128.78,629.34,0.901,1.64,33.14,0.500
564,285.00,282.00,33.59,124.39,740.02,0.915,1.23,35.42,0.500
565,423.00,476.00,27.99,129.16,503.47,0.905,2.17,30.81,0.600
566,41.00,286.00,36.49,118.58,872.40,0.884,1.54,38.70,0.515
