Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,211.00,106.00,41.32,139.89,1223.96,0.890
1,110.00,33.00,53.65,127.99,2037.76,0.839
2,86.00,32.00,36.53,145.24,930.99,0.895
3,156.00,104.00,41.22,138.85,1206.60,0.901
4,180.00,107.00,46.00,134.45,1549.48,0.917
5,292.00,74.00,42.64,137.70,1263.02,0.863
6,178.00,135.00,39.20,141.63,1080.73,0.921
7,312.00,235.00,42.22,137.44,1252.17,0.894
8,109.00,189.00,49.56,131.06,1788.19,0.898
9,170.00,85.00,40.78,141.49,1174.05,0.869
10,31.00,79.00,47.60,129.13,1616.75,0.890
11,130.00,66.00,39.23,141.28,1054.69,0.899
12,254.00,127.00,33.68,150.94,785.59,0.887
13,83.00,97.00,33.76,147.25,802.95,0.907
14,75.00,13.00,41.62,138.96,1241.32,0.926
15,230.00,151.00,47.10,134.95,1588.54,0.909
16,29.00,123.00,44.67,130.65,1408.42,0.890
17,161.00,183.00,40.10,140.72,1130.64,0.884
18,116.00,10.00,34.37,147.08,826.82,0.884
19,40.00,18.00,34.36,140.64,811.63,0.888
20,63.00,203.00,43.96,134.21,1347.66,0.904
21,287.00,162.00,35.72,146.64,891.93,0.884
22,108.00,115.00,33.53,144.29,789.93,0.892
23,255.00,234.00,36.06,143.27,902.78,0.876
24,50.00,263.00,40.45,135.39,1154.51,0.885
25,126.00,87.00,35.95,144.56,907.12,0.891
26,169.00,20.00,30.26,150.07,629.34,0.901
27,96.00,14.00,33.97,146.94,807.29,0.855
28,62.00,284.00,48.91,129.73,1727.43,0.915
29,250.00,160.00,33.16,148.70,757.38,0.905
30,252.00,105.00,48.45,131.42,1640.62,0.869
31,262.00,254.00,40.57,140.57,1156.68,0.904
32,230.00,124.00,57.62,125.60,2335.07,0.881
33,242.00,260.00,36.10,144.17,913.63,0.906
34,36.00,192.00,32.17,144.67,737.85,0.903
35,195.00,150.00,43.23,135.31,1306.42,0.892
36,90.00,163.00,40.51,137.14,1184.90,0.894
37,196.00,86.00,52.07,130.67,1950.95,0.897
38,117.00,212.00,40.43,139.83,1165.36,0.911
39,64.00,87.00,40.35,138.68,1124.13,0.896
40,226.00,200.00,38.26,143.20,1000.43,0.922
41,49.00,178.00,32.75,142.35,740.02,0.885
42,266.00,9.00,31.89,151.31,705.30,0.916
43,91.00,78.00,37.71,143.29,980.90,0.923
44,50.00,64.00,39.21,133.86,1074.22,0.897
45,31.00,172.00,32.94,143.34,770.40,0.891
46,132.00,44.00,36.57,142.38,959.20,0.877
47,185.00,188.00,36.49,144.39,930.99,0.923
48,202.00,263.00,32.13,144.86,720.49,0.913
49,111.00,166.00,32.40,144.38,746.53,0.914
50,217.00,276.00,38.46,141.64,1037.33,0.884
51,161.00,148.00,38.25,138.69,1011.28,0.887
52,197.00,123.00,38.46,140.25,1050.35,0.895
53,111.00,74.00,31.56,150.52,700.95,0.910
54,163.00,65.00,30.76,153.43,642.36,0.887
55,243.00,182.00,52.27,129.97,1940.10,0.905
56,233.00,49.00,30.33,151.70,677.08,0.902
57,267.00,148.00,45.32,136.75,1417.10,0.874
58,31.00,41.00,44.57,129.04,1401.91,0.901
59,138.00,168.00,32.17,148.84,737.85,0.903
60,195.00,241.00,40.65,136.34,1152.34,0.900
61,224.00,259.00,27.95,152.28,533.85,0.921
62,44.00,139.00,33.67,143.09,792.10,0.916
63,39.00,213.00,44.39,132.02,1393.23,0.896
64,182.00,67.00,33.77,147.99,807.29,0.912
65,113.00,275.00,38.95,139.67,1074.22,0.897
66,159.00,126.00,38.49,142.65,1046.01,0.892
67,290.00,206.00,37.65,141.35,998.26,0.876
68,214.00,229.00,32.81,145.44,753.04,0.871
69,89.00,183.00,29.61,152.83,596.79,0.877
70,141.00,146.00,33.96,144.22,807.29,0.912
71,231.00,100.00,32.34,148.18,737.85,0.903
72,106.00,93.00,34.49,145.72,833.33,0.941
73,274.00,126.00,35.92,143.31,913.63,0.906
74,19.00,186.00,29.37,147.97,603.30,0.911
75,218.00,23.00,45.29,134.22,1382.38,0.824
76,268.00,172.00,41.62,140.21,1130.64,0.884
77,14.00,230.00,40.45,133.06,1161.02,0.907
78,243.00,282.00,44.21,134.67,1345.49,0.896
79,176.00,257.00,37.33,138.98,989.58,0.868
80,213.00,50.00,39.80,139.44,1098.09,0.875
81,144.00,278.00,34.93,139.22,863.72,0.875
82,52.00,116.00,43.50,132.56,1269.53,0.861
83,306.00,156.00,33.74,149.96,802.95,0.878
84,299.00,56.00,29.18,153.13,585.94,0.884
85,291.00,29.00,27.41,156.38,520.83,0.898
86,289.00,142.00,35.75,145.20,898.44,0.910
87,136.00,104.00,29.83,150.11,633.68,0.921
88,148.00,73.00,29.87,152.31,607.64,0.917
89,247.00,37.00,31.37,152.54,674.91,0.877
90,47.00,97.00,30.15,145.86,614.15,0.903
91,16.00,206.00,42.44,131.07,1236.98,0.867
92,139.00,213.00,36.60,140.33,972.22,0.889
93,250.00,216.00,32.54,148.14,737.85,0.891
94,177.00,169.00,35.01,146.26,868.06,0.907
95,264.00,282.00,30.33,149.79,668.40,0.890
96,213.00,139.00,31.68,149.71,677.08,0.858
97,226.00,65.00,30.10,149.93,635.85,0.868
98,294.00,102.00,27.95,155.55,538.19,0.928
99,70.00,225.00,40.36,137.69,1156.68,0.904
100,88.00,206.00,53.97,128.00,2068.14,0.869
101,40.00,287.00,34.17,140.66,753.04,0.859
102,60.00,29.00,34.28,143.00,809.46,0.865
103,26.00,247.00,35.42,137.37,868.06,0.907
104,212.00,176.00,74.76,119.62,3980.03,0.831
105,286.00,46.00,31.33,149.02,661.89,0.904
106,13.00,90.00,30.01,147.27,620.66,0.902
107,80.00,50.00,29.97,153.01,614.15,0.903
108,290.00,183.00,44.15,136.78,1380.21,0.887
109,183.00,283.00,32.61,145.61,742.19,0.909
110,273.00,221.00,43.51,136.26,1302.08,0.889
111,188.00,23.00,36.07,143.92,909.29,0.901
112,158.00,47.00,31.81,146.91,707.47,0.866
113,74.00,68.00,34.92,141.11,859.38,0.898
114,315.00,48.00,29.36,154.13,594.62,0.897
115,170.00,202.00,34.21,146.42,815.97,0.892
116,227.00,218.00,27.76,157.86,516.49,0.891
117,64.00,184.00,25.44,159.51,423.18,0.869
118,177.00,232.00,32.02,148.54,724.83,0.887
119,149.00,250.00,36.29,139.87,917.97,0.883
120,190.00,49.00,36.43,142.41,913.63,0.906
121,139.00,233.00,33.08,149.15,750.87,0.877
122,22.00,147.00,44.77,128.69,1397.57,0.847
123,9.00,131.00,30.33,144.23,638.02,0.913
124,45.00,159.00,34.39,141.02,833.33,0.871
125,139.00,190.00,47.70,131.78,1497.40,0.838
126,248.00,14.00,32.94,144.02,766.06,0.886
127,226.00,310.00,32.61,144.82,746.53,0.914
128,275.00,106.00,37.64,140.21,944.01,0.870
129,66.00,250.00,33.59,142.23,772.57,0.902
130,33.00,303.00,27.95,148.92,542.53,0.936
131,189.00,216.00,41.13,136.71,1184.90,0.884
132,49.00,236.00,50.33,127.24,1666.67,0.844
133,229.00,240.00,28.33,152.97,540.36,0.906
134,99.00,58.00,41.51,136.89,1213.11,0.889
135,160.00,290.00,32.61,146.44,737.85,0.903
136,260.00,309.00,37.09,143.91,928.82,0.901
137,217.00,88.00,28.75,157.33,562.07,0.906
138,175.00,37.00,30.76,147.80,655.38,0.873
139,113.00,137.00,39.35,134.70,1052.52,0.905
140,32.00,270.00,31.01,142.87,681.42,0.907
141,307.00,138.00,26.44,160.33,481.77,0.918
142,32.00,104.00,25.21,154.09,436.20,0.895
143,297.00,224.00,27.92,152.58,542.53,0.899
144,223.00,293.00,24.63,162.74,410.16,0.897
145,303.00,123.00,26.86,159.08,492.62,0.875
146,76.00,174.00,24.54,158.90,394.97,0.875
147,145.00,89.00,25.73,160.18,444.88,0.913
148,261.00,27.00,30.10,149.47,629.34,0.869
149,87.00,268.00,66.70,121.17,3118.49,0.806
150,175.00,298.00,27.57,151.82,533.85,0.885
151,80.00,114.00,23.75,158.16,407.99,0.864
152,308.00,285.00,24.00,160.63,377.60,0.877
153,23.00,287.00,25.58,148.73,436.20,0.857
154,155.00,165.00,26.34,158.47,468.75,0.894
155,297.00,299.00,36.55,141.31,937.50,0.857
156,51.00,44.00,27.04,150.57,501.30,0.890
157,285.00,282.00,31.01,144.26,664.06,0.884
158,301.00,40.00,23.75,159.05,403.65,0.855
159,262.00,43.00,25.82,161.62,436.20,0.895
160,205.00,296.00,40.51,135.55,1167.53,0.881
161,233.00,83.00,24.66,157.34,399.31,0.885
162,125.00,155.00,28.03,154.13,516.49,0.891
163,68.00,105.00,23.82,159.25,386.28,0.915
164,274.00,296.00,29.74,148.77,596.79,0.877
165,310.00,102.00,24.76,160.26,429.69,0.910
166,239.00,228.00,23.75,163.07,375.43,0.860
167,141.00,301.00,48.10,131.22,1547.31,0.901
168,134.00,22.00,43.05,137.23,1250.00,0.854
169,167.00,219.00,25.60,158.28,442.71,0.881
170,12.00,115.00,25.17,152.95,407.99,0.904
171,270.00,196.00,47.51,131.84,1458.33,0.808
172,307.00,193.00,25.60,160.08,436.20,0.895
173,202.00,35.00,27.50,148.56,529.51,0.913
174,312.00,271.00,26.52,154.77,475.26,0.895
175,290.00,252.00,23.29,160.43,368.92,0.873
176,120.00,103.00,23.75,155.82,407.99,0.864
177,122.00,260.00,23.75,157.49,364.58,0.906
178,17.00,309.00,28.34,144.58,531.68,0.891
179,249.00,143.00,24.97,163.53,412.33,0.873
180,87.00,141.00,38.25,135.32,1000.43,0.836
181,250.00,53.00,27.41,155.64,503.47,0.868
182,301.00,262.00,24.41,157.07,392.80,0.900
183,200.00,65.00,27.50,156.10,520.83,0.898
184,243.00,302.00,27.76,154.34,516.49,0.891
185,99.00,235.00,26.37,150.52,468.75,0.894
186,168.00,275.00,24.66,158.76,403.65,0.895
187,118.00,243.00,26.34,153.68,468.75,0.894
188,273.00,269.00,23.44,161.69,368.92,0.916
189,33.00,60.00,24.66,153.58,403.65,0.895
190,18.00,62.00,23.40,153.59,364.58,0.906
191,138.00,123.00,38.55,136.02,970.05,0.834
192,267.00,89.00,25.50,158.18,414.50,0.890
193,101.00,303.00,46.76,126.51,1564.67,0.890
194,108.00,257.00,26.10,148.96,464.41,0.885
195,70.00,156.00,32.82,142.16,740.02,0.885
196,249.00,71.00,25.60,157.72,418.84,0.860
197,310.00,314.00,33.28,146.25,770.40,0.921
198,287.00,267.00,24.30,162.54,384.11,0.922
199,315.00,298.00,24.30,160.43,377.60,0.877
200,213.00,73.00,23.29,158.97,381.94,0.904
201,307.00,87.00,28.14,150.09,549.05,0.885
202,288.00,13.00,25.68,151.88,440.54,0.866
203,8.00,288.00,24.30,150.64,379.77,0.912
204,73.00,127.00,23.56,154.49,368.92,0.873
205,214.00,246.00,26.34,150.87,468.75,0.894
206,64.00,52.00,23.63,150.92,364.58,0.824
207,316.00,15.00,23.68,156.97,373.26,0.884
208,158.00,31.00,23.29,154.40,364.58,0.863
209,277.00,22.00,24.39,146.32,390.62,0.925
210,219.00,344.00,41.93,139.04,1252.17,0.894
211,247.00,369.00,33.60,151.09,774.74,0.896
212,246.00,406.00,41.96,138.74,1256.51,0.897
213,303.00,356.00,37.57,144.13,1000.43,0.896
214,283.00,364.00,40.10,140.22,1139.32,0.890
215,224.00,368.00,50.30,131.78,1853.30,0.891
216,206.00,432.00,43.45,135.56,1345.49,0.887
217,276.00,397.00,51.84,129.84,1916.23,0.881
218,172.00,327.00,33.59,146.28,774.74,0.867
219,13.00,465.00,38.46,133.08,1050.35,0.895
220,265.00,330.00,40.71,138.40,1167.53,0.871
