Center_X_px,Center_Y_px,Diameter_μm,slide
212.0,176.0,77.96,z10
87.0,267.0,71.63,z12
213.0,476.0,68.72,z09
467.0,366.0,64.5,z12
64.0,312.0,62.92,z13
364.0,458.0,62.58,z13
336.0,43.0,62.1,z10
83.0,472.0,61.7,z13
244.0,346.0,60.71,z09
230.0,124.0,60.63,z12
392.0,351.0,58.67,z13
88.0,206.0,58.08,z14
469.0,321.0,58.03,z14
111.0,33.0,57.93,z15
273.0,481.0,57.75,z14
243.0,181.0,57.27,z14
484.0,50.0,56.97,z14
435.0,127.0,56.89,z13
276.0,397.0,56.63,z12
224.0,368.0,56.6,z12
196.0,86.0,56.45,z14
435.0,234.0,56.32,z13
185.0,466.0,56.1,z15
496.0,215.0,55.78,z10
496.0,261.0,55.5,z03
48.0,236.0,55.41,z15
378.0,120.0,55.39,z13
63.0,284.0,55.32,z14
109.0,189.0,55.0,z15
139.0,190.0,54.92,z14
383.0,482.0,54.8,z00
395.0,31.0,54.47,z12
477.0,25.0,54.45,z15
325.0,167.0,54.37,z12
429.0,94.0,54.33,z15
231.0,151.0,54.11,z13
466.0,164.0,54.09,z13
359.0,141.0,53.88,z15
418.0,70.0,53.47,z11
141.0,454.0,53.37,z11
31.0,79.0,53.27,z15
167.0,486.0,53.12,z14
65.0,340.0,52.36,z15
141.0,301.0,52.26,z14
252.0,105.0,52.17,z11
128.0,323.0,52.0,z13
335.0,419.0,51.94,z11
444.0,446.0,51.72,z15
385.0,147.0,51.45,z12
432.0,405.0,51.45,z14
180.0,107.0,51.24,z13
405.0,90.0,51.24,z13
270.0,197.0,51.07,z08
313.0,211.0,50.79,z15
409.0,273.0,50.73,z10
243.0,430.0,50.71,z09
29.0,123.0,50.48,z14
39.0,212.0,50.45,z13
290.0,184.0,50.42,z11
459.0,45.0,50.4,z14
184.0,441.0,50.39,z15
101.0,303.0,50.35,z11
196.0,151.0,50.26,z15
451.0,84.0,50.17,z14
267.0,148.0,50.11,z10
211.0,107.0,50.1,z12
34.0,411.0,49.93,z12
327.0,329.0,49.84,z10
193.0,319.0,49.83,z14
148.0,341.0,49.83,z13
22.0,146.0,49.83,z12
36.0,322.0,49.82,z13
219.0,23.0,49.7,z12
316.0,68.0,49.67,z14
471.0,259.0,49.62,z15
421.0,351.0,49.52,z15
62.0,203.0,49.38,z15
133.0,23.0,49.24,z15
336.0,372.0,49.2,z14
427.0,184.0,49.18,z15
32.0,40.0,49.18,z15
243.0,282.0,49.17,z14
219.0,344.0,49.09,z14
273.0,221.0,49.06,z10
246.0,406.0,49.04,z14
464.0,431.0,48.9,z13
456.0,141.0,48.81,z15
52.0,117.0,48.77,z15
408.0,394.0,48.35,z12
269.0,172.0,48.32,z14
316.0,442.0,48.11,z12
330.0,110.0,47.95,z15
17.0,206.0,47.85,z15
424.0,211.0,47.66,z14
498.0,411.0,47.63,z06
206.0,432.0,47.6,z13
57.0,472.0,47.52,z15
488.0,97.0,47.51,z15
297.0,383.0,47.33,z12
146.0,430.0,47.29,z14
157.0,104.0,47.27,z15
445.0,353.0,47.22,z13
356.0,243.0,47.02,z12
11.0,413.0,46.98,z15
11.0,369.0,46.9,z01
292.0,74.0,46.9,z15
325.0,192.0,46.87,z15
170.0,85.0,46.84,z15
90.0,163.0,46.82,z14
262.0,254.0,46.82,z15
177.0,361.0,46.82,z12
401.0,432.0,46.68,z13
312.0,235.0,46.68,z13
14.0,230.0,46.63,z15
75.0,13.0,46.63,z13
349.0,321.0,46.46,z11
126.0,383.0,46.31,z08
117.0,212.0,46.29,z15
89.0,452.0,46.2,z15
99.0,58.0,46.17,z10
438.0,290.0,46.0,z03
467.0,104.0,45.85,z13
162.0,183.0,45.79,z13
189.0,216.0,45.77,z12
283.0,364.0,45.76,z15
205.0,296.0,45.74,z14
70.0,225.0,45.58,z13
440.0,60.0,45.41,z15
64.0,87.0,45.3,z12
380.0,424.0,45.24,z13
50.0,263.0,45.22,z12
320.0,392.0,45.21,z13
130.0,66.0,45.06,z15
144.0,397.0,44.99,z12
213.0,50.0,44.99,z12
265.0,330.0,44.98,z13
312.0,420.0,44.97,z13
417.0,25.0,44.97,z15
112.0,275.0,44.89,z13
195.0,241.0,44.88,z13
36.0,461.0,44.87,z14
178.0,135.0,44.73,z15
102.0,358.0,44.67,z09
297.0,300.0,44.59,z15
406.0,479.0,44.43,z14
438.0,39.0,44.39,z13
475.0,222.0,44.19,z14
413.0,240.0,44.18,z14
50.0,64.0,44.15,z15
341.0,68.0,44.15,z14
428.0,382.0,44.14,z14
467.0,66.0,44.02,z15
438.0,19.0,44.01,z12
159.0,126.0,43.97,z15
499.0,16.0,43.97,z06
243.0,320.0,43.94,z11
378.0,373.0,43.9,z13
449.0,468.0,43.81,z12
113.0,138.0,43.77,z15
476.0,412.0,43.73,z15
226.0,200.0,43.7,z13
289.0,417.0,43.6,z15
139.0,213.0,43.55,z15
479.0,280.0,43.54,z15
359.0,106.0,43.54,z15
197.0,123.0,43.54,z13
304.0,462.0,43.44,z14
217.0,276.0,43.39,z13
375.0,334.0,43.38,z15
13.0,465.0,43.28,z13
204.0,388.0,43.23,z13
390.0,287.0,43.23,z15
291.0,206.0,43.08,z14
396.0,220.0,43.04,z15
336.0,211.0,43.03,z14
384.0,77.0,43.03,z15
465.0,454.0,43.01,z13
481.0,471.0,42.99,z12
459.0,12.0,42.95,z13
355.0,299.0,42.94,z15
348.0,19.0,42.9,z15
367.0,391.0,42.9,z14
31.0,441.0,42.74,z15
87.0,142.0,42.64,z15
161.0,148.0,42.53,z12
124.0,362.0,42.44,z12
154.0,320.0,42.24,z13
