Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
683,143.00,89.00,21.53,140.02,301.65,0.877,5.80,32.44,0.471
684,259.00,58.00,44.15,119.24,1328.12,0.833,4.66,53.17,0.522
685,293.00,137.00,22.88,141.78,334.20,0.872,5.80,34.05,0.451
686,52.00,46.00,17.00,134.09,182.29,0.880,5.37,26.68,0.526
687,106.00,102.00,18.35,142.90,212.67,0.878,5.63,28.34,0.508
688,44.00,261.00,15.87,111.74,169.27,0.902,6.66,26.68,0.500
689,69.00,68.00,18.28,102.65,214.84,0.871,5.65,27.23,0.557
690,104.00,124.00,15.02,153.41,132.38,0.863,5.61,25.58,0.528
691,275.00,22.00,16.87,142.74,184.46,0.935,6.24,28.34,0.368
692,132.00,118.00,19.36,139.08,227.86,0.848,5.81,29.65,0.445
693,175.00,487.00,22.96,137.87,351.56,0.873,5.94,34.20,0.371
694,50.00,190.00,13.83,156.81,115.02,0.841,5.35,24.30,0.548
695,258.00,95.00,22.22,137.59,323.35,0.874,6.22,33.92,0.433
696,14.00,111.00,16.63,124.83,173.61,0.838,5.11,25.36,0.600
697,239.00,193.00,19.40,137.71,225.69,0.760,5.88,30.97,0.718
698,169.00,313.00,19.68,140.26,247.40,0.904,5.71,30.05,0.450
699,168.00,238.00,15.39,149.44,141.06,0.852,5.59,25.44,0.476
700,52.00,228.00,17.00,145.23,177.95,0.859,4.97,26.24,0.505
701,179.00,302.00,18.85,141.03,230.03,0.893,5.49,29.46,0.393
702,205.00,138.00,18.78,145.82,212.67,0.878,5.21,28.34,0.534
703,454.00,206.00,16.63,120.21,173.61,0.838,5.33,26.12,0.478
704,377.00,234.00,16.34,124.07,149.74,0.876,6.22,26.71,0.560
705,387.00,233.00,18.63,109.90,219.18,0.888,5.56,27.95,0.530
706,410.00,168.00,23.05,113.77,342.88,0.895,5.71,32.54,0.456
707,331.00,6.00,16.63,134.38,173.61,0.838,5.53,26.84,0.440
708,463.00,190.00,19.79,116.38,253.91,0.842,4.66,28.58,0.717
709,351.00,262.00,20.52,113.95,282.12,0.899,5.12,29.92,0.500
710,442.00,72.00,16.34,147.33,149.74,0.876,5.86,28.07,0.600
711,392.00,290.00,21.06,138.32,273.44,0.807,6.26,32.18,0.455
712,357.00,302.00,22.56,116.03,327.69,0.886,5.86,31.86,0.472
713,501.00,249.00,19.26,136.95,223.52,0.831,5.89,29.61,0.422
714,353.00,240.00,13.60,151.62,95.49,0.780,4.61,22.83,0.564
715,373.00,196.00,19.31,109.29,236.55,0.830,5.88,29.08,0.473
716,333.00,126.00,21.76,105.66,236.55,0.784,5.31,30.65,0.448
717,397.00,114.00,18.10,147.33,190.97,0.840,5.89,29.61,0.533
718,463.00,190.00,19.26,126.25,219.18,0.866,4.26,27.78,0.733
719,465.00,257.00,22.44,135.46,301.65,0.877,4.65,31.75,0.410
720,328.00,301.00,22.86,135.29,342.88,0.852,5.93,34.17,0.447
721,368.00,60.00,20.26,138.04,273.44,0.871,5.14,29.83,0.404
722,277.00,164.00,17.94,140.11,182.29,0.880,4.39,26.71,0.696
723,321.00,266.00,21.02,126.83,275.61,0.845,6.31,31.63,0.476
724,482.00,123.00,16.80,149.21,177.95,0.804,5.85,28.07,0.443
725,443.00,263.00,20.52,140.59,269.10,0.907,5.07,30.05,0.462
726,450.00,67.00,16.34,150.24,162.76,0.825,5.05,26.17,0.481
727,364.00,291.00,16.08,115.19,156.25,0.832,6.19,25.56,0.553
728,504.00,44.00,14.27,125.62,130.21,0.898,5.70,24.32,0.529
729,448.00,120.00,19.39,141.28,219.18,0.866,6.41,29.98,0.476
730,432.00,307.00,13.34,136.48,102.00,0.812,5.30,23.40,0.565
731,420.00,123.00,11.65,131.92,73.78,0.786,5.69,22.00,0.574
732,415.00,255.00,21.37,110.17,284.29,0.872,4.61,28.78,0.481
733,451.00,93.00,16.50,132.71,160.59,0.831,5.01,24.93,0.505
734,474.00,253.00,11.79,153.96,69.44,0.785,6.42,22.15,0.699
735,363.00,153.00,21.45,142.55,312.50,0.923,5.48,32.41,0.369
736,401.00,207.00,14.58,128.56,125.87,0.802,6.34,24.33,0.410
737,376.00,244.00,22.61,130.44,323.35,0.874,5.74,32.61,0.449
738,476.00,221.00,22.77,120.78,342.88,0.895,5.60,33.38,0.463
739,354.00,240.00,14.17,138.43,117.19,0.809,5.33,24.27,0.545
740,366.00,116.00,19.26,125.94,223.52,0.831,7.56,30.98,0.509
741,296.00,429.00,13.30,129.41,99.83,0.846,5.53,23.21,0.536
742,148.00,291.00,14.37,120.15,130.21,0.898,5.59,23.34,0.417
743,217.00,387.00,13.18,117.88,104.17,0.883,5.46,22.70,0.545
744,309.00,334.00,19.21,119.78,164.93,0.766,4.91,29.03,0.392
745,155.00,290.00,8.59,115.53,39.06,0.832,2.69,13.98,0.800
746,48.00,322.00,10.98,98.26,67.27,0.858,6.03,20.90,0.500
747,173.00,321.00,15.02,136.49,132.38,0.863,6.04,25.44,0.558
748,37.00,429.00,10.42,153.05,56.42,0.779,5.53,19.90,0.597
749,167.00,504.00,9.32,110.22,49.91,0.846,4.34,15.26,0.319
750,253.00,299.00,16.27,137.67,149.74,0.815,4.85,24.49,0.482
751,288.00,484.00,14.73,133.67,125.87,0.802,6.65,25.17,0.482
752,283.00,270.00,9.32,141.83,47.74,0.840,6.52,19.98,0.600
753,263.00,471.00,13.60,138.41,97.66,0.850,4.96,21.57,0.440
754,132.00,451.00,17.28,120.93,195.31,0.882,5.38,25.97,0.476
755,238.00,420.00,16.34,149.50,149.74,0.876,6.16,26.68,0.547
756,315.00,337.00,13.60,149.94,99.83,0.815,4.95,23.25,0.577
757,277.00,446.00,22.96,138.79,345.05,0.887,4.65,32.13,0.400
758,248.00,262.00,47.60,120.47,1575.52,0.902,4.49,100.02,0.628
759,444.00,59.00,21.58,144.51,303.82,0.851,5.60,32.54,0.443
760,365.00,6.00,19.65,148.57,234.38,0.887,6.00,31.25,0.523
761,487.00,314.00,20.91,139.45,275.61,0.845,5.36,30.97,0.409
762,420.00,162.00,20.52,143.56,277.78,0.885,4.79,30.10,0.438
763,320.00,65.00,22.51,138.54,325.52,0.912,5.24,32.01,0.427
764,394.00,263.00,22.85,124.54,319.01,0.862,6.33,34.28,0.535
765,424.00,43.00,22.99,137.57,329.86,0.861,6.29,34.17,0.415
766,378.00,147.00,21.97,140.94,312.50,0.876,4.38,30.64,0.396
767,452.00,78.00,22.00,145.60,303.82,0.897,4.85,31.15,0.401
768,463.00,40.00,21.01,143.41,273.44,0.852,5.70,32.41,0.401
769,460.00,165.00,19.98,145.83,269.10,0.907,5.66,31.25,0.469
770,459.00,88.00,20.90,142.05,279.95,0.858,5.10,30.51,0.426
771,424.00,199.00,39.75,121.86,1080.73,0.861,5.29,49.07,0.364
772,344.00,33.00,50.46,118.34,1805.56,0.906,5.46,59.95,0.345
773,285.00,419.00,9.32,106.26,52.08,0.809,3.67,16.67,0.196
774,57.00,303.00,11.22,142.43,67.27,0.858,6.41,22.15,0.520
775,210.00,280.00,12.92,138.00,99.83,0.846,5.90,23.95,0.477
776,250.00,440.00,13.18,118.67,95.49,0.840,4.03,21.25,0.397
777,216.00,315.00,14.37,106.07,134.55,0.928,5.58,23.75,0.566
778,231.00,356.00,10.02,115.26,52.08,0.809,4.89,18.63,0.543
