Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
347,248.0,14.0,1.0,39.67,5.65,41.51,-1.84,123.42,1102.43,0.878,50.18,0.372,z13
348,151.0,209.0,2.0,50.65,5.64,55.24,-4.59,115.53,1605.9,0.824,59.9,0.365,z11
349,262.0,109.0,0.0,32.98,5.19,36.87,-3.89,129.09,757.38,0.905,43.36,0.336,z15
350,286.0,258.0,1.0,37.56,5.45,40.53,-2.97,125.0,967.88,0.911,47.36,0.439,z13
351,47.0,57.0,0.0,31.73,4.68,33.14,-1.41,126.85,642.36,0.855,40.52,0.347,z12
352,180.0,106.0,0.0,24.33,5.15,29.26,-4.93,135.85,397.14,0.909,34.05,0.371,z15
353,310.0,175.0,0.0,46.02,5.79,46.82,-0.8,120.24,1271.7,0.798,56.3,0.32,z15
354,272.0,73.0,1.0,33.59,5.66,36.69,-3.1,128.17,781.25,0.882,44.3,0.386,z15
355,216.0,80.0,1.0,27.18,5.39,31.11,-3.93,135.08,496.96,0.882,37.51,0.39,z12
356,300.0,244.0,1.0,38.75,5.67,41.81,-3.06,123.0,1015.62,0.891,48.97,0.373,z13
357,29.0,55.0,0.0,39.11,5.49,40.58,-1.47,118.73,976.56,0.778,48.97,0.352,z12
358,208.0,28.0,0.0,44.64,5.4,46.05,-1.41,121.19,1297.74,0.826,54.53,0.344,z15
359,117.0,218.0,1.0,25.73,5.31,30.97,-5.24,135.12,444.88,0.913,36.06,0.398,z13
360,31.0,147.0,0.0,50.13,6.08,51.91,-1.78,111.5,1694.88,0.838,60.49,0.344,z11
361,208.0,185.0,0.0,26.84,5.29,31.86,-5.02,134.7,483.94,0.895,37.29,0.414,z15
362,194.0,298.0,0.0,38.65,5.59,40.62,-1.97,123.19,1032.99,0.88,48.72,0.361,z13
363,196.0,279.0,0.0,34.2,4.88,36.48,-2.28,125.67,792.1,0.903,42.9,0.333,z15
