Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,442.00,41.00,25.81,108.29,449.00,0.883
1,327.00,19.00,19.05,112.93,240.00,0.877
2,331.00,151.00,22.56,108.16,348.50,0.880
3,414.00,83.00,17.52,109.80,195.50,0.879
4,466.00,125.00,27.96,107.44,523.50,0.830
5,382.00,91.00,19.72,109.48,263.00,0.852
6,471.00,150.00,23.01,109.31,336.50,0.812
7,495.00,91.00,19.85,108.08,268.00,0.892
8,443.00,234.00,24.62,108.19,410.50,0.908
9,408.00,149.00,25.70,107.60,441.50,0.863
10,453.00,143.00,15.88,114.60,162.50,0.872
11,354.00,57.00,17.11,110.97,176.50,0.819
12,468.00,101.00,20.69,109.25,278.50,0.872
13,389.00,135.00,21.83,108.60,313.00,0.895
14,343.00,274.00,16.09,84.95,174.50,0.876
15,408.00,123.00,19.46,107.04,255.00,0.872
16,491.00,155.00,16.68,112.14,186.00,0.871
17,460.00,219.00,20.25,110.00,277.50,0.882
18,429.00,177.00,25.71,107.19,442.00,0.834
19,445.00,305.00,21.91,109.80,327.50,0.876
20,496.00,37.00,15.28,113.71,158.00,0.913
21,483.00,70.00,18.58,108.21,231.50,0.864
22,480.00,171.00,19.78,110.34,246.50,0.894
23,491.00,281.00,20.25,109.33,292.00,0.888
24,430.00,114.00,22.52,108.94,331.50,0.837
25,381.00,114.00,23.10,108.49,354.50,0.867
26,384.00,184.00,24.24,108.02,406.50,0.880
27,363.00,100.00,22.44,108.55,331.00,0.862
28,407.00,184.00,21.59,109.95,304.50,0.896
29,344.00,33.00,24.54,108.27,420.00,0.877
30,366.00,21.00,20.25,111.38,275.50,0.876
31,461.00,57.00,23.43,107.89,366.00,0.909
32,407.00,67.00,15.32,109.66,155.00,0.853
33,399.00,100.00,17.81,108.36,211.50,0.822
34,326.00,100.00,22.00,107.21,317.50,0.802
35,335.00,56.00,23.19,107.96,364.00,0.884
36,349.00,226.00,24.04,108.36,400.00,0.880
37,427.00,220.00,17.90,112.08,209.50,0.864
38,450.00,107.00,17.84,112.12,207.50,0.893
39,320.00,129.00,16.94,108.70,196.00,0.889
40,344.00,89.00,20.92,107.78,295.00,0.865
41,388.00,72.00,19.86,107.17,264.50,0.873
