Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
588,301.00,338.00,8.60,134.19,44.50,0.890
589,484.00,429.00,5.83,119.76,17.00,0.786
590,474.00,412.00,5.95,151.22,18.00,0.799
591,358.00,473.00,8.04,136.45,39.50,0.869
592,430.00,279.00,5.00,133.58,11.50,0.803
593,366.00,464.00,4.61,152.47,10.00,0.764
594,170.00,441.00,17.52,132.30,169.50,0.812
595,396.00,430.00,7.98,141.92,37.00,0.831
596,425.00,361.00,8.60,137.38,45.50,0.910
597,106.00,102.00,8.60,135.45,47.00,0.897
598,331.00,466.00,10.87,129.38,77.50,0.909
599,368.00,299.00,9.28,111.49,54.00,0.857
600,425.00,361.00,9.26,127.52,54.00,0.809
601,154.00,322.00,27.02,113.13,512.50,0.874
602,406.00,405.00,7.38,136.54,30.50,0.863
603,455.00,443.00,8.54,134.86,47.00,0.922
604,374.00,325.00,6.44,131.16,22.00,0.887
605,343.00,423.00,8.66,134.44,49.00,0.901
606,365.00,419.00,12.18,131.55,77.50,0.785
607,323.00,472.00,6.09,117.66,20.50,0.804
608,450.00,259.00,6.75,106.38,27.50,0.873
609,263.00,471.00,7.29,116.44,31.00,0.795
610,443.00,320.00,8.80,136.07,47.00,0.842
611,291.00,300.00,8.25,131.16,34.50,0.781
612,401.00,330.00,9.72,92.96,62.00,0.858
613,349.00,226.00,24.22,115.36,409.00,0.891
614,347.00,375.00,7.81,127.89,32.50,0.826
615,407.00,420.00,7.21,129.39,27.50,0.843
616,444.00,398.00,7.85,130.25,36.50,0.862
617,401.00,342.00,9.28,103.18,54.00,0.857
618,411.00,499.00,11.66,127.25,76.00,0.766
619,372.00,475.00,19.37,116.83,247.00,0.844
620,374.00,325.00,6.73,122.60,26.00,0.876
621,452.00,370.00,10.93,126.70,78.50,0.876
622,451.00,484.00,7.07,133.86,27.00,0.809
623,323.00,472.00,5.18,128.52,15.00,0.769
624,387.00,431.00,6.90,134.78,30.00,0.898
625,484.00,429.00,4.47,138.28,11.00,0.840
626,343.00,362.00,22.43,114.35,352.50,0.870
627,369.00,225.00,6.40,130.72,22.50,0.777
628,424.00,260.00,8.57,112.90,48.50,0.853
629,496.00,489.00,15.66,150.56,132.50,0.832
630,337.00,348.00,7.69,134.28,36.00,0.895
631,348.00,384.00,9.56,103.60,54.50,0.880
632,504.00,326.00,6.82,133.20,25.00,0.813
633,290.00,272.00,9.31,130.72,51.50,0.831
634,47.00,210.00,6.44,133.52,23.50,0.887
635,4.00,126.00,6.82,113.26,29.00,0.868
636,102.00,81.00,6.32,114.84,28.00,0.943
637,112.00,157.00,5.83,133.89,18.50,0.881
638,230.00,104.00,6.71,133.68,27.00,0.878
639,185.00,153.00,6.75,95.63,28.50,0.904
640,171.00,61.00,9.24,123.78,51.50,0.831
641,102.00,81.00,6.01,130.03,20.00,0.806
642,44.00,261.00,7.62,110.51,38.00,0.879
643,79.00,28.00,6.47,127.88,24.50,0.846
644,71.00,131.00,7.62,115.12,38.00,0.879
645,106.00,102.00,9.17,130.91,53.00,0.841
646,142.00,144.00,6.72,107.81,27.50,0.873
647,241.00,14.00,3.16,111.67,7.00,0.943
648,282.00,107.00,23.86,115.34,404.50,0.915
649,258.00,95.00,10.93,129.11,75.00,0.849
650,222.00,395.00,10.77,129.28,74.00,0.900
651,104.00,433.00,8.77,121.15,47.50,0.836
652,92.00,434.00,10.65,128.58,72.50,0.895
653,184.00,412.00,9.59,129.00,59.50,0.856
654,282.00,348.00,8.81,134.63,46.50,0.871
655,248.00,413.00,10.96,131.08,77.50,0.909
656,239.00,193.00,9.22,136.46,47.50,0.815
657,186.00,491.00,9.85,130.84,62.00,0.907
658,285.00,453.00,8.94,133.37,49.50,0.927
659,313.00,399.00,10.04,130.49,66.50,0.885
660,239.00,193.00,9.31,133.39,50.00,0.774
661,188.00,355.00,9.55,131.54,58.50,0.891
662,163.00,363.00,9.55,133.13,56.50,0.860
663,216.00,431.00,10.82,129.13,73.50,0.862
664,244.00,477.00,10.93,130.89,77.00,0.872
665,84.00,376.00,23.59,112.14,389.00,0.874
666,5.00,7.00,6.40,113.07,21.00,0.846
667,216.00,315.00,6.90,106.24,31.00,0.928
668,283.00,197.00,5.41,98.57,15.50,0.771
669,154.00,25.00,3.80,127.67,6.50,0.779
670,122.00,80.00,9.56,132.85,57.50,0.876
671,52.00,228.00,8.23,132.95,44.00,0.922
672,154.00,77.00,8.60,136.80,46.00,0.878
673,59.00,283.00,9.52,127.67,57.00,0.904
674,67.00,193.00,10.14,126.17,63.50,0.845
675,6.00,117.00,10.46,122.89,72.00,0.876
676,36.00,187.00,8.94,127.06,54.00,0.910
677,223.00,178.00,10.30,132.64,65.50,0.921
678,33.00,26.00,9.43,120.40,53.50,0.815
679,38.00,131.00,10.56,124.22,72.00,0.923
680,133.00,211.00,10.30,129.45,73.00,0.936
