Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
19,412.0,177.0,45.27,z_12,37.57,978.73,0.876,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","43.57,44.81,45.27,43.83,39.42,34.91,28.90,10.04,12.79,17.00,25.02,32.11,38.49"
20,131.0,279.0,45.06,z_12,42.41,1263.02,0.885,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","43.81,44.54,45.06,41.93,39.31,33.40,27.85,11.68,15.41,20.47,28.23,32.38,39.36"
21,313.0,313.0,44.67,z_7,67.96,3396.27,0.898,17,"z_0,z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","20.83,26.85,42.20,39.87,41.07,33.60,30.31,29.73,23.33,31.54,35.72,39.26,42.02,43.54,44.67,44.47,44.14"
22,181.0,20.0,44.23,z_11,45.84,1506.08,0.891,14,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_3,z_4,z_5,z_6,z_7,z_8,z_9","41.06,44.23,40.58,40.24,34.99,30.43,26.83,10.82,14.96,19.61,25.71,30.95,35.83,38.98"
23,59.0,451.0,44.22,z_12,39.77,1119.79,0.892,12,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_5,z_6,z_7,z_8,z_9","39.61,41.45,44.22,41.72,37.68,33.33,27.47,11.66,16.04,21.47,27.61,33.37"
24,226.0,413.0,44.11,z_11,39.53,1111.11,0.885,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","41.46,44.11,43.37,41.34,37.78,32.47,27.77,10.51,14.39,18.82,24.71,31.09,37.43"
25,279.0,243.0,43.3,z_11,40.07,1119.79,0.892,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","40.19,43.30,41.66,39.99,37.21,32.43,28.69,10.60,13.87,19.21,24.24,30.73,36.96"
26,40.0,232.0,43.09,z_12,39.46,1132.81,0.902,12,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_5,z_6,z_7,z_8,z_9","38.39,42.29,43.09,41.29,38.88,34.41,28.13,12.70,15.49,20.83,27.86,33.72"
27,260.0,330.0,42.69,z_11,38.43,1035.16,0.927,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","40.47,42.69,42.58,40.70,37.52,32.10,27.81,10.00,13.64,18.26,24.08,28.88,36.36"
28,468.0,29.0,42.38,z_13,28.25,533.85,0.921,10,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_7,z_8,z_9","30.24,37.21,41.19,42.38,41.37,36.75,31.55,11.65,15.02,21.55"
29,352.0,437.0,42.33,z_12,33.85,789.93,0.892,12,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_5,z_6,z_7,z_8,z_9","38.13,41.01,42.33,41.61,37.45,31.72,28.30,10.75,14.66,19.80,24.35,31.66"
30,256.0,227.0,41.89,z_12,39.4,1026.48,0.868,12,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_5,z_6,z_7,z_8,z_9","39.26,41.80,41.89,39.64,35.83,31.17,25.17,14.09,18.44,23.98,31.13,36.02"
31,13.0,125.0,41.43,z_12,37.1,944.01,0.87,11,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_6,z_7,z_8,z_9","34.99,40.35,41.43,41.37,40.76,36.07,31.93,12.34,15.49,21.50,27.62"
32,119.0,219.0,41.42,z_12,34.93,861.55,0.892,11,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_6,z_7,z_8,z_9","34.83,39.08,41.42,40.68,38.22,33.06,27.68,10.78,15.09,21.14,28.75"
33,56.0,44.0,41.25,z_13,34.02,800.78,0.926,10,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_7,z_8,z_9","29.48,36.55,40.51,41.25,40.41,37.20,32.37,12.89,17.47,24.47"
34,121.0,481.0,40.57,z_12,33.95,779.08,0.889,11,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_6,z_7,z_8,z_9","30.39,35.83,40.57,38.64,37.77,32.74,27.94,10.42,14.48,19.50,25.96"
