Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,235.00,207.00,89.58,31.87,5928.82,0.877
1,255.00,72.00,64.25,35.45,2994.79,0.895
2,173.00,225.00,44.41,22.48,1347.66,0.882
3,308.00,108.00,43.83,27.49,1330.30,0.870
6,132.00,279.00,38.14,15.41,972.22,0.889
9,181.00,20.00,38.48,19.61,1011.28,0.887
10,297.00,39.00,41.16,19.24,1158.85,0.865
11,279.00,243.00,35.75,13.87,837.67,0.876
14,189.00,61.00,41.12,16.45,1059.03,0.877
16,103.00,24.00,38.02,13.22,972.22,0.863
17,41.00,233.00,33.31,12.70,720.49,0.841
18,256.00,228.00,34.63,14.09,774.74,0.867
43,102.00,351.00,54.81,36.98,2139.76,0.869
44,171.00,328.00,56.10,41.27,2185.33,0.893
45,310.00,368.00,48.88,33.38,1660.16,0.873
47,249.00,432.00,36.59,16.65,896.27,0.900
48,226.00,413.00,34.50,14.39,768.23,0.840
50,260.00,330.00,34.43,13.64,713.98,0.896
51,60.00,451.00,36.75,11.66,896.27,0.836
70,447.00,278.00,55.94,47.43,2287.33,0.887
71,381.00,122.00,56.40,44.74,2298.18,0.879
72,467.00,61.00,46.63,34.76,1480.03,0.856
73,403.00,263.00,42.07,21.85,1206.60,0.877
74,375.00,177.00,42.23,24.72,1200.09,0.856
76,436.00,299.00,36.45,15.75,870.23,0.890
84,412.00,177.00,33.45,12.79,729.17,0.893
119,313.00,313.00,67.34,42.02,3296.44,0.891
121,391.00,440.00,42.23,20.14,1236.98,0.899
124,444.00,423.00,36.49,16.61,891.93,0.884
126,351.00,437.00,27.33,10.75,483.94,0.859
