Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,13.00,125.00,35.98,31.93,857.20,0.861
1,56.00,44.00,32.99,32.37,761.72,0.881
2,67.00,75.00,32.94,30.75,757.38,0.876
3,119.00,220.00,33.85,27.68,763.89,0.892
4,279.00,243.00,36.92,28.69,930.99,0.895
5,132.00,279.00,40.65,27.85,1113.28,0.870
6,173.00,225.00,44.87,27.77,1375.87,0.863
7,40.00,232.00,38.45,28.13,1037.33,0.860
8,189.00,61.00,41.75,29.33,1206.60,0.868
9,103.00,24.00,39.62,30.77,1106.77,0.858
10,257.00,227.00,37.22,25.17,915.80,0.900
11,297.00,39.00,41.06,30.88,1143.66,0.894
12,181.00,20.00,43.38,26.83,1321.61,0.887
14,255.00,72.00,59.36,20.78,2478.30,0.878
15,308.00,108.00,44.09,28.86,1330.30,0.870
19,235.00,206.00,76.79,17.19,4101.56,0.886
115,102.00,351.00,53.85,27.73,1996.53,0.912
116,249.00,432.00,38.38,28.21,1015.62,0.891
117,260.00,329.00,35.06,27.81,876.74,0.888
118,226.00,413.00,37.55,27.77,944.01,0.870
119,59.00,451.00,38.17,27.47,1011.28,0.887
120,171.00,328.00,53.33,27.40,1996.53,0.894
121,310.00,368.00,46.78,28.22,1538.63,0.896
122,121.00,481.00,32.71,27.94,722.66,0.864
124,210.00,421.00,28.25,27.13,544.70,0.892
156,314.00,441.00,30.41,10.73,494.79,0.820
176,436.00,299.00,38.38,28.36,998.26,0.876
177,412.00,177.00,35.25,28.90,839.84,0.898
178,374.00,177.00,43.15,27.57,1280.38,0.874
179,403.00,263.00,42.64,25.58,1234.81,0.859
180,467.00,61.00,45.80,29.31,1417.10,0.895
181,381.00,121.00,53.36,28.83,1946.61,0.869
182,468.00,29.00,27.33,31.55,481.77,0.866
183,494.00,196.00,23.95,30.18,379.77,0.912
184,448.00,279.00,51.98,28.84,1861.98,0.887
185,497.00,144.00,42.90,10.15,1204.43,0.906
198,500.00,86.00,38.25,10.04,865.89,0.858
200,449.00,123.00,45.18,10.74,1336.81,0.838
210,440.00,186.00,36.90,10.20,861.55,0.881
211,460.00,298.00,37.09,10.15,811.63,0.876
212,347.00,301.00,26.72,10.32,421.01,0.838
213,425.00,122.00,43.21,10.97,1076.39,0.782
214,429.00,99.00,39.55,10.47,935.33,0.781
216,484.00,240.00,46.61,10.77,1408.42,0.860
219,459.00,80.00,35.23,10.71,720.49,0.788
222,499.00,219.00,41.16,10.64,1104.60,0.850
224,500.00,254.00,34.93,12.39,748.70,0.849
233,468.00,262.00,45.91,10.82,1143.66,0.748
238,376.00,158.00,32.94,10.13,692.27,0.800
241,492.00,103.00,35.95,10.05,798.61,0.785
245,476.00,221.00,29.02,12.72,371.09,0.762
247,361.00,153.00,32.54,10.40,601.13,0.809
255,393.00,104.00,31.81,10.51,614.15,0.826
257,444.00,424.00,37.10,27.87,874.57,0.831
258,313.00,314.00,59.72,23.33,2484.81,0.891
259,352.00,437.00,32.02,28.30,690.10,0.875
260,391.00,440.00,40.17,27.54,1128.47,0.899
263,360.00,357.00,26.68,11.73,414.50,0.851
265,473.00,309.00,32.94,10.48,670.57,0.841
272,373.00,347.00,40.16,10.04,974.39,0.792
302,466.00,206.00,40.45,10.38,1067.71,0.828
327,432.00,229.00,32.19,10.51,679.25,0.823
354,436.00,201.00,25.86,10.17,388.45,0.834
356,429.00,172.00,32.40,10.76,709.64,0.890
358,457.00,143.00,38.02,12.78,809.46,0.813
360,421.00,353.00,41.13,10.31,881.08,0.855
381,116.00,363.00,20.90,23.79,264.76,0.892
385,249.00,344.00,23.02,10.43,292.97,0.769
386,263.00,444.00,21.25,10.40,273.44,0.825
391,440.00,111.00,16.80,11.60,141.06,0.791
392,257.00,115.00,19.71,11.08,203.99,0.792
