Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
1,308.00,108.00,47.95,48.52,1660.16,0.893
2,255.00,72.00,66.44,36.66,3200.95,0.900
3,132.00,279.00,41.85,39.36,1221.79,0.895
4,173.00,225.00,46.90,45.38,1560.33,0.908
5,181.00,20.00,45.25,38.98,1488.72,0.881
6,41.00,232.00,39.15,33.72,1059.03,0.903
7,297.00,39.00,43.14,46.16,1345.49,0.896
8,189.00,61.00,43.01,40.02,1302.08,0.912
9,279.00,243.00,38.75,36.96,1048.18,0.901
10,103.00,24.00,39.97,37.27,1108.94,0.867
11,256.00,227.00,38.53,36.02,970.05,0.868
12,14.00,125.00,35.67,27.62,863.72,0.875
15,119.00,219.00,33.91,28.75,766.06,0.886
16,67.00,75.00,31.03,24.48,657.55,0.898
35,56.00,45.00,31.15,24.47,690.10,0.919
176,102.00,351.00,56.50,51.39,2335.07,0.905
177,171.00,328.00,57.95,51.49,2460.94,0.894
178,260.00,330.00,36.99,36.36,959.20,0.903
179,249.00,432.00,41.09,39.96,1165.36,0.886
180,226.00,413.00,39.40,37.43,1061.20,0.887
181,59.00,450.00,40.14,33.37,1117.62,0.873
182,211.00,421.00,28.51,21.55,531.68,0.906
187,122.00,481.00,32.60,25.96,716.15,0.908
259,447.00,279.00,58.54,55.91,2497.83,0.896
260,436.00,299.00,39.64,43.82,1050.35,0.870
261,403.00,262.00,44.59,45.23,1427.95,0.918
262,375.00,177.00,45.82,47.26,1484.38,0.900
263,381.00,121.00,58.48,55.55,2478.30,0.884
264,467.00,60.00,50.49,52.55,1805.56,0.887
265,412.00,177.00,36.09,38.49,894.10,0.842
293,468.00,29.00,26.44,21.55,460.07,0.877
382,391.00,440.00,43.66,44.20,1365.02,0.893
383,310.00,368.00,51.28,50.75,1901.04,0.887
384,444.00,424.00,39.60,43.34,1104.60,0.897
385,313.00,313.00,67.86,44.14,3407.12,0.896
386,352.00,437.00,32.94,31.66,722.66,0.864
476,112.00,495.00,35.48,36.98,286.46,0.537
489,493.00,196.00,23.32,16.98,358.07,0.921
