Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,189.00,61.00,43.66,46.72,1330.30,0.870
1,131.00,279.00,42.91,44.54,1273.87,0.854
2,173.00,225.00,46.90,47.09,1579.86,0.905
4,279.00,243.00,40.07,43.30,1119.79,0.892
5,308.00,108.00,48.68,49.27,1686.20,0.907
6,40.00,232.00,39.95,42.29,1137.15,0.906
7,13.00,125.00,36.49,40.35,917.97,0.910
8,297.00,39.00,44.16,49.49,1393.23,0.896
9,235.00,206.00,87.78,26.70,5546.88,0.896
10,255.00,72.00,65.39,34.36,3114.15,0.890
11,119.00,219.00,34.63,39.08,848.52,0.879
12,103.00,24.00,41.00,44.73,1163.19,0.868
13,67.00,75.00,33.07,35.19,759.55,0.899
14,56.00,44.00,32.99,36.55,753.04,0.900
15,256.00,227.00,39.39,41.80,1013.45,0.907
160,181.00,20.00,45.84,44.23,1506.08,0.891
217,171.00,328.00,58.38,48.58,2469.62,0.898
218,59.00,451.00,40.30,41.45,1156.68,0.880
219,108.00,495.00,44.54,46.05,820.31,0.732
220,260.00,330.00,38.43,42.69,1035.16,0.927
221,249.00,432.00,41.10,46.47,1187.07,0.903
222,226.00,413.00,39.53,44.11,1111.11,0.885
223,102.00,351.00,56.91,49.12,2354.60,0.900
224,121.00,481.00,33.65,35.83,781.25,0.854
225,210.00,421.00,29.41,33.66,583.77,0.871
309,447.00,279.00,57.94,52.50,2458.77,0.882
310,436.00,299.00,39.89,47.10,1115.45,0.889
311,403.00,262.00,44.74,48.17,1434.46,0.906
312,375.00,177.00,46.20,49.40,1493.06,0.884
313,412.00,177.00,36.92,44.81,959.20,0.877
314,467.00,60.00,50.15,51.21,1814.24,0.891
315,382.00,121.00,58.48,52.01,2482.64,0.902
316,468.00,29.00,27.26,37.21,503.47,0.868
317,494.00,196.00,24.41,33.18,397.14,0.909
447,391.00,440.00,43.83,46.51,1369.36,0.896
448,444.00,424.00,40.03,47.93,1130.64,0.884
449,310.00,368.00,51.35,48.65,1909.72,0.891
450,313.00,313.00,67.70,39.87,3348.52,0.905
451,352.00,437.00,33.73,41.01,783.42,0.906
588,117.00,363.00,18.28,15.49,201.82,0.871
