Rank,Fluorescent_X,Fluorescent_Y,Fluorescent_Max_Intensity,Fluorescent_Diameter,Fluorescent_Area,Fluorescent_Circularity,Z_Level,Droplets_At_Location,BF_Mask_ID,BF_X,BF_Y,BF_Diameter,BF_Intensity,BF_Area,BF_Circularity,XY_Distance,Match_Status
49,441.0,43.0,11.56,25.5,410.16,0.88,z_15,1,19.0,441.0,43.0,33.59,113.76,677.08,0.829,0.0,MATCHED
50,431.0,144.0,11.54,31.22,588.11,0.803,z_15,1,36.0,430.0,144.0,40.13,110.78,1093.75,0.871,1.0,MATCHED
51,484.0,239.0,11.17,39.75,946.18,0.854,z_15,2,82.0,484.0,240.0,53.24,107.93,1981.34,0.832,1.0,MATCHED
53,498.0,177.0,11.09,29.23,460.07,0.794,z_15,1,20.0,498.0,176.0,31.78,112.75,670.57,0.902,1.0,MATCHED
55,283.0,440.0,11.05,25.97,375.43,0.821,z_15,1,593.0,283.0,440.0,38.68,108.33,1043.84,0.872,0.0,MATCHED
56,448.0,123.0,11.02,41.46,967.88,0.849,z_15,2,4.0,449.0,123.0,46.68,111.44,1521.27,0.865,1.0,MATCHED
57,448.0,211.0,11.01,36.44,705.3,0.721,z_15,1,43.0,448.0,211.0,37.31,110.78,952.69,0.853,0.0,MATCHED
58,402.0,125.0,10.99,23.75,301.65,0.815,z_15,1,45.0,402.0,125.0,27.31,116.13,483.94,0.859,0.0,MATCHED
59,392.0,20.0,10.83,25.17,345.05,0.845,z_15,1,62.0,392.0,20.0,30.88,112.44,646.7,0.861,0.0,MATCHED
61,444.0,168.0,10.77,23.92,286.46,0.803,z_15,1,307.0,444.0,167.0,24.57,116.33,399.31,0.846,1.0,MATCHED
63,353.0,136.0,10.73,25.45,360.24,0.798,z_15,1,3.0,354.0,135.0,33.93,113.81,735.68,0.851,1.4142135623730951,MATCHED
66,408.0,113.0,10.7,25.53,384.11,0.824,z_15,1,68.0,410.0,113.0,28.56,116.46,518.66,0.905,2.0,MATCHED
67,464.0,14.0,10.68,29.83,505.64,0.848,z_15,1,156.0,464.0,15.0,35.42,113.2,837.67,0.876,1.0,MATCHED
68,493.0,103.0,10.66,35.42,705.3,0.815,z_15,2,42.0,492.0,103.0,41.62,111.2,1180.56,0.827,1.0,MATCHED
70,379.0,320.0,10.61,31.32,594.62,0.821,z_15,1,347.0,378.0,321.0,46.78,110.35,1495.23,0.87,1.4142135623730951,MATCHED
71,376.0,158.0,10.59,31.85,614.15,0.839,z_15,2,15.0,377.0,158.0,36.38,110.8,900.61,0.866,1.0,MATCHED
