Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,132.00,279.00,42.09,43.81,1239.15,0.884
1,235.00,206.00,88.39,27.62,5768.23,0.883
2,173.00,225.00,47.58,46.80,1588.54,0.889
3,181.00,20.00,46.08,41.06,1525.61,0.888
4,308.00,108.00,47.85,50.35,1668.84,0.898
5,279.00,243.00,39.71,40.19,1124.13,0.896
6,255.00,72.00,66.59,35.84,3240.02,0.896
7,189.00,61.00,43.55,43.43,1330.30,0.892
8,256.00,227.00,39.40,39.26,1013.45,0.881
9,41.00,232.00,39.47,38.39,1108.94,0.901
10,297.00,39.00,43.67,48.21,1371.53,0.882
11,103.00,24.00,40.53,41.58,1152.34,0.876
12,13.00,125.00,36.43,34.99,915.80,0.889
13,119.00,219.00,34.04,34.83,820.31,0.869
16,67.00,75.00,32.94,29.08,746.53,0.884
18,57.00,44.00,33.22,29.48,761.72,0.881
194,102.00,351.00,56.57,50.87,2337.24,0.894
195,171.00,328.00,57.93,51.15,2478.30,0.901
196,59.00,450.00,39.47,39.61,1124.13,0.896
197,249.00,432.00,40.73,44.48,1167.53,0.895
198,226.00,413.00,39.53,41.46,1137.15,0.906
199,108.00,495.00,44.24,45.02,800.78,0.729
200,260.00,330.00,37.30,40.47,996.09,0.892
201,210.00,421.00,28.92,27.02,564.24,0.852
202,122.00,481.00,33.44,30.39,776.91,0.878
277,436.00,299.00,40.07,46.53,1089.41,0.892
278,447.00,279.00,58.64,55.26,2471.79,0.887
279,403.00,262.00,44.59,47.45,1427.95,0.918
280,374.00,177.00,46.03,48.30,1503.91,0.896
281,467.00,60.00,50.45,52.00,1827.26,0.898
282,382.00,122.00,58.48,54.84,2482.64,0.886
283,412.00,177.00,36.57,43.57,933.16,0.853
284,468.00,29.00,27.50,30.24,496.96,0.920
292,494.00,196.00,23.95,25.51,375.43,0.901
410,391.00,440.00,43.96,47.04,1369.36,0.896
411,310.00,368.00,51.92,50.33,1918.40,0.895
412,444.00,424.00,39.84,44.92,1126.30,0.915
413,313.00,313.00,67.68,42.20,3363.72,0.899
414,352.00,437.00,33.12,38.13,735.68,0.879
506,116.00,363.00,19.91,10.31,234.38,0.857
