Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,235.00,207.00,87.07,31.08,5605.47,0.898
1,256.00,72.00,61.70,25.28,2599.83,0.872
4,308.00,108.00,44.20,11.01,1258.68,0.869
20,102.00,352.00,51.64,18.91,1827.26,0.860
22,310.00,369.00,47.11,14.28,1575.52,0.881
23,171.00,328.00,54.69,20.01,2100.69,0.895
36,447.00,278.00,51.97,27.60,1881.51,0.823
37,382.00,122.00,53.60,24.87,2026.91,0.889
38,467.00,61.00,44.59,14.69,1289.06,0.871
40,374.00,178.00,42.27,10.06,1032.99,0.823
41,403.00,262.00,40.64,10.16,972.22,0.853
52,313.00,313.00,64.85,31.54,2921.01,0.894
