Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,235.00,207.00,89.46,31.57,5980.90,0.885
1,255.00,72.00,65.27,36.15,3138.02,0.892
2,173.00,225.00,44.99,28.88,1423.61,0.893
3,308.00,108.00,45.23,33.85,1447.48,0.892
4,297.00,39.00,41.19,27.07,1143.66,0.847
9,189.00,61.00,39.61,22.55,1074.22,0.897
10,181.00,20.00,41.50,25.71,1178.39,0.886
11,279.00,243.00,36.09,19.21,863.72,0.875
12,132.00,280.00,39.88,20.47,1082.90,0.880
13,103.00,24.00,37.45,17.01,928.82,0.874
17,14.00,126.00,31.15,12.34,664.06,0.884
19,41.00,232.00,37.29,15.49,904.95,0.897
21,256.00,228.00,36.02,18.44,852.86,0.846
25,120.00,220.00,33.98,10.78,733.51,0.856
71,102.00,351.00,55.47,42.91,2202.69,0.900
72,310.00,368.00,50.58,37.72,1820.75,0.881
73,171.00,328.00,56.45,44.33,2332.90,0.892
74,249.00,432.00,39.00,21.19,987.41,0.859
77,226.00,413.00,36.91,18.82,913.63,0.879
80,261.00,330.00,33.61,18.26,733.51,0.868
81,59.00,451.00,37.68,16.04,967.88,0.885
102,123.00,481.00,29.08,10.42,447.05,0.803
113,447.00,278.00,57.45,52.87,2380.64,0.893
114,382.00,122.00,57.71,50.29,2389.32,0.857
115,403.00,263.00,43.00,30.22,1254.34,0.888
116,467.00,61.00,48.10,41.18,1592.88,0.891
117,374.00,177.00,44.54,31.01,1297.74,0.886
118,436.00,299.00,36.45,22.44,907.12,0.854
123,412.00,177.00,32.94,17.00,779.08,0.901
188,313.00,313.00,67.45,43.54,3344.18,0.904
189,391.00,440.00,40.80,29.38,1163.19,0.868
192,444.00,424.00,37.71,22.93,944.01,0.881
195,352.00,437.00,28.35,14.66,529.51,0.877
