Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,173.00,225.00,47.60,45.60,1584.20,0.907
1,131.00,279.00,42.41,45.06,1263.02,0.885
2,189.00,61.00,43.72,44.92,1345.49,0.887
3,40.00,232.00,39.46,43.09,1132.81,0.902
4,13.00,125.00,37.10,41.43,944.01,0.870
5,279.00,243.00,39.83,41.66,1128.47,0.899
6,181.00,20.00,46.12,40.58,1536.46,0.909
7,119.00,219.00,34.93,41.42,861.55,0.892
8,308.00,108.00,47.87,46.87,1662.33,0.909
9,103.00,24.00,41.01,45.53,1171.88,0.898
10,297.00,39.00,43.67,49.63,1367.19,0.879
11,67.00,75.00,33.45,40.14,768.23,0.909
12,256.00,227.00,39.40,41.89,1026.48,0.868
13,255.00,72.00,64.60,31.90,3055.56,0.883
14,56.00,44.00,33.59,40.51,768.23,0.897
217,226.00,413.00,39.53,43.37,1132.81,0.902
218,260.00,330.00,38.44,42.58,1032.99,0.906
219,171.00,328.00,57.65,46.22,2456.60,0.893
220,249.00,432.00,41.07,45.14,1204.43,0.892
221,59.00,451.00,39.77,44.22,1119.79,0.892
222,108.00,495.00,44.54,45.71,807.29,0.720
223,121.00,481.00,33.95,40.57,779.08,0.889
224,210.00,421.00,29.61,37.73,596.79,0.877
314,436.00,299.00,40.14,46.10,1128.47,0.899
315,403.00,262.00,44.64,45.35,1425.78,0.901
316,447.00,279.00,58.52,48.82,2439.24,0.887
318,412.00,177.00,37.57,45.27,978.73,0.876
319,467.00,60.00,50.21,48.10,1792.53,0.881
320,382.00,121.00,58.20,49.54,2443.58,0.905
321,468.00,29.00,27.95,41.19,520.83,0.898
322,374.00,177.00,44.42,47.14,1358.51,0.895
323,494.00,196.00,24.78,37.81,410.16,0.897
443,444.00,424.00,39.75,46.85,1115.45,0.889
444,352.00,437.00,33.85,42.33,789.93,0.892
445,391.00,440.00,43.36,45.23,1352.00,0.884
446,310.00,368.00,51.63,46.20,1918.40,0.895
498,313.00,313.00,67.09,41.07,3279.08,0.886
530,116.00,362.00,21.04,19.10,247.40,0.853
566,351.00,424.00,21.97,11.93,316.84,0.888
