BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
336,54.00,571.00,43.96,177.67,1433.22,0.904,303,56.00,570.00,45.94,36.95,1531.49,0.893
336,54.00,571.00,43.96,177.67,1433.22,0.904,591,56.00,570.00,46.61,39.69,1566.78,0.893
337,23.00,547.00,43.39,178.80,1395.16,0.906,313,24.00,545.00,45.89,38.04,1489.27,0.888
338,48.00,931.00,44.92,166.98,1483.04,0.893,324,49.00,929.00,47.53,42.18,1623.53,0.885
340,219.00,537.00,43.80,183.42,1395.16,0.889,276,220.00,535.00,45.58,41.01,1519.72,0.894
340,219.00,537.00,43.80,183.42,1395.16,0.889,613,220.00,536.00,46.80,40.85,1589.62,0.886
341,139.00,517.00,44.18,178.54,1446.37,0.903,305,141.00,515.00,46.94,43.45,1567.47,0.885
342,30.00,507.00,46.44,175.26,1582.70,0.894,314,31.00,505.00,48.29,41.01,1668.51,0.885
342,30.00,507.00,46.44,175.26,1582.70,0.894,621,31.00,506.00,50.25,39.99,1755.71,0.871
344,241.00,472.00,44.16,183.07,1430.45,0.890,259,242.00,471.00,46.11,42.30,1548.10,0.890
344,241.00,472.00,44.16,183.07,1430.45,0.890,603,242.00,471.00,47.27,42.99,1615.22,0.876
345,271.00,762.00,45.52,180.26,1519.72,0.894,298,272.00,760.00,47.09,41.48,1634.60,0.891
349,105.00,437.00,51.10,172.33,1924.57,0.901,293,106.00,436.00,52.63,49.20,2000.69,0.889
351,376.00,712.00,44.38,184.68,1450.52,0.894,300,377.00,710.00,46.69,42.60,1559.17,0.880
354,159.00,970.00,49.22,166.10,1777.85,0.877,306,159.00,967.00,51.70,48.66,1913.49,0.880
356,232.00,953.00,35.67,183.08,937.72,0.911,332,233.00,951.00,37.67,43.99,1004.15,0.885
361,203.00,929.00,48.38,172.17,1737.02,0.902,329,204.00,927.00,51.18,46.30,1908.65,0.901
361,203.00,929.00,48.38,172.17,1737.02,0.902,372,204.00,927.00,52.30,48.26,1963.32,0.862
363,303.00,738.00,43.78,183.37,1417.99,0.894,312,303.00,736.00,45.91,41.86,1503.81,0.893
364,190.00,413.00,44.50,182.04,1445.67,0.882,279,190.00,411.00,46.12,46.90,1539.79,0.893
364,190.00,413.00,44.50,182.04,1445.67,0.882,625,191.00,412.00,46.98,46.18,1599.31,0.898
365,48.00,849.00,48.32,173.05,1686.51,0.906,273,49.00,848.00,50.03,36.57,1788.24,0.901
366,85.00,950.00,48.01,166.11,1684.43,0.902,315,86.00,948.00,51.14,43.40,1874.74,0.888
373,333.00,904.00,42.89,184.26,1350.87,0.903,320,334.00,902.00,45.42,41.17,1473.36,0.875
377,282.00,996.00,49.08,169.58,1772.32,0.890,331,282.00,994.00,50.97,56.45,1896.89,0.888
380,55.00,792.00,90.84,154.26,6240.83,0.897,299,56.00,790.00,90.50,56.95,6117.65,0.897
380,55.00,792.00,90.84,154.26,6240.83,0.897,333,56.00,790.00,91.56,55.36,6206.23,0.890
383,9.00,975.00,18.76,192.87,238.75,0.895,379,11.00,974.00,18.45,32.06,209.69,0.885
384,546.00,537.00,43.22,187.82,1356.40,0.906,121,546.00,536.00,43.84,42.47,1383.39,0.885
385,30.00,507.00,47.04,176.08,1652.60,0.885,314,31.00,505.00,48.29,41.01,1668.51,0.885
385,30.00,507.00,47.04,176.08,1652.60,0.885,621,31.00,506.00,50.25,39.99,1755.71,0.871
388,267.00,397.00,48.85,181.60,1662.28,0.853,278,269.00,396.00,51.08,46.06,1880.97,0.883
389,271.00,762.00,45.98,181.68,1566.78,0.893,298,272.00,760.00,47.09,41.48,1634.60,0.891
391,692.00,94.00,48.57,183.75,1728.72,0.887,456,693.00,93.00,51.06,37.59,1908.65,0.890
391,692.00,94.00,48.57,183.75,1728.72,0.887,615,693.00,93.00,51.48,37.21,1951.56,0.895
392,965.00,228.00,43.83,185.10,1404.15,0.903,394,965.00,227.00,46.85,37.87,1591.70,0.895
393,975.00,70.00,46.54,178.92,1582.70,0.882,457,975.00,69.00,48.10,35.52,1692.04,0.903
394,468.00,88.00,45.41,183.13,1528.72,0.903,442,469.00,87.00,47.64,38.10,1631.14,0.904
394,468.00,88.00,45.41,183.13,1528.72,0.903,470,469.00,87.00,48.44,37.96,1669.20,0.894
394,468.00,88.00,45.41,183.13,1528.72,0.903,521,469.00,88.00,48.98,37.23,1670.59,0.906
396,396.00,25.00,44.10,180.49,1447.06,0.913,455,396.00,24.00,46.37,43.13,1574.39,0.889
397,719.00,126.00,46.45,185.25,1582.01,0.890,440,720.00,126.00,48.83,36.58,1731.49,0.888
397,719.00,126.00,46.45,185.25,1582.01,0.890,650,720.00,126.00,49.15,38.28,1773.70,0.865
399,824.00,177.00,45.88,184.40,1556.40,0.895,417,824.00,175.00,48.36,37.69,1694.12,0.880
400,758.00,228.00,44.54,185.27,1460.21,0.887,436,760.00,226.00,46.63,37.71,1584.78,0.891
401,868.00,357.00,45.11,187.00,1506.57,0.907,450,870.00,355.00,47.67,42.81,1639.45,0.897
405,818.00,218.00,48.01,182.63,1703.11,0.904,388,818.00,217.00,50.26,39.66,1838.06,0.878
406,810.00,134.00,55.45,176.00,2287.20,0.888,424,810.00,133.00,57.53,41.77,2438.75,0.883
406,810.00,134.00,55.45,176.00,2287.20,0.888,638,810.00,133.00,58.08,40.86,2487.20,0.878
407,588.00,173.00,41.11,189.40,1244.98,0.896,419,589.00,172.00,43.42,35.19,1364.01,0.902
408,389.00,287.00,46.19,181.04,1586.16,0.904,411,389.00,286.00,48.15,34.92,1712.11,0.878
408,389.00,287.00,46.19,181.04,1586.16,0.904,520,389.00,286.00,48.06,33.59,1604.15,0.876
409,673.00,247.00,61.54,172.68,2825.61,0.894,403,674.00,246.00,62.52,47.83,2906.57,0.892
410,758.00,349.00,44.60,188.75,1472.66,0.895,391,758.00,348.00,47.36,41.71,1630.45,0.889
411,536.00,353.00,46.48,185.41,1599.31,0.903,408,536.00,351.00,48.21,40.14,1674.74,0.881
413,829.00,366.00,43.06,189.83,1364.71,0.881,432,831.00,364.00,45.30,41.99,1472.66,0.883
417,546.00,232.00,45.59,186.50,1528.72,0.903,460,547.00,231.00,47.39,37.20,1604.84,0.890
418,949.00,107.00,56.15,171.54,2352.25,0.903,384,949.00,107.00,58.56,40.35,2548.10,0.890
418,949.00,107.00,56.15,171.54,2352.25,0.903,527,949.00,106.00,58.51,39.08,2558.48,0.888
419,738.00,280.00,43.97,187.37,1424.22,0.907,396,740.00,278.00,46.05,38.36,1564.71,0.900
420,514.00,205.00,45.97,185.36,1545.33,0.913,447,515.00,204.00,47.72,36.04,1625.61,0.890
421,575.00,295.00,43.59,189.71,1383.39,0.890,435,576.00,294.00,45.60,37.69,1516.26,0.896
422,857.00,243.00,45.57,184.32,1538.41,0.897,387,857.00,241.00,47.89,38.05,1713.49,0.890
425,720.00,360.00,42.91,190.81,1341.87,0.900,422,720.00,359.00,44.61,41.16,1422.15,0.880
425,720.00,360.00,42.91,190.81,1341.87,0.900,630,720.00,359.00,47.66,41.21,1538.41,0.864
426,903.00,92.00,44.77,182.21,1466.44,0.895,438,903.00,91.00,46.19,34.71,1584.08,0.894
427,860.00,124.00,48.43,178.83,1721.80,0.894,395,862.00,123.00,50.53,36.82,1865.05,0.898
429,675.00,23.00,38.85,194.08,1109.34,0.891,464,675.00,22.00,41.71,30.98,1276.12,0.896
430,523.00,313.00,46.29,185.00,1587.54,0.905,405,523.00,311.00,48.11,37.28,1710.03,0.885
432,382.00,107.00,44.26,185.82,1420.07,0.887,425,383.00,105.00,45.48,33.50,1539.79,0.897
433,666.00,325.00,48.36,185.37,1726.64,0.905,402,666.00,324.00,50.89,42.65,1918.34,0.890
434,720.00,244.00,48.59,183.47,1742.56,0.894,393,721.00,242.00,50.35,41.00,1848.44,0.897
435,765.00,58.00,43.86,187.12,1419.38,0.883,385,765.00,57.00,47.04,33.32,1608.30,0.905
436,475.00,131.00,46.86,184.08,1632.53,0.893,420,476.00,130.00,48.82,35.00,1729.41,0.879
437,841.00,84.00,48.05,181.49,1699.65,0.894,423,841.00,83.00,50.90,36.25,1892.04,0.878
437,841.00,84.00,48.05,181.49,1699.65,0.894,636,841.00,83.00,51.17,37.36,1933.56,0.882
440,515.00,120.00,46.04,184.03,1557.09,0.882,400,515.00,119.00,47.64,34.85,1648.44,0.894
441,444.00,336.00,48.72,180.13,1745.33,0.906,389,444.00,335.00,50.38,37.26,1867.82,0.884
441,444.00,336.00,48.72,180.13,1745.33,0.906,652,445.00,336.00,48.51,36.38,1604.84,0.830
442,453.00,297.00,41.22,186.43,1249.13,0.899,462,454.00,295.00,43.09,33.82,1346.71,0.900
443,708.00,56.00,43.27,187.13,1402.08,0.893,443,710.00,55.00,45.82,34.08,1537.02,0.896
445,553.00,191.00,47.36,184.02,1666.44,0.892,466,554.00,189.00,48.84,29.85,1687.89,0.884
445,553.00,191.00,47.36,184.02,1666.44,0.892,525,554.00,189.00,50.78,33.78,1793.08,0.859
447,458.00,374.00,41.17,188.97,1224.22,0.894,439,458.00,372.00,42.87,35.52,1278.89,0.885
448,925.00,253.00,48.20,180.24,1722.49,0.891,386,926.00,252.00,50.82,40.84,1891.35,0.896
448,925.00,253.00,48.20,180.24,1722.49,0.891,519,927.00,252.00,51.82,40.01,1950.17,0.869
449,571.00,334.00,43.77,187.51,1407.61,0.879,426,571.00,333.00,45.82,37.58,1516.96,0.892
454,801.00,338.00,46.45,184.59,1602.08,0.905,431,802.00,336.00,48.30,42.58,1694.81,0.893
455,771.00,309.00,48.24,184.62,1733.56,0.897,413,771.00,308.00,49.78,43.92,1784.78,0.885
457,774.00,157.00,38.50,193.28,1096.19,0.904,467,774.00,156.00,41.11,33.41,1211.07,0.881
458,478.00,174.00,43.47,187.07,1393.77,0.900,453,478.00,173.00,45.41,33.34,1496.89,0.896
459,429.00,96.00,44.78,182.82,1483.74,0.885,437,429.00,95.00,46.25,35.67,1570.24,0.898
461,556.00,149.00,46.88,183.67,1619.38,0.894,446,557.00,148.00,48.30,37.56,1690.66,0.875
462,626.00,210.00,48.24,183.45,1714.19,0.898,407,626.00,209.00,50.26,39.66,1830.45,0.888
463,559.00,26.00,42.55,189.34,1323.88,0.906,463,560.00,25.00,44.81,34.78,1462.98,0.901
464,689.00,168.00,48.22,181.40,1712.80,0.909,392,689.00,168.00,50.15,37.81,1862.98,0.890
466,508.00,245.00,43.88,188.60,1422.84,0.906,421,508.00,244.00,46.36,35.45,1548.10,0.867
467,586.00,258.00,43.47,188.62,1393.08,0.903,416,587.00,257.00,45.71,38.02,1495.50,0.895
467,586.00,258.00,43.47,188.62,1393.08,0.903,524,587.00,257.00,46.03,38.81,1537.02,0.891
468,626.00,252.00,45.61,186.70,1533.56,0.885,412,626.00,251.00,47.72,39.34,1645.67,0.892
468,626.00,252.00,45.61,186.70,1533.56,0.885,526,626.00,251.00,48.38,39.99,1689.97,0.889
469,957.00,313.00,42.09,188.13,1304.50,0.893,441,956.00,313.00,45.57,38.54,1503.11,0.884
469,957.00,313.00,42.09,188.13,1304.50,0.893,616,956.00,312.00,46.84,40.41,1566.78,0.865
472,517.00,162.00,47.51,183.03,1669.90,0.886,406,517.00,162.00,49.59,36.56,1748.10,0.866
472,517.00,162.00,47.51,183.03,1669.90,0.886,607,517.00,162.00,50.20,35.76,1804.84,0.894
473,425.00,275.00,38.74,190.97,1102.42,0.885,465,426.00,273.00,40.98,31.23,1208.30,0.897
476,475.00,219.00,45.42,186.81,1501.73,0.895,410,476.00,218.00,47.96,34.66,1658.13,0.904
477,542.00,273.00,47.78,184.26,1692.04,0.914,398,542.00,272.00,50.11,37.72,1815.22,0.885
477,542.00,273.00,47.78,184.26,1692.04,0.914,515,542.00,272.00,51.29,37.66,1885.12,0.879
479,993.00,33.00,46.28,175.42,1570.93,0.895,427,993.00,31.00,48.10,33.09,1707.27,0.883
481,495.00,362.00,46.93,181.18,1632.53,0.893,409,495.00,360.00,48.96,38.25,1730.10,0.883
481,495.00,362.00,46.93,181.18,1632.53,0.893,522,495.00,360.00,47.90,38.13,1635.99,0.882
482,649.00,287.00,44.01,187.91,1441.52,0.885,434,649.00,286.00,46.19,38.93,1550.87,0.892
483,692.00,292.00,46.04,186.05,1560.55,0.898,415,694.00,290.00,48.08,40.05,1701.73,0.880
487,975.00,188.00,43.83,184.52,1406.92,0.905,418,975.00,187.00,46.44,36.97,1573.70,0.874
488,682.00,364.00,44.23,188.99,1432.53,0.895,399,682.00,363.00,46.12,41.75,1519.72,0.877
490,437.00,49.00,43.61,181.53,1385.47,0.895,445,438.00,48.00,45.42,40.43,1478.89,0.902
490,437.00,49.00,43.61,181.53,1385.47,0.895,516,438.00,48.00,45.82,42.53,1513.49,0.894
491,996.00,253.00,45.59,182.34,1501.73,0.895,448,997.00,252.00,47.32,39.25,1624.91,0.886
493,797.00,264.00,71.94,167.61,3788.24,0.886,401,797.00,263.00,70.92,53.50,3770.93,0.895
495,398.00,206.00,44.15,187.10,1443.60,0.889,459,399.00,205.00,46.76,33.44,1548.79,0.894
496,593.00,91.00,56.30,173.84,2350.17,0.895,390,593.00,89.00,57.55,40.76,2418.69,0.891
496,593.00,91.00,56.30,173.84,2350.17,0.895,645,593.00,90.00,57.52,39.90,2444.29,0.885
497,585.00,218.00,45.74,185.77,1552.94,0.897,452,586.00,217.00,47.96,38.64,1658.13,0.899
498,882.00,318.00,46.31,184.71,1591.00,0.887,449,883.00,316.00,48.94,42.39,1750.17,0.894
502,994.00,293.00,42.91,186.62,1351.56,0.912,428,996.00,293.00,45.78,38.74,1539.79,0.897
502,994.00,293.00,42.91,186.62,1351.56,0.912,640,996.00,292.00,46.75,38.92,1593.77,0.888
503,641.00,165.00,58.98,173.29,2607.61,0.898,429,641.00,164.00,60.37,43.78,2711.42,0.889
503,641.00,165.00,58.98,173.29,2607.61,0.898,637,641.00,164.00,60.78,41.44,2626.30,0.864
505,924.00,61.00,39.33,187.80,1094.12,0.893,468,925.00,61.00,40.11,33.45,1020.07,0.836
506,552.00,108.00,43.86,186.18,1404.15,0.873,451,553.00,107.00,45.37,34.96,1473.36,0.882
507,929.00,210.00,43.61,185.64,1409.69,0.889,414,929.00,209.00,46.84,37.91,1593.77,0.888
510,628.00,116.00,43.55,187.63,1380.62,0.883,433,630.00,115.00,46.04,35.66,1531.49,0.893
511,887.00,55.00,43.72,187.46,1386.16,0.904,469,885.00,56.00,44.12,35.44,1310.73,0.863
512,519.00,35.00,46.59,181.14,1595.85,0.881,458,520.00,34.00,48.66,40.38,1752.25,0.877
513,594.00,135.00,43.48,185.94,1404.15,0.886,444,595.00,134.00,45.57,36.33,1496.89,0.884
516,406.00,167.00,44.18,186.39,1427.68,0.888,461,408.00,167.00,45.61,32.78,1525.95,0.878
518,434.00,138.00,46.03,182.29,1530.10,0.904,430,435.00,137.00,47.57,33.39,1619.38,0.883
519,682.00,364.00,45.20,189.47,1483.04,0.888,399,682.00,363.00,46.12,41.75,1519.72,0.877
523,887.00,55.00,45.49,184.73,1448.44,0.872,469,885.00,56.00,44.12,35.44,1310.73,0.863
525,166.00,137.00,49.26,176.12,1778.55,0.885,535,166.00,136.00,50.72,29.27,1888.58,0.884
527,324.00,205.00,43.89,185.09,1427.68,0.900,544,325.00,204.00,46.09,33.10,1536.33,0.892
528,339.00,44.00,46.38,179.09,1596.54,0.901,555,340.00,43.00,48.35,42.01,1702.42,0.900
531,176.00,97.00,44.72,180.89,1441.52,0.909,545,176.00,96.00,45.83,27.59,1512.11,0.898
532,165.00,219.00,45.48,180.25,1518.34,0.905,546,166.00,217.00,47.36,37.61,1615.92,0.896
532,165.00,219.00,45.48,180.25,1518.34,0.905,619,166.00,218.00,48.74,38.61,1690.66,0.886
533,340.00,87.00,44.52,181.50,1471.28,0.877,552,341.00,86.00,46.50,35.74,1585.47,0.895
536,298.00,127.00,46.68,180.20,1613.84,0.891,547,299.00,126.00,47.62,31.73,1627.68,0.883
539,188.00,262.00,44.70,181.74,1471.97,0.886,538,189.00,261.00,46.08,42.67,1526.64,0.886
541,110.00,357.00,44.86,176.34,1481.66,0.904,529,111.00,355.00,46.55,45.78,1584.78,0.903
543,148.00,367.00,44.28,179.18,1433.22,0.892,558,148.00,366.00,45.71,46.90,1492.04,0.873
544,227.00,64.00,44.76,179.57,1447.06,0.895,557,228.00,63.00,46.43,33.09,1556.40,0.879
546,305.00,169.00,49.04,179.66,1741.87,0.913,553,306.00,167.00,50.37,33.25,1853.98,0.893
546,305.00,169.00,49.04,179.66,1741.87,0.913,592,306.00,167.00,50.73,32.76,1892.04,0.893
547,126.00,214.00,43.92,180.23,1435.29,0.896,531,126.00,213.00,46.53,35.48,1550.87,0.892
548,230.00,376.00,48.30,179.89,1721.11,0.890,569,231.00,375.00,49.17,47.85,1761.94,0.899
548,230.00,376.00,48.30,179.89,1721.11,0.890,628,231.00,375.00,50.57,47.04,1815.22,0.891
549,296.00,233.00,44.04,185.04,1423.53,0.898,560,297.00,231.00,45.86,36.72,1510.73,0.902
550,82.00,276.00,45.71,176.42,1544.64,0.904,548,83.00,275.00,47.46,40.47,1653.98,0.885
551,208.00,297.00,45.46,181.55,1516.96,0.905,570,209.00,296.00,46.81,45.04,1558.48,0.900
551,208.00,297.00,45.46,181.55,1516.96,0.905,644,209.00,296.00,48.00,44.16,1651.90,0.888
552,320.00,320.00,42.63,186.56,1331.49,0.884,562,321.00,319.00,45.29,36.45,1485.81,0.907
553,181.00,329.00,49.17,177.45,1786.85,0.889,565,182.00,328.00,51.56,48.40,1915.57,0.889
553,181.00,329.00,49.17,177.45,1786.85,0.889,611,182.00,328.00,52.73,48.08,1973.70,0.880
554,140.00,324.00,43.79,180.91,1420.76,0.896,568,141.00,323.00,46.18,45.45,1534.95,0.886
555,66.00,187.00,47.39,171.04,1667.13,0.901,533,67.00,186.00,49.22,29.76,1780.62,0.894
555,66.00,187.00,47.39,171.04,1667.13,0.901,602,67.00,185.00,50.52,27.65,1829.76,0.900
561,254.00,124.00,44.50,181.76,1449.83,0.873,542,255.00,123.00,46.01,29.18,1548.79,0.894
562,231.00,334.00,48.65,179.37,1746.02,0.899,563,232.00,333.00,50.34,46.62,1853.29,0.885
565,45.00,260.00,44.56,175.63,1464.36,0.902,532,46.00,259.00,46.20,37.18,1551.56,0.884
567,268.00,261.00,45.42,183.26,1528.03,0.899,549,270.00,259.00,47.41,40.68,1599.31,0.891
569,302.00,62.00,46.67,175.79,1605.54,0.887,539,303.00,61.00,48.47,36.43,1710.03,0.907
570,188.00,371.00,48.92,177.52,1767.47,0.891,559,189.00,370.00,50.53,49.68,1824.91,0.896
571,339.00,127.00,45.34,182.42,1494.12,0.899,561,340.00,127.00,46.97,31.16,1604.84,0.894
572,281.00,318.00,42.97,185.89,1361.94,0.880,564,282.00,317.00,45.09,40.79,1489.97,0.897
576,332.00,253.00,48.68,179.93,1743.25,0.891,540,333.00,252.00,50.93,37.45,1896.19,0.884
580,187.00,57.00,46.44,176.63,1577.85,0.887,550,187.00,56.00,48.60,32.40,1663.67,0.879
581,149.00,39.00,46.54,174.73,1581.31,0.893,537,150.00,38.00,48.43,30.19,1708.65,0.895
582,364.00,186.00,44.04,184.85,1435.99,0.906,556,364.00,185.00,46.15,31.69,1551.56,0.884
587,249.00,296.00,45.38,182.46,1533.56,0.902,571,250.00,295.00,47.07,43.87,1563.32,0.883
589,212.00,26.00,44.16,177.77,1432.53,0.895,566,213.00,25.00,45.42,35.70,1486.51,0.891
590,365.00,227.00,44.39,184.34,1438.75,0.878,541,366.00,227.00,45.83,33.38,1529.41,0.888
593,258.00,164.00,43.78,184.85,1422.84,0.919,534,258.00,163.00,45.87,30.39,1549.48,0.891
593,258.00,164.00,43.78,184.85,1422.84,0.919,601,258.00,163.00,46.58,29.82,1590.31,0.878
595,228.00,259.00,45.09,181.99,1489.97,0.897,554,229.00,258.00,46.56,41.39,1585.47,0.895
596,206.00,224.00,48.57,178.69,1696.19,0.873,551,208.00,222.00,50.18,40.17,1826.30,0.886
598,161.00,290.00,44.30,181.55,1431.14,0.894,567,162.00,289.00,45.88,43.93,1538.41,0.902
599,298.00,127.00,47.84,181.29,1671.28,0.876,547,299.00,126.00,47.62,31.73,1627.68,0.883
600,147.00,367.00,44.59,180.84,1486.51,0.886,558,148.00,366.00,45.71,46.90,1492.04,0.873
602,248.00,296.00,46.83,180.56,1616.61,0.893,571,250.00,295.00,47.07,43.87,1563.32,0.883
603,365.00,228.00,47.59,185.12,1521.11,0.872,541,366.00,227.00,45.83,33.38,1529.41,0.888
604,159.00,970.00,50.94,166.06,1880.28,0.890,306,159.00,967.00,51.70,48.66,1913.49,0.880
605,230.00,705.00,48.51,177.99,1738.41,0.892,296,231.00,703.00,49.63,39.85,1796.54,0.894
607,891.00,901.00,48.47,175.90,1670.59,0.883,115,891.00,898.00,48.29,44.27,1648.44,0.883
610,111.00,616.00,45.54,177.99,1514.19,0.891,262,111.00,614.00,46.09,34.37,1562.63,0.902
610,111.00,616.00,45.54,177.99,1514.19,0.891,646,111.00,614.00,47.49,35.75,1606.92,0.899
611,522.00,662.00,60.45,175.72,2727.34,0.883,67,522.00,659.00,60.56,53.64,2729.41,0.878
613,516.00,833.00,49.56,179.81,1772.32,0.890,16,516.00,831.00,51.11,45.50,1892.73,0.886
614,422.00,631.00,48.68,181.90,1723.88,0.892,139,423.00,629.00,48.96,45.74,1728.72,0.876
617,478.00,857.00,48.11,180.10,1709.34,0.888,60,479.00,855.00,49.62,42.73,1815.22,0.907
619,672.00,791.00,56.75,176.02,2381.31,0.891,70,672.00,788.00,57.20,50.70,2417.30,0.891
621,471.00,645.00,47.24,187.18,1636.68,0.884,133,471.00,643.00,47.74,45.39,1654.67,0.878
621,471.00,645.00,47.24,187.18,1636.68,0.884,634,471.00,644.00,48.13,46.32,1695.50,0.896
622,132.00,474.00,56.08,170.67,2287.89,0.891,263,133.00,472.00,56.29,51.09,2303.11,0.887
626,468.00,88.00,46.55,184.65,1585.47,0.895,442,469.00,87.00,47.64,38.10,1631.14,0.904
626,468.00,88.00,46.55,184.65,1585.47,0.895,470,469.00,87.00,48.44,37.96,1669.20,0.894
626,468.00,88.00,46.55,184.65,1585.47,0.895,521,469.00,88.00,48.98,37.23,1670.59,0.906
629,132.00,473.00,52.94,174.85,1985.47,0.864,263,133.00,472.00,56.29,51.09,2303.11,0.887
630,796.00,264.00,72.89,172.31,3909.34,0.884,401,797.00,263.00,70.92,53.50,3770.93,0.895
631,650.00,583.00,52.61,180.13,1853.98,0.863,34,652.00,581.00,50.23,47.54,1822.84,0.892
