BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
72,384.00,514.00,45.46,185.42,1525.26,0.897,42,385.00,512.00,46.97,41.00,1602.08,0.893
73,543.00,619.00,45.46,183.60,1539.10,0.906,55,544.00,617.00,47.88,45.39,1639.45,0.886
74,636.00,689.00,42.31,187.26,1318.34,0.903,78,636.00,687.00,44.80,42.93,1444.98,0.890
75,936.00,614.00,56.96,171.23,2395.85,0.890,19,936.00,613.00,58.78,50.21,2565.40,0.890
75,936.00,614.00,56.96,171.23,2395.85,0.890,528,936.00,614.00,56.53,46.35,2265.05,0.853
75,936.00,614.00,56.96,171.23,2395.85,0.890,623,936.00,612.00,60.73,46.71,2684.43,0.887
76,818.00,448.00,48.49,181.25,1752.25,0.899,3,819.00,446.00,50.59,45.69,1868.51,0.892
76,818.00,448.00,48.49,181.25,1752.25,0.899,247,819.00,446.00,50.97,45.76,1914.19,0.888
78,920.00,499.00,42.94,186.96,1364.71,0.899,72,920.00,497.00,45.48,42.59,1497.58,0.888
79,895.00,464.00,44.88,186.53,1494.12,0.899,111,894.00,463.00,47.76,44.44,1660.21,0.886
79,895.00,464.00,44.88,186.53,1494.12,0.899,204,895.00,463.00,48.51,44.89,1716.26,0.880
80,771.00,564.00,44.80,186.50,1483.74,0.902,26,771.00,562.00,47.59,44.56,1638.75,0.893
80,771.00,564.00,44.80,186.50,1483.74,0.902,200,771.00,562.00,48.33,45.02,1685.81,0.875
82,603.00,505.00,44.07,188.41,1420.07,0.904,83,604.00,503.00,45.87,44.24,1505.19,0.901
83,651.00,583.00,48.48,183.67,1728.03,0.894,34,652.00,581.00,50.23,47.54,1822.84,0.892
84,851.00,476.00,43.25,188.22,1378.55,0.878,46,851.00,475.00,46.43,42.39,1568.86,0.891
84,851.00,476.00,43.25,188.22,1378.55,0.878,633,851.00,474.00,46.86,44.62,1628.37,0.896
85,635.00,895.00,43.44,183.28,1389.62,0.897,122,635.00,893.00,45.81,42.51,1516.96,0.888
87,781.00,427.00,44.03,186.89,1445.67,0.887,146,783.00,425.00,46.02,42.67,1525.26,0.897
88,457.00,606.00,48.24,180.59,1725.95,0.885,51,458.00,604.00,50.39,43.86,1858.82,0.888
88,457.00,606.00,48.24,180.59,1725.95,0.885,642,458.00,604.00,51.45,45.00,1898.27,0.884
89,750.00,693.00,46.31,181.88,1561.94,0.905,37,750.00,691.00,47.98,45.38,1633.22,0.886
91,808.00,893.00,48.90,177.07,1754.33,0.892,75,808.00,890.00,51.59,45.90,1942.56,0.894
92,563.00,502.00,45.89,186.70,1538.41,0.909,82,564.00,501.00,47.43,44.01,1647.06,0.898
93,634.00,855.00,44.13,183.46,1440.14,0.908,142,635.00,853.00,46.89,43.01,1613.15,0.871
96,924.00,571.00,43.89,185.73,1417.99,0.894,108,924.00,570.00,46.21,42.34,1543.94,0.888
97,672.00,701.00,44.12,182.47,1433.91,0.883,87,673.00,699.00,46.23,43.72,1561.94,0.893
99,889.00,854.00,43.45,181.29,1399.31,0.904,102,889.00,853.00,46.96,42.14,1575.09,0.898
101,519.00,583.00,46.39,184.25,1593.77,0.900,85,520.00,581.00,48.81,45.74,1727.34,0.886
102,585.00,541.00,46.05,185.85,1575.09,0.898,2,586.00,539.00,48.75,45.47,1703.11,0.877
105,414.00,724.00,43.93,183.33,1422.15,0.897,15,414.00,722.00,46.25,41.94,1557.09,0.887
105,414.00,724.00,43.93,183.33,1422.15,0.897,649,414.00,722.00,47.27,42.80,1609.00,0.892
106,788.00,978.00,44.65,178.33,1462.28,0.892,59,788.00,976.00,47.56,41.48,1666.44,0.897
109,489.00,404.00,44.37,186.85,1442.91,0.892,7,489.00,403.00,46.55,37.77,1568.86,0.886
110,515.00,750.00,46.63,181.71,1610.38,0.897,9,515.00,748.00,48.92,44.46,1759.86,0.884
111,859.00,396.00,44.97,186.64,1496.19,0.880,21,860.00,394.00,47.54,42.70,1630.45,0.884
112,444.00,919.00,45.41,180.63,1522.49,0.891,143,444.00,917.00,47.64,43.45,1631.14,0.881
112,444.00,919.00,45.41,180.63,1522.49,0.891,648,445.00,917.00,48.74,45.15,1709.34,0.888
114,549.00,771.00,43.39,184.83,1409.00,0.880,43,550.00,769.00,46.89,42.41,1571.63,0.887
115,784.00,671.00,45.27,184.22,1508.65,0.883,117,785.00,669.00,47.08,44.99,1644.29,0.892
117,438.00,417.00,72.52,167.20,3929.41,0.893,13,439.00,416.00,72.33,52.34,3906.57,0.890
117,438.00,417.00,72.52,167.20,3929.41,0.893,643,439.00,416.00,72.51,51.11,3941.18,0.891
120,646.00,436.00,44.46,187.06,1469.20,0.896,64,645.00,435.00,46.45,43.08,1558.48,0.877
122,547.00,466.00,43.92,189.47,1412.46,0.903,84,547.00,465.00,45.78,42.34,1508.65,0.883
122,547.00,466.00,43.92,189.47,1412.46,0.903,639,547.00,465.00,46.37,43.36,1550.87,0.899
123,551.00,852.00,40.96,185.83,1222.84,0.880,79,551.00,850.00,42.90,40.84,1332.87,0.878
126,478.00,495.00,48.48,182.54,1737.72,0.888,81,478.00,494.00,50.08,41.99,1844.29,0.888
126,478.00,495.00,48.48,182.54,1737.72,0.888,240,478.00,493.00,49.42,42.04,1667.82,0.893
127,383.00,624.00,43.01,185.85,1355.71,0.910,105,383.00,622.00,45.09,40.61,1485.12,0.898
127,383.00,624.00,43.01,185.85,1355.71,0.910,207,383.00,622.00,45.61,43.89,1544.64,0.880
128,667.00,960.00,43.84,181.99,1405.54,0.899,90,667.00,957.00,46.26,41.83,1593.08,0.891
130,433.00,523.00,46.32,184.72,1597.92,0.890,76,434.00,521.00,48.30,41.31,1681.66,0.889
130,433.00,523.00,46.32,184.72,1597.92,0.890,590,434.00,522.00,48.31,40.83,1689.27,0.896
134,414.00,488.00,43.87,186.94,1420.76,0.884,131,415.00,486.00,45.69,38.69,1521.11,0.883
137,523.00,881.00,45.49,179.51,1542.56,0.899,113,523.00,878.00,47.89,40.62,1664.36,0.899
137,523.00,881.00,45.49,179.51,1542.56,0.899,376,523.00,878.00,46.03,41.37,1440.14,0.851
138,832.00,980.00,44.47,175.65,1445.67,0.882,114,832.00,978.00,47.05,40.70,1617.30,0.901
139,581.00,609.00,42.69,189.30,1348.10,0.901,93,582.00,608.00,45.36,44.42,1448.44,0.884
140,830.00,775.00,43.55,183.69,1391.70,0.890,112,830.00,773.00,45.79,42.34,1543.25,0.891
142,531.00,393.00,46.34,185.81,1567.47,0.885,52,531.00,392.00,47.73,40.20,1663.67,0.879
143,482.00,940.00,46.03,178.33,1570.24,0.903,106,482.00,939.00,48.04,43.44,1671.97,0.895
145,984.00,559.00,48.98,177.75,1766.09,0.906,66,983.00,557.00,51.40,45.81,1901.73,0.897
