Center_X_px,Center_Y_px,Diameter_μm,slide
278.0,471.0,46.42,z13
450.0,50.0,46.23,z13
351.0,364.0,46.21,z13
269.0,426.0,46.17,z13
213.0,39.0,46.16,z13
479.0,135.0,46.16,z12
494.0,321.0,46.09,z13
300.0,471.0,46.04,z13
370.0,386.0,46.01,z13
280.0,173.0,45.95,z13
17.0,24.0,45.94,z13
436.0,336.0,45.93,z13
35.0,389.0,45.91,z13
460.0,300.0,45.84,z13
369.0,466.0,45.8,z13
277.0,298.0,45.77,z12
211.0,154.0,45.7,z13
180.0,229.0,45.57,z13
395.0,246.0,45.56,z13
455.0,343.0,45.52,z13
77.0,445.0,45.47,z13
203.0,312.0,45.43,z13
378.0,111.0,45.37,z13
273.0,142.0,45.37,z12
426.0,388.0,45.37,z13
345.0,291.0,45.28,z13
117.0,299.0,45.19,z13
201.0,424.0,45.19,z13
252.0,122.0,45.15,z13
157.0,437.0,45.02,z13
219.0,325.0,45.0,z13
382.0,214.0,44.96,z13
164.0,241.0,44.94,z13
478.0,308.0,44.94,z13
216.0,437.0,44.94,z13
115.0,318.0,44.94,z13
40.0,110.0,44.94,z13
183.0,271.0,44.81,z13
474.0,379.0,44.75,z13
354.0,152.0,44.64,z13
63.0,265.0,44.53,z13
53.0,397.0,44.51,z13
430.0,56.0,44.49,z13
62.0,234.0,44.45,z13
280.0,319.0,44.44,z13
337.0,92.0,44.43,z13
35.0,409.0,44.42,z13
363.0,130.0,44.34,z12
438.0,240.0,44.33,z13
162.0,149.0,44.32,z13
360.0,402.0,44.27,z13
226.0,142.0,44.2,z12
97.0,444.0,44.1,z13
473.0,96.0,43.97,z13
353.0,483.0,43.9,z13
408.0,175.0,43.9,z12
481.0,78.0,43.88,z13
473.0,346.0,43.86,z13
497.0,99.0,43.79,z13
274.0,497.0,43.74,z13
118.0,449.0,43.66,z13
405.0,343.0,43.65,z13
492.0,350.0,43.65,z13
257.0,369.0,43.63,z13
435.0,37.0,43.49,z13
493.0,204.0,43.48,z13
39.0,10.0,43.46,z13
230.0,96.0,43.45,z13
221.0,418.0,43.42,z13
264.0,330.0,43.42,z13
332.0,143.0,43.26,z13
457.0,242.0,43.25,z13
403.0,227.0,43.2,z13
325.0,32.0,43.18,z13
198.0,483.0,43.18,z13
95.0,301.0,43.17,z13
260.0,207.0,43.17,z13
370.0,359.0,43.16,z13
249.0,227.0,43.1,z13
168.0,301.0,43.08,z13
95.0,208.0,43.08,z13
223.0,185.0,43.08,z12
223.0,221.0,43.08,z13
207.0,405.0,43.08,z13
180.0,157.0,43.06,z13
274.0,110.0,43.04,z13
294.0,227.0,43.04,z13
387.0,352.0,43.04,z12
263.0,90.0,43.01,z05
163.0,328.0,43.0,z13
431.0,85.0,42.97,z13
183.0,430.0,42.96,z13
350.0,324.0,42.91,z13
206.0,82.0,42.89,z13
476.0,328.0,42.85,z13
277.0,201.0,42.78,z13
239.0,279.0,42.71,z13
332.0,490.0,42.64,z13
189.0,406.0,42.64,z13
88.0,150.0,42.64,z13
395.0,119.0,42.63,z12
262.0,311.0,42.5,z13
408.0,285.0,42.49,z13
350.0,384.0,42.48,z13
240.0,61.0,42.48,z13
420.0,270.0,42.41,z13
475.0,59.0,42.38,z13
486.0,274.0,42.38,z13
287.0,74.0,42.37,z13
497.0,14.0,42.12,z13
489.0,398.0,42.04,z13
241.0,211.0,41.95,z13
500.0,81.0,41.93,z13
380.0,53.0,41.86,z13
35.0,32.0,41.82,z13
38.0,275.0,41.82,z13
23.0,371.0,41.82,z13
443.0,70.0,41.82,z13
45.0,219.0,41.82,z13
224.0,78.0,41.82,z13
325.0,197.0,41.82,z13
333.0,373.0,41.81,z13
205.0,192.0,41.81,z13
125.0,493.0,41.65,z13
