Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
88,64.0,461.0,0.0,31.69,2.88,33.55,-1.86,119.23,663.27,0.85,36.5,0.474,z13
89,201.0,424.0,0.0,43.04,2.84,45.19,-2.15,114.84,1241.92,0.91,46.5,0.355,z13
90,133.0,397.0,0.0,44.8,2.55,47.49,-2.69,111.88,1375.67,0.896,48.14,0.374,z13
91,97.0,444.0,0.0,41.59,2.65,44.1,-2.51,112.59,1214.63,0.89,45.45,0.394,z13
92,72.0,356.0,1.0,35.6,3.21,39.18,-3.58,119.17,881.63,0.91,41.6,0.31,z13
93,223.0,343.0,1.0,34.85,2.69,37.22,-2.37,121.02,857.06,0.907,39.95,0.393,z13
94,206.0,341.0,0.0,35.68,3.03,37.83,-2.15,120.26,857.06,0.907,40.67,0.369,z13
95,295.0,430.0,1.0,36.18,2.8,39.75,-3.57,118.99,928.03,0.903,41.6,0.31,z13
96,15.0,404.0,0.0,44.34,3.28,48.53,-4.19,107.32,1402.96,0.889,50.02,0.421,z13
97,184.0,464.0,0.0,54.97,2.24,56.54,-1.57,106.11,2169.95,0.88,58.77,0.422,z12
98,174.0,445.0,0.0,33.45,2.8,36.76,-3.31,121.92,775.18,0.93,38.43,0.378,z13
99,53.0,397.0,0.0,41.49,2.99,44.51,-3.02,112.94,1184.6,0.914,46.8,0.326,z13
100,258.0,444.0,0.0,37.98,1.94,40.2,-2.22,118.03,982.62,0.912,40.67,0.291,z13
101,240.0,383.0,0.0,38.15,3.45,40.65,-2.5,117.79,1012.64,0.889,44.64,0.362,z13
102,247.0,333.0,0.0,33.45,2.85,36.57,-3.12,121.44,780.64,0.902,38.89,0.404,z13
103,76.0,397.0,0.0,36.94,3.44,39.89,-2.95,116.2,960.78,0.863,43.46,0.396,z13
104,222.0,481.0,1.0,54.87,2.9,56.26,-1.39,105.94,2134.47,0.879,60.32,0.438,z12
105,278.0,380.0,0.0,36.18,2.89,39.31,-3.13,120.4,922.57,0.898,41.82,0.341,z13
106,245.0,317.0,1.0,34.02,3.16,37.0,-2.98,122.03,824.31,0.873,40.2,0.398,z13
107,207.0,464.0,0.0,46.67,2.21,49.29,-2.62,111.38,1501.22,0.891,50.66,0.32,z13
108,183.0,430.0,0.0,39.79,3.0,42.96,-3.17,116.84,1097.26,0.912,44.88,0.344,z13
109,164.0,476.0,1.0,45.37,2.25,48.29,-2.92,111.46,1430.26,0.872,49.03,0.367,z13
110,285.0,416.0,0.0,37.56,2.95,41.12,-3.56,120.67,990.81,0.911,43.46,0.273,z13
111,118.0,449.0,0.0,40.99,2.87,43.66,-2.67,112.92,1149.12,0.906,44.64,0.426,z13
112,113.0,468.0,0.0,44.5,3.04,46.77,-2.27,110.87,1353.83,0.882,48.5,0.405,z13
113,219.0,392.0,0.0,37.46,2.49,40.88,-3.42,119.35,990.81,0.911,42.12,0.364,z13
114,195.0,329.0,0.0,32.11,2.35,34.16,-2.05,123.62,701.48,0.899,36.65,0.311,z13
115,172.0,400.0,0.0,36.5,2.83,40.2,-3.7,121.46,914.38,0.899,41.79,0.26,z13
116,293.0,334.0,0.0,33.13,1.96,36.05,-2.92,124.23,753.34,0.904,36.94,0.329,z13
117,218.0,325.0,1.0,41.72,2.88,45.0,-3.28,116.51,1228.27,0.882,47.39,0.337,z13
118,90.0,390.0,0.0,27.56,2.79,29.54,-1.98,126.02,513.15,0.864,33.04,0.443,z13
119,125.0,493.0,0.0,37.69,3.08,41.65,-3.96,119.05,982.62,0.912,43.56,0.333,z13
120,156.0,492.0,0.0,30.29,2.76,32.81,-2.52,125.32,625.05,0.882,35.3,0.403,z13
