Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,436.00,336.00,45.93,102.42,1413.88,0.839
1,353.00,483.00,43.90,99.10,1356.56,0.876
2,428.00,369.00,34.02,104.51,794.28,0.928
3,449.00,433.00,38.57,100.99,1042.67,0.907
6,405.00,343.00,43.65,102.34,1214.63,0.840
7,467.00,424.00,36.13,104.00,900.73,0.908
8,456.00,322.00,56.17,100.78,2096.25,0.837
9,388.00,392.00,37.67,105.00,958.05,0.911
11,443.00,378.00,39.99,101.65,1108.18,0.866
12,370.00,321.00,35.60,104.94,865.25,0.894
13,332.00,490.00,42.64,99.62,1277.40,0.866
14,408.00,323.00,51.72,102.28,1727.77,0.889
15,455.00,343.00,45.52,101.81,1416.61,0.857
16,395.00,38.00,53.99,101.12,2006.18,0.878
17,427.00,199.00,51.83,102.11,1866.98,0.900
18,463.00,173.00,47.39,103.54,1561.27,0.926
19,320.00,410.00,33.36,105.44,715.13,0.858
20,453.00,392.00,33.14,101.33,758.80,0.877
21,496.00,436.00,36.33,102.62,928.03,0.873
22,482.00,448.00,48.16,99.45,1626.78,0.861
23,350.00,324.00,42.91,103.99,1184.60,0.876
24,345.00,456.00,58.03,99.30,2363.74,0.877
25,365.00,497.00,37.98,102.69,982.62,0.882
26,404.00,485.00,59.70,97.99,2576.64,0.891
27,452.00,484.00,48.18,99.29,1553.08,0.837
29,387.00,352.00,43.01,105.00,1184.60,0.850
30,430.00,473.00,61.77,99.54,2631.23,0.884
31,346.00,340.00,30.54,108.99,625.05,0.882
32,449.00,109.00,53.50,101.04,1929.75,0.893
33,450.00,50.00,46.23,101.63,1517.60,0.877
34,407.00,208.00,46.96,102.62,1520.33,0.841
35,346.00,224.00,51.29,101.85,1847.87,0.906
36,443.00,70.00,41.82,103.66,1165.49,0.854
37,373.00,161.00,41.12,104.38,1168.22,0.901
38,352.00,32.00,47.09,104.18,1528.52,0.907
39,410.00,109.00,37.55,105.00,977.16,0.878
40,492.00,64.00,35.05,107.87,799.74,0.856
41,413.00,75.00,48.67,101.69,1700.48,0.907
42,380.00,53.00,41.86,103.39,1233.73,0.896
