Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,365.00,100.00,47.22,126.30,1584.20,0.907
1,446.00,306.00,39.86,132.08,1126.30,0.880
2,491.00,43.00,32.97,139.78,759.55,0.899
3,423.00,27.00,47.03,129.20,1545.14,0.885
4,364.00,124.00,50.81,121.34,1842.45,0.891
5,477.00,81.00,49.61,126.88,1749.13,0.906
6,328.00,116.00,58.53,121.34,2489.15,0.893
7,437.00,83.00,42.23,131.03,1243.49,0.887
8,393.00,307.00,33.59,139.01,781.25,0.882
9,456.00,52.00,38.95,132.71,1052.52,0.879
10,382.00,44.00,53.01,124.12,1977.00,0.847
11,402.00,258.00,43.02,129.96,1289.06,0.903
12,469.00,239.00,37.71,134.99,987.41,0.910
13,422.00,243.00,55.08,123.34,2107.20,0.828
14,333.00,92.00,41.69,132.15,1126.30,0.804
15,402.00,74.00,30.76,141.92,629.34,0.901
16,411.00,224.00,34.93,136.95,846.35,0.858
17,385.00,86.00,49.79,128.66,1614.58,0.829
18,320.00,33.00,32.10,141.72,724.83,0.887
19,377.00,65.00,32.61,136.79,737.85,0.903
20,424.00,294.00,58.11,124.42,2233.07,0.816
21,363.00,78.00,41.13,131.46,1152.34,0.822
22,413.00,97.00,75.56,118.16,4171.01,0.864
23,493.00,63.00,46.86,126.24,1579.86,0.905
24,363.00,26.00,49.99,125.38,1809.90,0.889
25,418.00,49.00,42.50,129.21,1276.04,0.894
26,489.00,19.00,55.47,122.47,2180.99,0.857
27,403.00,34.00,40.76,133.11,1143.66,0.894
28,483.00,105.00,47.55,123.73,1608.07,0.894
29,386.00,108.00,43.19,128.55,1297.74,0.909
30,438.00,62.00,39.38,131.80,1108.94,0.901
31,420.00,70.00,39.67,133.71,1095.92,0.916
32,455.00,28.00,43.01,130.22,1293.40,0.906
33,456.00,73.00,40.93,131.22,1184.90,0.894
34,439.00,42.00,38.34,135.05,1013.45,0.871
35,385.00,23.00,34.60,140.15,835.50,0.893
36,331.00,155.00,32.13,137.57,716.15,0.908
37,470.00,41.00,31.95,140.25,687.93,0.894
38,476.00,287.00,39.17,132.32,1063.37,0.871
39,407.00,154.00,53.77,122.72,1990.02,0.836
40,480.00,176.00,30.37,140.03,629.34,0.915
41,411.00,184.00,36.49,134.58,909.29,0.901
42,458.00,93.00,38.91,129.54,1065.54,0.890
43,339.00,283.00,31.25,142.57,657.55,0.885
44,332.00,173.00,40.26,129.87,1154.51,0.920
45,409.00,204.00,40.54,128.48,1141.49,0.852
46,481.00,144.00,37.65,127.75,1002.60,0.879
47,444.00,177.00,31.90,139.59,694.44,0.911
48,462.00,298.00,30.67,139.35,640.19,0.907
49,394.00,289.00,28.80,144.92,551.22,0.899
50,316.00,146.00,33.19,136.61,757.38,0.905
51,343.00,74.00,37.01,133.58,909.29,0.849
52,349.00,270.00,29.76,142.78,588.11,0.878
53,333.00,268.00,30.03,141.01,579.43,0.852
54,419.00,132.00,45.60,120.85,1501.74,0.889
55,351.00,90.00,25.41,147.96,418.84,0.860
56,430.00,224.00,30.23,141.46,635.85,0.901
57,371.00,147.00,47.40,123.54,1564.67,0.842
58,346.00,240.00,33.86,136.45,798.61,0.902
59,346.00,302.00,43.92,128.89,1271.70,0.838
60,316.00,293.00,35.84,134.59,885.42,0.859
61,473.00,202.00,33.67,137.77,774.74,0.896
62,357.00,286.00,34.14,139.41,776.91,0.907
63,326.00,308.00,29.08,144.39,564.24,0.885
64,376.00,283.00,37.83,135.24,963.54,0.870
65,457.00,191.00,39.18,131.98,974.39,0.761
66,445.00,214.00,36.72,134.81,917.97,0.910
67,428.00,179.00,31.08,139.18,685.76,0.913
68,390.00,274.00,28.09,146.10,536.02,0.899
69,471.00,64.00,27.28,144.93,512.15,0.883
70,489.00,206.00,31.29,140.55,644.53,0.913
71,335.00,222.00,38.56,130.59,1015.62,0.891
72,397.00,237.00,40.66,131.98,1080.73,0.851
73,478.00,306.00,34.98,135.96,863.72,0.903
74,366.00,302.00,35.29,137.32,881.08,0.893
75,419.00,271.00,36.67,132.47,928.82,0.901
76,450.00,248.00,35.26,136.63,826.82,0.845
77,345.00,40.00,27.95,146.28,546.88,0.943
78,309.00,381.00,38.69,134.34,959.20,0.866
