Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
498,132.00,331.00,18.08,137.68,224.00,0.853
499,13.00,246.00,12.35,133.11,102.00,0.881
500,81.00,318.00,18.36,137.66,229.00,0.872
501,283.00,329.00,16.08,141.56,169.50,0.879
502,221.00,412.00,14.56,143.42,151.00,0.873
503,201.00,298.00,14.77,142.06,147.00,0.913
504,104.00,438.00,23.08,127.54,372.50,0.890
505,264.00,445.00,20.25,130.50,289.50,0.897
506,302.00,181.00,14.56,138.69,154.00,0.890
507,400.00,419.00,7.69,163.94,36.00,0.895
508,504.00,253.00,4.12,140.19,10.00,0.925
509,375.00,216.00,5.53,130.11,19.00,0.879
510,327.00,341.00,9.59,163.75,58.00,0.898
511,442.00,374.00,10.00,164.03,59.50,0.885
512,341.00,369.00,8.79,163.25,47.00,0.842
513,396.00,409.00,8.77,163.16,48.50,0.909
514,463.00,476.00,9.50,159.00,58.50,0.891
515,245.00,261.00,5.83,167.40,21.50,0.927
516,421.00,208.00,4.27,170.38,10.00,0.806
517,503.00,441.00,8.10,160.23,40.50,0.891
518,309.00,304.00,6.13,170.39,22.00,0.887
519,381.00,299.00,11.18,149.18,80.50,0.856
520,427.00,148.00,9.72,127.95,63.00,0.871
521,290.00,138.00,9.53,135.41,59.00,0.863
522,353.00,313.00,5.44,175.35,18.50,0.920
523,497.00,376.00,9.48,167.39,56.50,0.860
524,346.00,394.00,10.11,156.70,66.00,0.803
525,387.00,146.00,5.66,157.17,15.50,0.820
526,387.00,60.00,5.39,181.30,15.50,0.858
527,473.00,470.00,8.94,165.29,56.00,0.943
528,443.00,405.00,10.03,158.86,66.50,0.885
529,355.00,331.00,9.46,166.83,57.50,0.928
530,355.00,483.00,4.24,168.53,8.50,0.820
531,404.00,344.00,5.83,173.75,23.00,0.927
532,260.00,292.00,6.32,116.00,17.00,0.754
533,72.00,309.00,5.70,176.75,16.00,0.820
534,412.00,474.00,5.15,181.78,15.00,0.857
535,260.00,335.00,3.33,159.00,5.00,0.806
536,193.00,291.00,5.10,164.09,15.00,0.804
