Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,132.00,279.00,20.20,43.81,285.50,0.884
1,235.00,206.00,42.43,27.62,1329.00,0.883
2,173.00,225.00,22.84,46.80,366.00,0.889
3,181.00,20.00,22.12,41.06,351.50,0.888
4,308.00,108.00,22.97,50.35,384.50,0.898
5,279.00,243.00,19.06,40.19,259.00,0.896
6,255.00,72.00,31.96,35.84,746.50,0.896
7,189.00,61.00,20.90,43.43,306.50,0.892
8,256.00,227.00,18.91,39.26,233.50,0.881
9,41.00,232.00,18.95,38.39,255.50,0.901
10,297.00,39.00,20.96,48.21,316.00,0.882
11,103.00,24.00,19.45,41.58,265.50,0.876
12,13.00,125.00,17.49,34.99,211.00,0.889
13,119.00,219.00,16.34,34.83,189.00,0.869
16,67.00,75.00,15.81,29.08,172.00,0.884
18,57.00,44.00,15.94,29.48,175.50,0.881
138,239.00,210.00,58.94,29.53,1560.50,0.609
194,102.00,351.00,27.15,50.87,538.50,0.894
195,171.00,328.00,27.80,51.15,571.00,0.901
196,59.00,450.00,18.95,39.61,259.00,0.896
197,249.00,432.00,19.55,44.48,269.00,0.895
198,226.00,413.00,18.97,41.46,262.00,0.906
199,108.00,495.00,21.24,45.02,184.50,0.729
200,260.00,330.00,17.90,40.47,229.50,0.892
201,210.00,421.00,13.88,27.02,130.00,0.852
202,122.00,481.00,16.05,30.39,179.00,0.878
266,122.00,481.00,16.33,38.34,183.50,0.851
277,436.00,299.00,19.24,46.53,251.00,0.892
278,447.00,279.00,28.15,55.26,569.50,0.887
279,403.00,262.00,21.40,47.45,329.00,0.918
280,374.00,177.00,22.10,48.30,346.50,0.896
281,467.00,60.00,24.21,52.00,421.00,0.898
282,382.00,122.00,28.07,54.84,572.00,0.886
283,412.00,177.00,17.55,43.57,215.00,0.853
284,468.00,29.00,13.20,30.24,114.50,0.920
292,494.00,196.00,11.50,25.51,86.50,0.901
358,467.00,60.00,24.24,47.04,425.00,0.887
379,382.00,122.00,28.16,52.75,574.50,0.878
410,391.00,440.00,21.10,47.04,315.50,0.896
411,310.00,368.00,24.92,50.33,442.00,0.895
412,444.00,424.00,19.12,44.92,259.50,0.915
413,313.00,313.00,32.48,42.20,775.00,0.899
414,352.00,437.00,15.90,38.13,169.50,0.879
506,116.00,363.00,9.56,10.31,54.00,0.857
514,279.00,243.00,19.13,40.52,261.00,0.902
526,313.00,313.00,32.49,45.57,776.00,0.886
