Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,207.00,42.88,30.88,1367.50,0.886
1,255.00,72.00,31.93,36.86,737.00,0.889
2,308.00,108.00,22.76,39.10,362.50,0.874
3,173.00,225.00,22.00,35.23,341.00,0.876
4,297.00,40.00,20.34,34.04,284.50,0.881
5,279.00,243.00,18.20,24.24,229.50,0.892
6,181.00,20.00,21.13,30.95,303.00,0.876
7,132.00,279.00,18.97,28.23,254.00,0.903
8,189.00,61.00,19.44,29.87,265.00,0.892
11,256.00,228.00,17.49,23.98,201.50,0.878
13,41.00,232.00,17.91,20.83,223.00,0.885
18,103.00,24.00,18.40,22.95,232.00,0.858
21,120.00,220.00,15.27,15.09,157.50,0.888
25,14.00,126.00,16.60,15.49,175.50,0.864
28,57.00,45.00,14.56,12.89,134.00,0.845
35,68.00,75.00,14.56,13.14,135.50,0.878
110,102.00,351.00,26.79,46.40,526.00,0.885
111,171.00,328.00,27.49,48.86,546.00,0.894
112,249.00,432.00,18.79,28.19,244.00,0.877
113,226.00,414.00,18.51,24.71,231.00,0.879
114,59.00,450.00,18.41,21.47,231.50,0.864
115,260.00,330.00,17.20,24.08,193.00,0.876
136,122.00,481.00,14.96,14.48,144.50,0.875
146,210.00,421.00,13.34,11.17,108.00,0.894
165,226.00,414.00,18.97,20.53,242.00,0.895
167,447.00,279.00,27.83,54.41,566.50,0.882
168,381.00,122.00,27.92,53.43,561.00,0.885
169,375.00,177.00,21.18,37.37,316.50,0.877
170,403.00,262.00,21.00,35.45,311.00,0.868
171,436.00,299.00,18.03,30.69,213.50,0.854
172,467.00,60.00,23.66,47.64,384.50,0.870
175,412.00,177.00,16.24,25.02,179.00,0.878
201,469.00,30.00,12.12,11.65,93.00,0.818
208,447.00,279.00,28.04,48.45,577.50,0.899
259,313.00,313.00,32.62,44.67,782.50,0.898
260,310.00,368.00,24.52,43.55,426.00,0.889
261,391.00,440.00,19.89,36.58,278.00,0.877
263,444.00,424.00,18.11,30.19,230.50,0.896
268,352.00,437.00,14.43,19.80,138.00,0.871
292,313.00,313.00,32.62,44.75,784.00,0.909
327,112.00,495.00,16.12,25.29,59.50,0.521
