Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,207.00,42.77,31.86,1362.50,0.897
1,255.00,72.00,30.63,31.75,669.50,0.879
2,173.00,226.00,20.60,17.13,286.50,0.887
4,308.00,108.00,20.33,20.81,281.50,0.859
6,297.00,39.00,17.89,15.20,219.50,0.905
9,279.00,243.00,18.44,10.60,200.50,0.837
10,181.00,20.00,19.22,14.96,222.50,0.840
12,189.00,61.00,19.12,12.18,242.00,0.814
13,132.00,280.00,18.04,11.68,208.00,0.850
32,103.00,351.00,25.48,30.83,465.00,0.896
33,171.00,328.00,25.83,35.57,465.50,0.884
34,310.00,368.00,22.80,26.74,360.50,0.881
38,250.00,432.00,18.77,11.20,232.50,0.903
39,261.00,330.00,16.76,10.00,168.00,0.863
42,226.00,413.00,17.25,10.51,183.50,0.863
50,103.00,351.00,26.42,18.79,501.00,0.883
51,447.00,279.00,26.59,42.21,497.00,0.876
52,381.00,122.00,26.48,40.05,497.00,0.894
54,467.00,61.00,22.62,25.63,348.50,0.880
55,374.00,177.00,20.63,16.93,280.50,0.847
56,403.00,262.00,18.78,17.03,236.50,0.858
58,412.00,177.00,15.66,10.04,156.00,0.858
60,467.00,61.00,22.90,21.29,353.00,0.877
66,436.00,299.00,17.53,11.39,201.50,0.841
77,447.00,279.00,26.69,33.70,516.50,0.898
85,313.00,313.00,32.27,39.26,742.00,0.880
87,391.00,440.00,19.40,15.00,252.50,0.866
88,445.00,424.00,17.31,12.54,197.50,0.904
