Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,207.00,42.94,31.57,1378.00,0.885
1,255.00,72.00,31.33,36.15,723.00,0.892
2,173.00,225.00,21.59,28.88,328.00,0.893
3,308.00,108.00,21.71,33.85,333.50,0.892
4,297.00,39.00,19.77,27.07,263.50,0.847
9,189.00,61.00,19.01,22.55,247.50,0.897
10,181.00,20.00,19.92,25.71,271.50,0.886
11,279.00,243.00,17.32,19.21,199.00,0.875
12,132.00,280.00,19.14,20.47,249.50,0.880
13,103.00,24.00,17.98,17.01,214.00,0.874
17,14.00,126.00,14.95,12.34,153.00,0.884
19,41.00,232.00,17.90,15.49,208.50,0.897
21,256.00,228.00,17.29,18.44,196.50,0.846
25,120.00,220.00,16.31,10.78,169.00,0.856
71,102.00,351.00,26.63,42.91,507.50,0.900
72,310.00,368.00,24.28,37.72,419.50,0.881
73,171.00,328.00,27.10,44.33,537.50,0.892
74,249.00,432.00,18.72,21.19,227.50,0.859
77,226.00,413.00,17.72,18.82,210.50,0.879
80,261.00,330.00,16.13,18.26,169.00,0.868
81,59.00,451.00,18.08,16.04,223.00,0.885
102,123.00,481.00,13.96,10.42,103.00,0.803
113,447.00,278.00,27.58,52.87,548.50,0.893
114,382.00,122.00,27.70,50.29,550.50,0.857
115,403.00,263.00,20.64,30.22,289.00,0.888
116,467.00,61.00,23.09,41.18,367.00,0.891
117,374.00,177.00,21.38,31.01,299.00,0.886
118,436.00,299.00,17.50,22.44,209.00,0.854
123,412.00,177.00,15.81,17.00,179.50,0.901
154,447.00,279.00,27.79,44.78,564.00,0.906
188,313.00,313.00,32.37,43.54,770.50,0.904
189,391.00,440.00,19.58,29.38,268.00,0.868
192,444.00,424.00,18.10,22.93,217.50,0.881
195,352.00,437.00,13.61,14.66,122.00,0.877
240,102.00,351.00,27.54,26.36,534.50,0.887
