Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
23,181.0,20.0,44.23,z11,22.01,347.0,0.891,21,"z03,z04,z05,z06,z07,z08,z08,z09,z09,z10,z11,z11,z12,z12,z13,z13,z14,z14,z15,z15,z16","10.82,14.96,19.61,25.71,30.95,34.34,35.83,38.98,40.31,41.06,42.23,44.23,40.58,42.21,38.30,40.24,34.99,37.67,30.43,33.10,26.83"
24,59.0,451.0,44.22,z12,19.09,258.0,0.892,12,"z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","11.66,16.04,21.47,27.61,33.37,39.61,41.45,44.22,41.72,37.68,33.33,27.47"
25,226.0,413.0,44.11,z11,18.97,256.0,0.885,15,"z04,z05,z06,z07,z07,z08,z08,z09,z10,z11,z12,z13,z14,z15,z16","10.51,14.39,18.82,24.71,20.53,31.09,25.80,37.43,41.46,44.11,43.37,41.34,37.78,32.47,27.77"
26,279.0,243.0,43.72,z11,19.36,261.0,0.878,20,"z04,z05,z06,z07,z08,z08,z09,z10,z10,z11,z11,z12,z12,z13,z13,z14,z14,z15,z15,z16","10.60,13.87,19.21,24.24,30.73,31.99,36.96,40.19,40.52,43.30,43.72,41.66,42.93,39.99,40.17,37.21,37.20,32.43,32.81,28.69"
27,40.0,232.0,43.09,z12,18.94,261.0,0.902,12,"z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","12.70,15.49,20.83,27.86,33.72,38.39,42.29,43.09,41.29,38.88,34.41,28.13"
28,260.0,330.0,42.69,z11,18.45,238.5,0.927,13,"z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","10.00,13.64,18.26,24.08,28.88,36.36,40.47,42.69,42.58,40.70,37.52,32.10,27.81"
29,468.0,29.0,42.38,z13,13.56,123.0,0.921,10,"z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","11.65,15.02,21.55,30.24,37.21,41.19,42.38,41.37,36.75,31.55"
30,352.0,437.0,42.33,z12,16.25,182.0,0.892,15,"z05,z06,z07,z08,z09,z10,z11,z12,z13,z13,z14,z15,z15,z16,z16","10.75,14.66,19.80,24.35,31.66,38.13,41.01,42.33,41.61,34.09,37.45,31.72,26.72,28.30,24.00"
31,256.0,227.0,41.89,z12,18.91,236.5,0.868,12,"z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","14.09,18.44,23.98,31.13,36.02,39.26,41.80,41.89,39.64,35.83,31.17,25.17"
32,13.0,125.0,41.43,z12,17.81,217.5,0.87,11,"z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","12.34,15.49,21.50,27.62,34.99,40.35,41.43,41.37,40.76,36.07,31.93"
33,119.0,219.0,41.42,z12,16.77,198.5,0.892,11,"z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","10.78,15.09,21.14,28.75,34.83,39.08,41.42,40.68,38.22,33.06,27.68"
34,220.0,416.0,41.35,z12,32.89,402.5,0.52,6,"z11,z12,z13,z14,z15,z16","40.12,41.35,39.60,37.21,31.59,27.01"
35,56.0,44.0,41.25,z13,16.33,184.5,0.926,12,"z07,z08,z09,z10,z11,z11,z12,z13,z14,z15,z16,z16","12.89,17.47,24.47,29.48,36.55,37.61,40.51,41.25,40.41,37.20,32.37,32.72"
36,121.0,481.0,40.57,z12,16.3,179.5,0.889,12,"z06,z07,z08,z09,z10,z10,z11,z12,z13,z14,z15,z16","10.42,14.48,19.50,25.96,30.39,38.34,35.83,40.57,38.64,37.77,32.74,27.94"
