Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,207.00,42.61,30.40,1348.50,0.873
1,255.00,72.00,31.79,37.01,743.00,0.896
2,173.00,225.00,22.14,40.14,359.00,0.922
3,308.00,108.00,23.16,44.57,376.00,0.872
4,181.00,20.00,21.67,34.34,332.00,0.873
5,132.00,279.00,19.88,32.38,276.50,0.879
6,297.00,39.00,20.88,40.35,304.00,0.901
7,189.00,61.00,20.25,35.59,288.50,0.894
8,279.00,243.00,18.79,30.73,240.00,0.853
9,41.00,232.00,18.57,27.86,235.50,0.864
10,103.00,24.00,19.34,30.81,248.00,0.858
12,257.00,228.00,17.70,31.13,206.50,0.900
17,120.00,220.00,16.12,21.14,172.00,0.855
18,14.00,125.00,16.80,21.50,187.00,0.860
25,56.00,45.00,14.51,17.47,147.00,0.881
28,67.00,75.00,14.56,17.39,147.50,0.874
109,181.00,20.00,20.64,35.83,298.00,0.906
120,279.00,243.00,19.00,31.99,246.00,0.874
129,238.00,210.00,58.43,30.59,1556.00,0.631
154,102.00,351.00,27.25,49.14,540.00,0.908
155,171.00,328.00,27.67,50.71,563.00,0.888
156,310.00,368.00,24.44,47.48,432.00,0.894
157,249.00,432.00,19.42,34.62,261.00,0.878
158,226.00,413.00,18.19,31.09,235.50,0.915
159,260.00,330.00,17.63,28.88,218.00,0.891
160,59.00,451.00,18.75,27.61,248.00,0.858
165,122.00,481.00,15.35,19.50,155.50,0.877
173,210.00,421.00,13.20,15.23,114.50,0.882
224,226.00,413.00,18.85,25.80,248.50,0.876
228,447.00,279.00,28.05,56.35,570.50,0.888
229,436.00,299.00,18.52,36.41,238.00,0.906
230,403.00,262.00,21.10,42.10,315.50,0.896
231,382.00,122.00,28.04,55.44,569.00,0.914
232,375.00,177.00,21.71,42.83,336.00,0.915
233,467.00,60.00,24.00,49.98,410.00,0.874
234,412.00,177.00,17.16,32.11,194.50,0.874
280,468.00,29.00,12.65,15.02,104.50,0.891
337,313.00,313.00,32.87,44.47,785.50,0.901
338,391.00,440.00,20.62,41.81,301.50,0.878
339,444.00,424.00,18.45,36.46,243.00,0.899
340,352.00,437.00,15.28,24.35,159.00,0.875
417,112.00,495.00,17.12,30.84,68.50,0.541
425,494.00,196.00,11.40,12.12,81.50,0.810
431,313.00,313.00,32.73,46.43,789.00,0.901
434,123.00,491.00,32.02,10.60,380.00,0.580
