Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,13.00,125.00,17.27,31.93,197.50,0.861
1,56.00,44.00,15.83,32.37,175.50,0.881
2,67.00,75.00,15.81,30.75,174.50,0.876
3,119.00,220.00,16.25,27.68,176.00,0.892
4,279.00,243.00,17.72,28.69,214.50,0.895
5,132.00,279.00,19.51,27.85,256.50,0.870
6,173.00,225.00,21.54,27.77,317.00,0.863
7,40.00,232.00,18.45,28.13,239.00,0.860
8,189.00,61.00,20.04,29.33,278.00,0.868
9,103.00,24.00,19.02,30.77,255.00,0.858
10,257.00,227.00,17.86,25.17,211.00,0.900
11,297.00,39.00,19.71,30.88,263.50,0.894
12,181.00,20.00,20.82,26.83,304.50,0.887
14,255.00,72.00,28.49,20.78,571.00,0.878
15,308.00,108.00,21.16,28.86,306.50,0.870
19,235.00,206.00,36.86,17.19,945.00,0.886
78,189.00,61.00,20.16,29.03,283.00,0.883
101,56.00,44.00,16.12,32.72,179.50,0.872
105,235.00,207.00,37.27,18.65,949.00,0.865
115,102.00,351.00,25.85,27.73,460.00,0.912
116,249.00,432.00,18.42,28.21,234.00,0.891
117,260.00,329.00,16.83,27.81,202.00,0.888
118,226.00,413.00,18.02,27.77,217.50,0.870
119,59.00,451.00,18.32,27.47,233.00,0.887
120,171.00,328.00,25.60,27.40,460.00,0.894
121,310.00,368.00,22.45,28.22,354.50,0.896
122,121.00,481.00,15.70,27.94,166.50,0.864
123,104.00,353.00,34.70,26.80,540.00,0.651
124,210.00,421.00,13.56,27.13,125.50,0.892
152,220.00,416.00,31.95,27.01,361.00,0.535
156,314.00,441.00,14.60,10.73,114.00,0.820
176,436.00,299.00,18.42,28.36,230.00,0.876
177,412.00,177.00,16.92,28.90,193.50,0.898
178,374.00,177.00,20.71,27.57,295.00,0.874
179,403.00,263.00,20.47,25.58,284.50,0.859
180,467.00,61.00,21.99,29.31,326.50,0.895
181,381.00,121.00,25.61,28.83,448.50,0.869
182,468.00,29.00,13.12,31.55,111.00,0.866
183,494.00,196.00,11.50,30.18,87.50,0.912
184,448.00,279.00,24.95,28.84,429.00,0.887
185,497.00,144.00,20.59,10.15,277.50,0.906
188,467.00,60.00,22.09,30.20,329.50,0.873
198,500.00,86.00,18.36,10.04,199.50,0.858
200,449.00,123.00,21.69,10.74,308.00,0.838
210,440.00,186.00,17.71,10.20,198.50,0.881
211,460.00,298.00,17.80,10.15,187.00,0.876
212,347.00,301.00,12.82,10.32,97.00,0.838
213,425.00,122.00,20.74,10.97,248.00,0.782
214,429.00,99.00,18.98,10.47,215.50,0.781
216,484.00,240.00,22.37,10.77,324.50,0.860
219,459.00,80.00,16.91,10.71,166.00,0.788
222,499.00,219.00,19.76,10.64,254.50,0.850
224,500.00,254.00,16.77,12.39,172.50,0.849
233,468.00,262.00,22.04,10.82,263.50,0.748
238,376.00,158.00,15.81,10.13,159.50,0.800
241,492.00,103.00,17.26,10.05,184.00,0.785
245,476.00,221.00,13.93,12.72,85.50,0.762
247,361.00,153.00,15.62,10.40,138.50,0.809
255,393.00,104.00,15.27,10.51,141.50,0.826
257,444.00,424.00,17.81,27.87,201.50,0.831
258,313.00,314.00,28.66,23.33,572.50,0.891
259,352.00,437.00,15.37,28.30,159.00,0.875
260,391.00,440.00,19.28,27.54,260.00,0.899
263,360.00,357.00,12.81,11.73,95.50,0.851
265,473.00,309.00,15.81,10.48,154.50,0.841
272,373.00,347.00,19.28,10.04,224.50,0.792
277,352.00,434.00,24.74,24.00,241.50,0.625
289,493.00,196.00,12.90,26.46,115.50,0.890
302,466.00,206.00,19.42,10.38,246.00,0.828
327,432.00,229.00,15.45,10.51,156.50,0.823
354,436.00,201.00,12.41,10.17,89.50,0.834
356,429.00,172.00,15.55,10.76,163.50,0.890
358,457.00,143.00,18.25,12.78,186.50,0.813
360,421.00,353.00,19.74,10.31,203.00,0.855
371,461.00,139.00,28.85,11.94,376.00,0.707
381,116.00,363.00,10.03,23.79,61.00,0.892
385,249.00,344.00,11.05,10.43,67.50,0.769
386,263.00,444.00,10.20,10.40,63.00,0.825
391,440.00,111.00,8.06,11.60,32.50,0.791
392,257.00,115.00,9.46,11.08,47.00,0.792
