Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,207.00,42.47,31.53,1341.00,0.891
1,255.00,72.00,29.68,29.26,635.00,0.879
2,308.00,109.00,21.61,14.19,310.00,0.844
3,181.00,20.00,19.06,10.82,245.50,0.866
7,297.00,39.00,19.25,10.77,242.00,0.870
9,173.00,225.00,20.69,12.79,283.00,0.870
10,189.00,62.00,17.33,10.36,188.00,0.853
27,171.00,328.00,25.87,27.55,458.00,0.864
28,102.00,351.00,25.03,25.01,434.00,0.879
30,310.00,368.00,21.71,20.39,329.00,0.896
42,447.00,278.00,25.25,36.11,455.00,0.876
43,382.00,122.00,26.17,32.42,476.50,0.869
44,467.00,60.00,22.80,18.62,337.00,0.857
45,374.00,177.00,20.64,12.77,269.50,0.880
46,403.00,262.00,18.54,13.23,231.00,0.855
65,459.00,61.00,38.48,13.31,585.00,0.598
66,313.00,313.00,31.74,35.72,702.50,0.871
68,391.00,440.00,19.87,11.19,258.50,0.877
