Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,173.00,225.00,22.85,45.60,365.00,0.907
1,131.00,279.00,20.36,45.06,291.00,0.885
2,189.00,61.00,20.98,44.92,310.00,0.887
3,40.00,232.00,18.94,43.09,261.00,0.902
4,13.00,125.00,17.81,41.43,217.50,0.870
5,279.00,243.00,19.12,41.66,260.00,0.899
6,181.00,20.00,22.14,40.58,354.00,0.909
7,119.00,219.00,16.77,41.42,198.50,0.892
8,308.00,108.00,22.98,46.87,383.00,0.909
9,103.00,24.00,19.68,45.53,270.00,0.898
10,297.00,39.00,20.96,49.63,315.00,0.879
11,67.00,75.00,16.06,40.14,177.00,0.909
12,256.00,227.00,18.91,41.89,236.50,0.868
13,255.00,72.00,31.01,31.90,704.00,0.883
14,56.00,44.00,16.12,40.51,177.00,0.897
15,235.00,206.00,41.34,24.97,1228.50,0.880
157,181.00,20.00,22.38,42.21,356.00,0.915
169,236.00,207.00,41.75,27.73,1248.00,0.886
216,102.00,351.00,27.09,46.99,535.50,0.889
217,226.00,413.00,18.97,43.37,261.00,0.902
218,260.00,330.00,18.45,42.58,238.00,0.906
219,171.00,328.00,27.67,46.22,566.00,0.893
220,249.00,432.00,19.72,45.14,277.50,0.892
221,59.00,451.00,19.09,44.22,258.00,0.892
222,108.00,495.00,21.38,45.71,186.00,0.720
223,121.00,481.00,16.30,40.57,179.50,0.889
224,210.00,421.00,14.21,37.73,137.50,0.877
289,220.00,416.00,32.89,41.35,402.50,0.520
307,279.00,243.00,19.22,42.93,263.00,0.909
314,436.00,299.00,19.27,46.10,260.00,0.899
315,403.00,262.00,21.43,45.35,328.50,0.901
316,447.00,279.00,28.09,48.82,562.00,0.887
317,374.00,177.00,22.05,47.08,343.50,0.919
318,412.00,177.00,18.03,45.27,225.50,0.876
319,467.00,60.00,24.10,48.10,413.00,0.881
320,382.00,121.00,27.94,49.54,563.00,0.905
321,468.00,29.00,13.42,41.19,120.00,0.898
322,374.00,177.00,21.32,47.14,313.00,0.895
323,494.00,196.00,11.90,37.81,94.50,0.897
326,444.00,285.00,46.33,48.24,820.00,0.555
331,467.00,60.00,24.18,46.27,415.00,0.885
443,444.00,424.00,19.08,46.85,257.00,0.889
444,352.00,437.00,16.25,42.33,182.00,0.892
445,391.00,440.00,20.81,45.23,311.50,0.884
446,310.00,368.00,24.78,46.20,442.00,0.895
447,313.00,313.00,32.04,37.14,757.50,0.889
498,313.00,313.00,32.20,41.07,755.50,0.886
530,116.00,362.00,10.10,19.10,57.00,0.853
566,351.00,424.00,10.55,11.93,73.00,0.888
