Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,206.00,42.71,29.37,1338.50,0.882
1,308.00,108.00,23.01,48.52,382.50,0.893
2,255.00,72.00,31.89,36.66,737.50,0.900
3,132.00,279.00,20.09,39.36,281.50,0.895
4,173.00,225.00,22.51,45.38,359.50,0.908
5,181.00,20.00,21.72,38.98,343.00,0.881
6,41.00,232.00,18.79,33.72,244.00,0.903
7,297.00,39.00,20.71,46.16,310.00,0.896
8,189.00,61.00,20.64,40.02,300.00,0.912
9,279.00,243.00,18.60,36.96,241.50,0.901
10,103.00,24.00,19.18,37.27,255.50,0.867
11,256.00,227.00,18.49,36.02,223.50,0.868
12,14.00,125.00,17.12,27.62,199.00,0.875
15,119.00,219.00,16.28,28.75,176.50,0.886
16,67.00,75.00,14.89,24.48,151.50,0.898
35,56.00,45.00,14.95,24.47,159.00,0.919
120,181.00,20.00,21.87,40.31,346.00,0.889
175,239.00,210.00,58.26,30.45,1561.00,0.619
176,102.00,351.00,27.12,51.39,538.00,0.905
177,171.00,328.00,27.82,51.49,567.00,0.894
178,260.00,330.00,17.75,36.36,221.00,0.903
179,249.00,432.00,19.72,39.96,268.50,0.886
180,226.00,413.00,18.91,37.43,244.50,0.887
181,59.00,450.00,19.27,33.37,257.50,0.873
182,211.00,421.00,13.69,21.55,122.50,0.906
187,122.00,481.00,15.65,25.96,165.00,0.908
259,447.00,279.00,28.10,55.91,575.50,0.896
260,436.00,299.00,19.03,43.82,242.00,0.870
261,403.00,262.00,21.40,45.23,329.00,0.918
262,375.00,177.00,21.99,47.26,342.00,0.900
263,381.00,121.00,28.07,55.55,571.00,0.884
264,467.00,60.00,24.23,52.55,416.00,0.887
265,412.00,177.00,17.32,38.49,206.00,0.842
293,468.00,29.00,12.69,21.55,106.00,0.877
382,391.00,440.00,20.96,44.20,314.50,0.893
383,310.00,368.00,24.61,50.75,438.00,0.887
384,444.00,424.00,19.01,43.34,254.50,0.897
385,313.00,313.00,32.57,44.14,785.00,0.896
386,352.00,437.00,15.81,31.66,166.50,0.864
397,313.00,313.00,32.73,46.98,794.00,0.907
406,391.00,440.00,21.04,40.66,317.50,0.901
476,112.00,495.00,17.03,36.98,66.00,0.537
489,493.00,196.00,11.19,16.98,82.50,0.921
